"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P69797|PTNAB_ECOLI","sp|P69797|PTNAB_ECOLI","-0.738384634482621","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A6F5|CH60_ECOLI","sp|P0A6F5|CH60_ECOLI","-0.70377473359002","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00350|6PGD_ECOLI","sp|P00350|6PGD_ECOLI","-0.802211343665174","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P37648|YHJJ_ECOLI","sp|P37648|YHJJ_ECOLI","-1.2205438526668","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A6P1|EFTS_ECOLI","sp|P0A6P1|EFTS_ECOLI","-0.867463145960865","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0CE47|EFTU1_ECOLI","sp|P0CE47|EFTU1_ECOLI","-0.758696609808464","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0AG67|RS1_ECOLI","sp|P0AG67|RS1_ECOLI","-0.717609403463509","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0AB71|ALF_ECOLI","sp|P0AB71|ALF_ECOLI","-0.823797421091083","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P36683|ACNB_ECOLI","sp|P36683|ACNB_ECOLI","-0.682401755301019","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P61889|MDH_ECOLI","sp|P61889|MDH_ECOLI","-0.768598660546314","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A8F0|UPP_ECOLI","sp|P0A8F0|UPP_ECOLI","-0.875483097899899","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P12008|AROC_ECOLI","sp|P12008|AROC_ECOLI","-0.855877649718046","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A6M8|EFG_ECOLI","sp|P0A6M8|EFG_ECOLI","-0.604893456232951","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P05825|FEPA_ECOLI","sp|P05825|FEPA_ECOLI","-0.747195922386773","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A7V0|RS2_ECOLI","sp|P0A7V0|RS2_ECOLI","-0.913980948546428","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P18335|ARGD_ECOLI","sp|P18335|ARGD_ECOLI","-0.882594429596644","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P0A9C5|GLN1B_ECOLI","sp|P0A9C5|GLN1B_ECOLI","-0.954727495925138","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P05793|ILVC_ECOLI","sp|P05793|ILVC_ECOLI","-0.990472482007036","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P63284|CLPB_ECOLI","sp|P63284|CLPB_ECOLI","-0.81479237331634","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P77247|HXPB_ECOLI","sp|P77247|HXPB_ECOLI","-1.15016630837872","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P05020|PYRC_ECOLI","sp|P05020|PYRC_ECOLI","-1.0816131600214","0","0","conditionB-conditionA","ECOLI","1","1"
