"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|Q6P2I3|FAH2B_HUMAN","sp|Q6P2I3|FAH2B_HUMAN","1.02136258823958","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q14257|RCN2_HUMAN","sp|Q14257|RCN2_HUMAN","-0.949934130054796","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|O15127|SCAM2_HUMAN","sp|O15127|SCAM2_HUMAN","0.838396011785921","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9Y294|ASF1A_HUMAN","sp|Q9Y294|ASF1A_HUMAN","0.886407611373027","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UPN3|MACF1_HUMAN","sp|Q9UPN3|MACF1_HUMAN","-1.43215294959763","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9H974|QTRT2_HUMAN","sp|Q9H974|QTRT2_HUMAN","0.980390717793473","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9NR09|BIRC6_HUMAN","sp|Q9NR09|BIRC6_HUMAN","0.919435590813116","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9Y530|OARD1_HUMAN","sp|Q9Y530|OARD1_HUMAN","0.552981829933493","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q92905|CSN5_HUMAN","sp|Q92905|CSN5_HUMAN","0.421862369880902","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q16563|SYPL1_HUMAN","sp|Q16563|SYPL1_HUMAN","-0.399199870870955","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UHB6|LIMA1_HUMAN","sp|Q9UHB6|LIMA1_HUMAN","0.777072614618888","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|P09938|RIR2_YEAST","sp|P09938|RIR2_YEAST","0.892506322957676","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25694|CDC48_YEAST","sp|P25694|CDC48_YEAST","0.894300272807261","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00925|ENO2_YEAST","sp|P00925|ENO2_YEAST","1.01341594502194","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P11484|SSB1_YEAST","sp|P11484|SSB1_YEAST","0.983970519928071","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q12363|WTM1_YEAST","sp|Q12363|WTM1_YEAST","0.983754274625085","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17967|PDI_YEAST","sp|P17967|PDI_YEAST","0.936679876904645","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16862|PFKA2_YEAST","sp|P16862|PFKA2_YEAST","0.825013588179051","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P10622|RLA3_YEAST","sp|P10622|RLA3_YEAST","1.00404002322213","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00560|PGK_YEAST","sp|P00560|PGK_YEAST","0.961670870675505","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40212|RL13B_YEAST","sp|P40212|RL13B_YEAST","0.984093110484597","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05737|RL7A_YEAST","sp|P05737|RL7A_YEAST","0.990946866442403","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06168|ILV5_YEAST","sp|P06168|ILV5_YEAST","1.04573682575949","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX39|RS8A_YEAST","sp|P0CX39|RS8A_YEAST","1.08381813144022","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P31116|DHOM_YEAST","sp|P31116|DHOM_YEAST","1.04064147256208","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P46655|SYEC_YEAST","sp|P46655|SYEC_YEAST","0.91568139017259","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P36105|RL14A_YEAST","sp|P36105|RL14A_YEAST","1.03685550912401","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07149|FAS1_YEAST","sp|P07149|FAS1_YEAST","0.994499912642045","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00817|IPYR_YEAST","sp|P00817|IPYR_YEAST","0.993121266001825","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P19882|HSP60_YEAST","sp|P19882|HSP60_YEAST","0.964986975125584","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38011|GBLP_YEAST","sp|P38011|GBLP_YEAST","0.968289994037555","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0C0V8|RS21A_YEAST","sp|P0C0V8|RS21A_YEAST","0.904594199780739","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07213|TOM70_YEAST","sp|P07213|TOM70_YEAST","1.05687261914696","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32324|EF2_YEAST","sp|P32324|EF2_YEAST","0.972451542747063","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P48164|RS7B_YEAST","sp|P48164|RS7B_YEAST","1.02106404994035","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38009|PUR92_YEAST","sp|P38009|PUR92_YEAST","0.988872595723315","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26321|RL5_YEAST","sp|P26321|RL5_YEAST","0.964367067632441","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CS90|HSP77_YEAST","sp|P0CS90|HSP77_YEAST","0.970208703670057","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39516|RS14B_YEAST","sp|P39516|RS14B_YEAST","0.84922060404427","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05030|PMA1_YEAST","sp|P05030|PMA1_YEAST","0.998161769148005","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00942|TPIS_YEAST","sp|P00942|TPIS_YEAST","0.987210285914458","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX55|RS18A_YEAST","sp|P0CX55|RS18A_YEAST","0.958609098158455","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39015|STM1_YEAST","sp|P39015|STM1_YEAST","1.02139965782714","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P49090|ASNS2_YEAST","sp|P49090|ASNS2_YEAST","1.06271687605084","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15992|HSP26_YEAST","sp|P15992|HSP26_YEAST","0.958416035410156","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15705|STI1_YEAST","sp|P15705|STI1_YEAST","0.624836216635106","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53252|PIL1_YEAST","sp|P53252|PIL1_YEAST","0.921229516260858","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P48836|VATG_YEAST","sp|P48836|VATG_YEAST","0.939021736620049","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26785|RL16B_YEAST","sp|P26785|RL16B_YEAST","0.99637255913315","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15891|ABP1_YEAST","sp|P15891|ABP1_YEAST","0.926095187721248","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P29453|RL8B_YEAST","sp|P29453|RL8B_YEAST","0.960976863567186","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06738|PHSG_YEAST","sp|P06738|PHSG_YEAST","0.953420650473099","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0C0W9|RL11A_YEAST","sp|P0C0W9|RL11A_YEAST","1.06529983175929","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26784|RL16A_YEAST","sp|P26784|RL16A_YEAST","0.875715206992485","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P10592|HSP72_YEAST","sp|P10592|HSP72_YEAST","0.848936814396946","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P10591|HSP71_YEAST","sp|P10591|HSP71_YEAST","0.962481082477598","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32589|HSP7F_YEAST","sp|P32589|HSP7F_YEAST","1.04533984452798","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P12709|G6PI_YEAST","sp|P12709|G6PI_YEAST","0.907775713429714","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38788|SSZ1_YEAST","sp|P38788|SSZ1_YEAST","0.942623801621998","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P15108|HSC82_YEAST","sp|P15108|HSC82_YEAST","0.940252165653966","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P26786|RS7A_YEAST","sp|P26786|RS7A_YEAST","0.975606594504892","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P27616|PUR7_YEAST","sp|P27616|PUR7_YEAST","0.92233215486533","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P40185|MMF1_YEAST","sp|P40185|MMF1_YEAST","0.937016871328666","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P39004|HXT7_YEAST","sp|P39004|HXT7_YEAST","0.889702268721027","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q08245|ZEO1_YEAST","sp|Q08245|ZEO1_YEAST","0.866660654002782","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16861|PFKA1_YEAST","sp|P16861|PFKA1_YEAST","0.880437367496437","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22803|TRX2_YEAST","sp|P22803|TRX2_YEAST","0.974231185503466","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32527|ZUO1_YEAST","sp|P32527|ZUO1_YEAST","0.972586466874347","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P54115|ALDH6_YEAST","sp|P54115|ALDH6_YEAST","0.895005755736019","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P37291|GLYC_YEAST","sp|P37291|GLYC_YEAST","1.03573214560818","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P17255|VATA_YEAST","sp|P17255|VATA_YEAST","0.814374433676477","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q00955|ACAC_YEAST","sp|Q00955|ACAC_YEAST","0.621001039538555","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07244|PUR2_YEAST","sp|P07244|PUR2_YEAST","0.947400837924992","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32471|EF1B_YEAST","sp|P32471|EF1B_YEAST","1.01983855899578","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX51|RS16A_YEAST","sp|P0CX51|RS16A_YEAST","0.852507300496328","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00549|KPYK1_YEAST","sp|P00549|KPYK1_YEAST","0.965030380490202","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P31539|HS104_YEAST","sp|P31539|HS104_YEAST","0.968468977164957","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38720|6PGD1_YEAST","sp|P38720|6PGD1_YEAST","0.994534431527189","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05317|RLA0_YEAST","sp|P05317|RLA0_YEAST","0.864593491366367","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16120|THRC_YEAST","sp|P16120|THRC_YEAST","0.886078436983734","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CX49|RL18A_YEAST","sp|P0CX49|RL18A_YEAST","0.968897785558958","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P10664|RL4A_YEAST","sp|P10664|RL4A_YEAST","1.00813010565113","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P11154|PYC1_YEAST","sp|P11154|PYC1_YEAST","1.25352447162988","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38219|OLA1_YEAST","sp|P38219|OLA1_YEAST","0.879374369588401","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q03973|HMO1_YEAST","sp|Q03973|HMO1_YEAST","1.20886420935375","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P04911|H2A1_YEAST","sp|P04911|H2A1_YEAST","1.0608562438927","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P14126|RL3_YEAST","sp|P14126|RL3_YEAST","0.932238907538231","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q03558|OYE2_YEAST","sp|Q03558|OYE2_YEAST","1.07184888872336","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41058|RS29B_YEAST","sp|P41058|RS29B_YEAST","0.991026594887007","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38879|NACA_YEAST","sp|P38879|NACA_YEAST","1.22230416205739","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53184|PNC1_YEAST","sp|P53184|PNC1_YEAST","1.03433911461432","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P04147|PABP_YEAST","sp|P04147|PABP_YEAST","0.891665408582867","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P16521|EF3A_YEAST","sp|P16521|EF3A_YEAST","0.963619448750826","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q12499|NOP58_YEAST","sp|Q12499|NOP58_YEAST","0.995210393830032","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07806|SYV_YEAST","sp|P07806|SYV_YEAST","1.02660302683675","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P23542|AATC_YEAST","sp|P23542|AATC_YEAST","1.00844271472305","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q01560|NOP3_YEAST","sp|Q01560|NOP3_YEAST","0.67114948997903","0","0","conditionB-conditionA","YEAST","1","-1"
