"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P02748|CO9_HUMAN","sp|P02748|CO9_HUMAN","1.56626812564724","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9BQ75|CMS1_HUMAN","sp|Q9BQ75|CMS1_HUMAN","1.91598982558245","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q99569|PKP4_HUMAN","sp|Q99569|PKP4_HUMAN","1.26077721221781","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|P27692|SPT5_YEAST","sp|P27692|SPT5_YEAST","1.36317123578032","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q05050|EIS1_YEAST","sp|Q05050|EIS1_YEAST","1.49175475952287","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q03973|HMO1_YEAST","sp|Q03973|HMO1_YEAST","1.32918993430678","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P23615|SPT6_YEAST","sp|P23615|SPT6_YEAST","1.42093676531871","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q07653|HBT1_YEAST","sp|Q07653|HBT1_YEAST","1.69539782748385","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P22146|GAS1_YEAST","sp|P22146|GAS1_YEAST","1.28355217831742","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32499|NUP2_YEAST","sp|P32499|NUP2_YEAST","1.78239941024301","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q3E846|COA6_YEAST","sp|Q3E846|COA6_YEAST","1.62521230318902","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00812|ARGI_YEAST","sp|P00812|ARGI_YEAST","1.36579359256255","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P30771|RENT1_YEAST","sp|P30771|RENT1_YEAST","1.52317897058411","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P33204|ARPC4_YEAST","sp|P33204|ARPC4_YEAST","1.29026449642534","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P48231|TCB2_YEAST","sp|P48231|TCB2_YEAST","1.75728281684785","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P38687|SRP68_YEAST","sp|P38687|SRP68_YEAST","1.54341676074101","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P52489|KPYK2_YEAST","sp|P52489|KPYK2_YEAST","1.56476877324023","0","0","conditionB-conditionA","YEAST","1","-1"
