"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|Q02959|HOS3_YEAST","sp|Q02959|HOS3_YEAST","-1.95834699122361","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q99247|DUF1_YEAST","sp|Q99247|DUF1_YEAST","1.90593720957368","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25738|MSYB_ECOLI","sp|P25738|MSYB_ECOLI","-1.80177892281754","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7J3|RL10_ECOLI","sp|P0A7J3|RL10_ECOLI","-2.14451080135521","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9Q7|ADHE_ECOLI","sp|P0A9Q7|ADHE_ECOLI","-1.80136089291587","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P16659|SYP_ECOLI","sp|P16659|SYP_ECOLI","-1.88099102652182","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P77674|ABDH_ECOLI","sp|P77674|ABDH_ECOLI","-1.71327154908213","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABA4|ATPD_ECOLI","sp|P0ABA4|ATPD_ECOLI","-1.70783848785068","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7L0|RL1_ECOLI","sp|P0A7L0|RL1_ECOLI","-1.88054011849819","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P63284|CLPB_ECOLI","sp|P63284|CLPB_ECOLI","-2.06364181654081","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AC41|SDHA_ECOLI","sp|P0AC41|SDHA_ECOLI","-1.87230196421345","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ADS6|YGGE_ECOLI","sp|P0ADS6|YGGE_ECOLI","-1.94487844324296","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P08200|IDH_ECOLI","sp|P08200|IDH_ECOLI","-1.92909425722602","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68066|GRCA_ECOLI","sp|P68066|GRCA_ECOLI","-2.23608882265918","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P76402|YEGP_ECOLI","sp|P76402|YEGP_ECOLI","-1.79797938532454","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68919|RL25_ECOLI","sp|P68919|RL25_ECOLI","-1.89554620641927","0","0","conditionB-conditionA","ECOLI","1","2"
