"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P0AE06|ACRA_ECOLI",2.81830046969726,17.0059589980884,94.204299648207,4.62559320432769e-20,3.65838166530277e-16,36.2203834873504,"conditionB-conditionA","sp|P0AE06|ACRA_ECOLI","ECOLI","1","2"
"sp|P0A9M5|XGPT_ECOLI",2.00329543438069,16.5984564804302,81.8276891318043,2.96101905788558e-19,9.69240129800069e-16,34.5456934807591,"conditionB-conditionA","sp|P0A9M5|XGPT_ECOLI","ECOLI","1","2"
"sp|P0AC33|FUMA_ECOLI",2.00005692254096,19.6536331334313,80.4947496287052,3.67647033683172e-19,9.69240129800069e-16,34.3457244569369,"conditionB-conditionA","sp|P0AC33|FUMA_ECOLI","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI",1.76539214775594,19.518906982419,74.1383658332123,1.08665171908482e-18,1.3791587601668e-15,33.3310740958275,"conditionB-conditionA","sp|P0A6Y8|DNAK_ECOLI","ECOLI","1","2"
"sp|P04825|AMPN_ECOLI",1.93356088835876,17.7813987773377,73.5748501850887,1.2015391087698e-18,1.3791587601668e-15,33.2359129342472,"conditionB-conditionA","sp|P04825|AMPN_ECOLI","ECOLI","1","2"
"sp|P0A9P0|DLDH_ECOLI",1.6876137932863,20.5404605114812,73.2110048920966,1.28261698652599e-18,1.3791587601668e-15,33.1739915839631,"conditionB-conditionA","sp|P0A9P0|DLDH_ECOLI","ECOLI","1","2"
"sp|P43636|ALG2_YEAST",-3.96564156350899,17.5578674224891,-72.4633833878976,1.46828900327491e-18,1.3791587601668e-15,33.0455611816233,"conditionB-conditionA","sp|P43636|ALG2_YEAST","YEAST","1","-1"
"sp|Q8N9Q2|SR1IP_HUMAN",3.09100424185285,17.1423108841662,72.4443764315022,1.47337096557229e-18,1.3791587601668e-15,33.0422748924497,"conditionB-conditionA","sp|Q8N9Q2|SR1IP_HUMAN","HUMAN","0","0"
"sp|P0AC38|ASPA_ECOLI",1.86740569994532,20.0669951035163,72.0978927369291,1.56940559381732e-18,1.3791587601668e-15,32.9821823177253,"conditionB-conditionA","sp|P0AC38|ASPA_ECOLI","ECOLI","1","2"
"sp|P07464|THGA_ECOLI",2.06971569883283,16.6316666126562,71.2180236753766,1.84487882200087e-18,1.45911466032049e-15,32.8279813990853,"conditionB-conditionA","sp|P07464|THGA_ECOLI","ECOLI","1","2"
