"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P0CE47|EFTU1_ECOLI",1.72657903631207,23.8464874635592,57.5858229096797,4.33756443588168e-18,2.12012690565602e-14,31.6878834477235,"conditionB-conditionA","sp|P0CE47|EFTU1_ECOLI","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI",1.82351143206802,22.3600000627993,57.5402765973487,4.38586451314857e-18,2.12012690565602e-14,31.677915323346,"conditionB-conditionA","sp|P0A6Y8|DNAK_ECOLI","ECOLI","1","2"
"sp|P0AC33|FUMA_ECOLI",1.94675151737209,21.6822928726935,53.9982725564677,1.06687859743839e-17,3.43819409334478e-14,30.8698126373166,"conditionB-conditionA","sp|P0AC33|FUMA_ECOLI","ECOLI","1","2"
"sp|P0AC38|ASPA_ECOLI",1.88633295256878,21.4033076529869,52.7267582365556,1.48886979073969e-17,3.59859828421784e-14,30.5629679898081,"conditionB-conditionA","sp|P0AC38|ASPA_ECOLI","ECOLI","1","2"
"sp|P15288|PEPD_ECOLI",1.73211758611248,19.9412411620185,51.111964830512,2.30007427640299e-17,4.44742362085283e-14,30.1595423606832,"conditionB-conditionA","sp|P15288|PEPD_ECOLI","ECOLI","1","2"
"sp|P0A6P9|ENO_ECOLI",1.92005862674427,21.5382752068881,49.9712731064456,3.15330373381162e-17,5.08102341641512e-14,29.8648367920128,"conditionB-conditionA","sp|P0A6P9|ENO_ECOLI","ECOLI","1","2"
"sp|P04079|GUAA_ECOLI",1.74533394597549,19.0977006100417,49.3251192068908,3.78236956678937e-17,5.22399271024566e-14,29.6941742467379,"conditionB-conditionA","sp|P04079|GUAA_ECOLI","ECOLI","1","2"
"sp|P77581|ASTC_ECOLI",1.82460779498379,22.3675711689656,48.4636512014007,4.83830838662612e-17,5.84709568523767e-14,29.4623123685672,"conditionB-conditionA","sp|P77581|ASTC_ECOLI","ECOLI","1","2"
"sp|P00350|6PGD_ECOLI",1.77827838628664,21.4523337743801,45.6459907398508,1.1169807718671e-16,1.19988556693456e-13,28.6673900888475,"conditionB-conditionA","sp|P00350|6PGD_ECOLI","ECOLI","1","2"
"sp|P0A9Q7|ADHE_ECOLI",1.75976492858456,23.4475595124903,45.0131960632426,1.35734922757923e-16,1.24280797213815e-13,28.4807155186103,"conditionB-conditionA","sp|P0A9Q7|ADHE_ECOLI","ECOLI","1","2"
"sp|P22259|PCKA_ECOLI",1.81488887201772,20.4740948634503,44.8814666241215,1.41403472212657e-16,1.24280797213815e-13,28.4414609658018,"conditionB-conditionA","sp|P22259|PCKA_ECOLI","ECOLI","1","2"
"sp|P0A7Z4|RPOA_ECOLI",1.75962388538486,20.2309789828866,44.1153895245594,1.79814370736248e-16,1.44870444689837e-13,28.2104241588299,"conditionB-conditionA","sp|P0A7Z4|RPOA_ECOLI","ECOLI","1","2"
"sp|P0AEX9|MALE_ECOLI",1.76083145410793,22.5320361264408,43.5650469749278,2.1424383762258e-16,1.59331494010392e-13,28.0414929227443,"conditionB-conditionA","sp|P0AEX9|MALE_ECOLI","ECOLI","1","2"
"sp|P76402|YEGP_ECOLI",1.71269690986853,18.4709365513566,43.190491987119,2.41676266798894e-16,1.61285672085902e-13,27.9250730267004,"conditionB-conditionA","sp|P76402|YEGP_ECOLI","ECOLI","1","2"
"sp|Q8IWB9|TEX2_HUMAN",1.84030689666686,20.8828635063842,43.050652198392,2.52862562524968e-16,1.61285672085902e-13,27.8813025452127,"conditionB-conditionA","sp|Q8IWB9|TEX2_HUMAN","HUMAN","0","0"
"sp|P16659|SYP_ECOLI",1.81043588399753,20.1439071857841,42.8840425665479,2.66918778793384e-16,1.61285672085902e-13,27.8289342218124,"conditionB-conditionA","sp|P16659|SYP_ECOLI","ECOLI","1","2"
"sp|P37744|RMLA1_ECOLI",2.54459290688404,16.0375856735499,41.4853708070954,4.238746613869e-16,2.28374436098692e-13,27.3796908183366,"conditionB-conditionA","sp|P37744|RMLA1_ECOLI","ECOLI","1","2"
"sp|P76558|MAO2_ECOLI",1.78356719639504,20.9128264343434,41.46026763836,4.27467457383573e-16,2.28374436098692e-13,27.3714671692545,"conditionB-conditionA","sp|P76558|MAO2_ECOLI","ECOLI","1","2"
"sp|P0AB71|ALF_ECOLI",1.82136519315132,20.6873241111026,41.3156401234336,4.48811986540666e-16,2.28374436098692e-13,27.3239751091118,"conditionB-conditionA","sp|P0AB71|ALF_ECOLI","ECOLI","1","2"
"sp|P0AG67|RS1_ECOLI",1.77742304175042,22.077498043453,41.1053930196497,4.81900655970162e-16,2.32950777095976e-13,27.2545899702529,"conditionB-conditionA","sp|P0AG67|RS1_ECOLI","ECOLI","1","2"
"sp|P02925|RBSB_ECOLI",1.75100426795807,23.8198464148802,40.8402063325527,5.27406960866677e-16,2.41911309135192e-13,27.166484972121,"conditionB-conditionA","sp|P02925|RBSB_ECOLI","ECOLI","1","2"
"sp|P27550|ACSA_ECOLI",1.85971286142154,21.8239446385506,40.6173062239561,5.69219117963894e-16,2.41911309135192e-13,27.0919156535374,"conditionB-conditionA","sp|P27550|ACSA_ECOLI","ECOLI","1","2"
"sp|P0ACA3|SSPA_ECOLI",1.91494900594159,19.1158004801841,40.5853298708902,5.75502700673296e-16,2.41911309135192e-13,27.081179466627,"conditionB-conditionA","sp|P0ACA3|SSPA_ECOLI","ECOLI","1","2"
"sp|P0A6M8|EFG_ECOLI",1.63000714070517,22.804388545693,39.5711879444987,8.18864737183496e-16,3.1203283720746e-13,26.7355309711167,"conditionB-conditionA","sp|P0A6M8|EFG_ECOLI","ECOLI","1","2"
"sp|P23836|PHOP_ECOLI",1.82785039636459,16.7093995742864,39.5207495060979,8.33547348033118e-16,3.1203283720746e-13,26.7180752008157,"conditionB-conditionA","sp|P23836|PHOP_ECOLI","ECOLI","1","2"
"sp|P0A853|TNAA_ECOLI",1.76492380562993,24.3099099167205,39.5017701681862,8.39144990421387e-16,3.1203283720746e-13,26.7115002083597,"conditionB-conditionA","sp|P0A853|TNAA_ECOLI","ECOLI","1","2"
"sp|P61889|MDH_ECOLI",1.70370203771744,22.4520064468331,39.2860641645151,9.05669493926772e-16,3.14308245279811e-13,26.6365182916306,"conditionB-conditionA","sp|P61889|MDH_ECOLI","ECOLI","1","2"
"sp|P0A7W1|RS5_ECOLI",1.76825835064835,19.7250524057845,39.2717342576198,9.10284533288653e-16,3.14308245279811e-13,26.6315203725339,"conditionB-conditionA","sp|P0A7W1|RS5_ECOLI","ECOLI","1","2"
"sp|P27250|AHR_ECOLI",2.34111007793415,15.1409263429,38.7752850946402,1.0867876530541e-15,3.60535357682615e-13,26.4570734750233,"conditionB-conditionA","sp|P27250|AHR_ECOLI","ECOLI","1","2"
"sp|P0A707|IF3_ECOLI",1.69918349032638,19.3502425308519,38.6248439261097,1.14725453086734e-15,3.60535357682615e-13,26.403706805289,"conditionB-conditionA","sp|P0A707|IF3_ECOLI","ECOLI","1","2"
"sp|P60438|RL3_ECOLI",1.85583741433365,19.7991145331251,38.6036938241778,1.15604014151439e-15,3.60535357682615e-13,26.3961851674374,"conditionB-conditionA","sp|P60438|RL3_ECOLI","ECOLI","1","2"
"sp|P0AF36|ZAPB_ECOLI",1.7462100543581,19.4529751620917,38.288069781399,1.29606852872801e-15,3.90510026477039e-13,26.2833795008571,"conditionB-conditionA","sp|P0AF36|ZAPB_ECOLI","ECOLI","1","2"
"sp|P0ABH7|CISY_ECOLI",1.84533900394172,19.9697176781189,38.2110279967407,1.33293658189308e-15,3.90510026477039e-13,26.2556839605132,"conditionB-conditionA","sp|P0ABH7|CISY_ECOLI","ECOLI","1","2"
"sp|P0A7S3|RS12_ECOLI",2.06748640572624,16.4651472555364,37.9508002623634,1.46600238568576e-15,4.14909158536228e-13,26.1616651003771,"conditionB-conditionA","sp|P0A7S3|RS12_ECOLI","ECOLI","1","2"
"sp|P63284|CLPB_ECOLI",1.98760727364448,19.4735628863768,37.8787447811935,1.50531214583326e-15,4.14909158536228e-13,26.1355026955159,"conditionB-conditionA","sp|P63284|CLPB_ECOLI","ECOLI","1","2"
"sp|P0C0V0|DEGP_ECOLI",1.90521779198829,17.8335936098306,37.8080715019435,1.5449658365023e-15,4.14909158536228e-13,26.1097873808287,"conditionB-conditionA","sp|P0C0V0|DEGP_ECOLI","ECOLI","1","2"
"sp|P77674|ABDH_ECOLI",1.65295451909006,21.3250087867658,37.6196157039678,1.65627452457345e-15,4.3278005685341e-13,26.0409489033674,"conditionB-conditionA","sp|P77674|ABDH_ECOLI","ECOLI","1","2"
"sp|P0AEM9|TCYJ_ECOLI",1.72588700933201,21.3442422705538,37.4001720132199,1.79680751883086e-15,4.5478963149409e-13,25.960298783835,"conditionB-conditionA","sp|P0AEM9|TCYJ_ECOLI","ECOLI","1","2"
"sp|P0A763|NDK_ECOLI",1.97758725083036,20.9509761556531,37.3443051774106,1.83458788045816e-15,4.5478963149409e-13,25.9396812877116,"conditionB-conditionA","sp|P0A763|NDK_ECOLI","ECOLI","1","2"
"sp|Q46851|GPR_ECOLI",1.8118875180533,19.3284701281016,36.8827064715649,2.18131255076922e-15,5.27223243520921e-13,25.7679890873338,"conditionB-conditionA","sp|Q46851|GPR_ECOLI","ECOLI","1","2"
"sp|P36683|ACNB_ECOLI",1.73309732411093,22.3431428275343,36.7081041796221,2.33021366892876e-15,5.49475750029347e-13,25.7024149275205,"conditionB-conditionA","sp|P36683|ACNB_ECOLI","ECOLI","1","2"
"sp|P09373|PFLB_ECOLI",1.636229789965,21.0591170782762,36.6377905748829,2.39321833768101e-15,5.50896068778572e-13,25.6759088152248,"conditionB-conditionA","sp|P09373|PFLB_ECOLI","ECOLI","1","2"
"sp|P62399|RL5_ECOLI",1.80680358463777,19.8054216837449,36.5167528665971,2.50598576767163e-15,5.63438846554636e-13,25.6301473773369,"conditionB-conditionA","sp|P62399|RL5_ECOLI","ECOLI","1","2"
"sp|P0A8N3|SYK1_ECOLI",1.78295893594496,19.4411137222346,36.0613338327888,2.98403358396982e-15,6.55673561132278e-13,25.4564303447419,"conditionB-conditionA","sp|P0A8N3|SYK1_ECOLI","ECOLI","1","2"
"sp|P23893|GSA_ECOLI",1.3831702517861,17.6911095432745,35.7039451205141,3.42741997315573e-15,7.36362140010435e-13,25.3183817608149,"conditionB-conditionA","sp|P23893|GSA_ECOLI","ECOLI","1","2"
"sp|P09394|GLPQ_ECOLI",1.62200213544332,21.6146628241521,35.3800628950057,3.89047060828487e-15,7.97759409477723e-13,25.1919399109752,"conditionB-conditionA","sp|P09394|GLPQ_ECOLI","ECOLI","1","2"
"sp|P0A799|PGK_ECOLI",1.81477212431173,21.8842438726741,35.352105010971,3.93347066773459e-15,7.97759409477723e-13,25.1809650208731,"conditionB-conditionA","sp|P0A799|PGK_ECOLI","ECOLI","1","2"
"sp|P0AD49|YFIA_ECOLI",1.86897780691509,19.1090544674075,35.332910177129,3.96328727563745e-15,7.97759409477723e-13,25.173424490503,"conditionB-conditionA","sp|P0AD49|YFIA_ECOLI","ECOLI","1","2"
"sp|P23847|DPPA_ECOLI",1.70369575439821,21.5424380872875,35.2821821198405,4.04325724704266e-15,7.97759409477723e-13,25.1534744801252,"conditionB-conditionA","sp|P23847|DPPA_ECOLI","ECOLI","1","2"
"sp|P13029|KATG_ECOLI",1.85367728542305,21.0324074497192,35.0743687391542,4.38935630241602e-15,8.48725934635161e-13,25.0714133572368,"conditionB-conditionA","sp|P13029|KATG_ECOLI","ECOLI","1","2"
"sp|P76145|TAM_ECOLI",1.77178603167958,15.6994928023599,34.7087731795091,5.07758655692181e-15,9.62551114359217e-13,24.9257314466876,"conditionB-conditionA","sp|P76145|TAM_ECOLI","ECOLI","1","2"
"sp|P05055|PNP_ECOLI",1.82771044761881,20.0805349200551,34.3066281994572,5.97028514992363e-15,1.11001378518196e-12,24.763513607352,"conditionB-conditionA","sp|P05055|PNP_ECOLI","ECOLI","1","2"
"sp|P69783|PTGA_ECOLI",1.94469211853825,20.6646042111141,34.0913277880073,6.51605322454884e-15,1.18862646367808e-12,24.6758014237151,"conditionB-conditionA","sp|P69783|PTGA_ECOLI","ECOLI","1","2"
"sp|P76108|YDCS_ECOLI",1.75067483317915,20.1493130107576,33.9417105900881,6.92664322140189e-15,1.22737373349271e-12,24.614488452402,"conditionB-conditionA","sp|P76108|YDCS_ECOLI","ECOLI","1","2"
"sp|P0A6F3|GLPK_ECOLI",1.65575214206866,23.0798991909377,33.9221383841545,6.98237022570326e-15,1.22737373349271e-12,24.6064458111338,"conditionB-conditionA","sp|P0A6F3|GLPK_ECOLI","ECOLI","1","2"
"sp|P0A9K9|SLYD_ECOLI",1.9244193405114,17.389409511544,33.842643618811,7.21369397470402e-15,1.24033780915527e-12,24.5737272088321,"conditionB-conditionA","sp|P0A9K9|SLYD_ECOLI","ECOLI","1","2"
"sp|P0ABB0|ATPA_ECOLI",1.54849113806336,20.3345353293137,33.8094477280573,7.31270739779174e-15,1.24033780915527e-12,24.5600393895598,"conditionB-conditionA","sp|P0ABB0|ATPA_ECOLI","ECOLI","1","2"
"sp|P04825|AMPN_ECOLI",1.76774773022014,19.1598742332401,33.7000432151704,7.64945977095633e-15,1.27508581147596e-12,24.5148234519383,"conditionB-conditionA","sp|P04825|AMPN_ECOLI","ECOLI","1","2"
"sp|P0A870|TALB_ECOLI",1.73479004061212,21.1304254535468,33.5998571365541,7.9724226138345e-15,1.30639630221274e-12,24.473275929443,"conditionB-conditionA","sp|P0A870|TALB_ECOLI","ECOLI","1","2"
"sp|P0AC53|G6PD_ECOLI",2.3572167328261,17.0485727410715,33.3694921109411,8.77172936725365e-15,1.41341799204347e-12,24.3772255098937,"conditionB-conditionA","sp|P0AC53|G6PD_ECOLI","ECOLI","1","2"
"sp|P38879|NACA_YEAST",-0.921553073704782,22.8101791641854,-33.0162805965489,1.01684452891532e-14,1.61161523041858e-12,24.2285365562653,"conditionB-conditionA","sp|P38879|NACA_YEAST","YEAST","1","-1"
"sp|P0AEE5|MGLB_ECOLI",1.80081880988604,23.0864022461963,32.9216425509363,1.05818517847662e-14,1.65008617830838e-12,24.1884022326978,"conditionB-conditionA","sp|P0AEE5|MGLB_ECOLI","ECOLI","1","2"
"sp|P00452|RIR1_ECOLI",1.55412033385262,17.3963056713488,32.8451712123572,1.09290403298023e-14,1.6670394544507e-12,24.1558800558057,"conditionB-conditionA","sp|P00452|RIR1_ECOLI","ECOLI","1","2"
"sp|P77348|MPPA_ECOLI",2.67736378939458,17.3241661043276,32.8222577763021,1.10354287427436e-14,1.6670394544507e-12,24.1461192209682,"conditionB-conditionA","sp|P77348|MPPA_ECOLI","ECOLI","1","2"
"sp|P0AEQ3|GLNH_ECOLI",1.48908941196636,21.6643876988688,32.7742711240118,1.1261842032912e-14,1.6727314802246e-12,24.1256534292911,"conditionB-conditionA","sp|P0AEQ3|GLNH_ECOLI","ECOLI","1","2"
"sp|P38996|NAB3_YEAST",-0.973365791482394,19.561982395975,-32.7415362347108,1.1419143327971e-14,1.6727314802246e-12,24.1116736100235,"conditionB-conditionA","sp|P38996|NAB3_YEAST","YEAST","1","-1"
