,protein,STN,logFC,pvalue,adj.pvalue,contrast,organism,label,TlogFC
0,sp|P00330|ADH1_YEAST,-4.53386429589099,-4.53386429589099,0.0,0.0,conditionB-conditionA,YEAST,1,-1
1,sp|P00359|G3P3_YEAST,-5.12407810290961,-5.12407810290961,0.0,0.0,conditionB-conditionA,YEAST,1,-1
2,sp|P00360|G3P1_YEAST,-3.18636986113025,-3.18636986113025,0.0,0.0,conditionB-conditionA,YEAST,1,-1
3,sp|P00549|KPYK1_YEAST,-4.70405688751957,-4.70405688751957,0.0,0.0,conditionB-conditionA,YEAST,1,-1
4,sp|P00560|PGK_YEAST,-4.46819661492852,-4.46819661492852,0.0,0.0,conditionB-conditionA,YEAST,1,-1
5,sp|P00925|ENO2_YEAST,-7.58241211868827,-7.58241211868827,0.0,0.0,conditionB-conditionA,YEAST,1,-1
6,sp|P00927|THDH_YEAST,-2.62479037556325,-2.62479037556325,0.0,0.0,conditionB-conditionA,YEAST,1,-1
7,sp|P00942|TPIS_YEAST,-3.87524362273445,-3.87524362273445,0.0,0.0,conditionB-conditionA,YEAST,1,-1
8,sp|P00950|PMG1_YEAST,-5.70283266311376,-5.70283266311376,0.0,0.0,conditionB-conditionA,YEAST,1,-1
9,sp|P02400|RLA4_YEAST,-2.66418617746095,-2.66418617746095,0.0,0.0,conditionB-conditionA,YEAST,1,-1
10,sp|P02994|EF1A_YEAST,-3.9873256338482,-3.9873256338482,0.0,0.0,conditionB-conditionA,YEAST,1,-1
11,sp|P03965|CARB_YEAST,-2.52920453560362,-2.52920453560362,0.0,0.0,conditionB-conditionA,YEAST,1,-1
12,sp|P04806|HXKA_YEAST,-2.81157797746202,-2.81157797746202,0.0,0.0,conditionB-conditionA,YEAST,1,-1
13,sp|P04807|HXKB_YEAST,-3.22605141451572,-3.22605141451572,0.0,0.0,conditionB-conditionA,YEAST,1,-1
14,sp|P04840|VDAC1_YEAST,-3.04114112499287,-3.04114112499287,0.0,0.0,conditionB-conditionA,YEAST,1,-1
15,sp|P05030|PMA1_YEAST,-2.56387205943178,-2.56387205943178,0.0,0.0,conditionB-conditionA,YEAST,1,-1
