"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P16140.VATB_YEAST","sp|P16140|VATB_YEAST","1.1831338265422","0.000100803794966399","0","conditionB-conditionA","YEAST","1","-1"
"sp.P38555.YPT31_YEAST.1","sp|P38555|YPT31_YEAST","3.93693405547627","0.000100803794966399","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P29547.EF1G1_YEAST.2","sp|P29547|EF1G1_YEAST","1.02573117724858","0.000105415733298195","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P38707.SYNC_YEAST","sp|P38707|SYNC_YEAST","1.20313927572073","0.000106733429964422","0","conditionB-conditionA","YEAST","1","-1"
"sp.P40518.ARPC5_YEAST.1","sp|P40518|ARPC5_YEAST","3.19337387027217","0.000106733429964422","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P21524.RIR1_YEAST.2","sp|P21524|RIR1_YEAST","1.46042536168565","0.000112004216629332","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P05748.RL15A_YEAST","sp|P05748|RL15A_YEAST","1.27207110880654","0.000112663064962446","0","conditionB-conditionA","YEAST","1","-1"
"sp.P53131.PRP43_YEAST.1","sp|P53131|PRP43_YEAST","3.17372279830763","0.000112663064962446","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P00942.TPIS_YEAST","sp|P00942|TPIS_YEAST","1.31392429191606","0.000118592699960469","0","conditionB-conditionA","YEAST","1","-1"
"sp.Q12265.KPR5_YEAST.1","sp|Q12265|KPR5_YEAST","3.03340330430284","0.000118592699960469","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P37291.GLYC_YEAST.2","sp|P37291|GLYC_YEAST","0.768982261041128","0.000118592699960469","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P40185.MMF1_YEAST","sp|P40185|MMF1_YEAST","1.32880592533206","0.000124522334958493","0","conditionB-conditionA","YEAST","1","-1"
"sp.Q02931.UTP17_YEAST.1","sp|Q02931|UTP17_YEAST","3.69311402612234","0.000124522334958493","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P00950.PMG1_YEAST.2","sp|P00950|PMG1_YEAST","0.657094501445876","0.000125181183291606","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P22203.VATE_YEAST","sp|P22203|VATE_YEAST","1.32145430082658","0.000130451969956516","0","conditionB-conditionA","YEAST","1","-1"
"sp.P53731.ARPC2_YEAST.1","sp|P53731|ARPC2_YEAST","2.93011912769919","0.000130451969956516","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P26637.SYLC_YEAST.2","sp|P26637|SYLC_YEAST","1.09667064192965","0.000131769666622743","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P32589.HSP7F_YEAST","sp|P32589|HSP7F_YEAST","1.23208938707688","0.000136381604954539","0","conditionB-conditionA","YEAST","1","-1"
"sp.P27614.CBPS_YEAST.1","sp|P27614|CBPS_YEAST","2.65173390167575","0.000136381604954539","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P38707.SYNC_YEAST.2","sp|P38707|SYNC_YEAST","1.04857498954634","0.000138358149953881","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P38708.YHI0_YEAST","sp|P38708|YHI0_YEAST","1.43037248544146","0.000142311239952563","0","conditionB-conditionA","YEAST","1","-1"
"sp.P39986.SPF1_YEAST.1","sp|P39986|SPF1_YEAST","3.28314071376","0.000142311239952563","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P40024.ARB1_YEAST.2","sp|P40024|ARB1_YEAST","0.947950227852392","0.000144946633285018","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
