"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P53173.ERV14_YEAST","sp|P53173|ERV14_YEAST","-0.785285665931832","0.00010515247108307","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q12306.SMT3_YEAST.1","sp|Q12306|SMT3_YEAST","-0.748523857342366","0.00010515247108307","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40150.SSB2_YEAST","sp|P40150|SSB2_YEAST","-0.361462228908724","0.000131440588853838","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P23301.IF5A1_YEAST.1","sp|P23301|IF5A1_YEAST","-0.717042245972447","0.000131440588853838","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX25.RL43A_YEAST.2","sp|P0CX25|RL43A_YEAST","-0.390949238902763","0.00013801261829653","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02406.RL28_YEAST","sp|P02406|RL28_YEAST","-0.489760307861079","0.000157728706624606","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P07149.FAS1_YEAST.1","sp|P07149|FAS1_YEAST","-0.610120960440408","0.000157728706624606","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40303.PSA4_YEAST.2","sp|P40303|PSA4_YEAST","-0.472198239362857","0.000164300736067298","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02829.HSP82_YEAST","sp|P02829|HSP82_YEAST","-0.383117251861162","0.000184016824395373","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P26321.RL5_YEAST.1","sp|P26321|RL5_YEAST","-0.704666137010399","0.000184016824395373","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P14126.RL3_YEAST.2","sp|P14126|RL3_YEAST","-0.396475054597058","0.000190588853838065","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P16140.VATB_YEAST","sp|P16140|VATB_YEAST","-0.343318667368901","0.000210304942166141","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P41056.RL33B_YEAST.1","sp|P41056|RL33B_YEAST","-0.75116496430674","0.000210304942166141","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX55.RS18A_YEAST.2","sp|P0CX55|RS18A_YEAST","-0.333140072018434","0.000216876971608833","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P25694.CDC48_YEAST.1","sp|P25694|CDC48_YEAST","-0.673517395912789","0.000236593059936909","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P25367.RNQ1_YEAST.2","sp|P25367|RNQ1_YEAST","-0.580092102606166","0.0002431650893796","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0CX23.RL20A_YEAST.1","sp|P0CX23|RL20A_YEAST","-0.7435344006192","0.000262881177707676","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P32377.MVD1_YEAST.2","sp|P32377|MVD1_YEAST","-0.445226041656653","0.000269453207150368","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P10622.RLA3_YEAST.1","sp|P10622|RLA3_YEAST","-0.720246293751512","0.000289169295478444","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q9Y5S2.MRCKB_HUMAN.2","sp|Q9Y5S2|MRCKB_HUMAN","-1.31820809996804","0.000295741324921136","0","conditionD-conditionC","HUMAN","0","0"
"sp.P38720.6PGD1_YEAST","sp|P38720|6PGD1_YEAST","-0.422403850633444","0.000314143007360673","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q02753.RL21A_YEAST.1","sp|Q02753|RL21A_YEAST","-0.617042891298755","0.000315457413249211","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40422.RPAB4_YEAST.2","sp|P40422|RPAB4_YEAST","-0.473548606824147","0.000322029442691903","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P46655.SYEC_YEAST.1","sp|P46655|SYEC_YEAST","-0.589639022747381","0.000341745531019979","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q07551.KAR_YEAST.2","sp|Q07551|KAR_YEAST","-0.331859025538709","0.000348317560462671","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P10622.RLA3_YEAST","sp|P10622|RLA3_YEAST","-0.423571659368839","0.000362776025236593","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P40150.SSB2_YEAST.1","sp|P40150|SSB2_YEAST","-0.665526256772171","0.000368033648790747","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P16521.EF3A_YEAST.2","sp|P16521|EF3A_YEAST","-0.314600199211906","0.000374605678233439","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P25694.CDC48_YEAST","sp|P25694|CDC48_YEAST","-0.361945683382036","0.000389064143007361","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00549.KPYK1_YEAST.1","sp|P00549|KPYK1_YEAST","-0.630241380717575","0.000394321766561514","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P26321.RL5_YEAST","sp|P26321|RL5_YEAST","-0.356004830616591","0.000415352260778128","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00330.ADH1_YEAST.1","sp|P00330|ADH1_YEAST","-0.606769182897942","0.000420609884332282","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q00955.ACAC_YEAST.2","sp|Q00955|ACAC_YEAST","-0.648608074841714","0.000432439537329127","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P32589.HSP7F_YEAST","sp|P32589|HSP7F_YEAST","-0.301473000247054","0.000441640378548896","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10080.SSBP1_YEAST.1","sp|P10080|SSBP1_YEAST","-0.721362172543888","0.000446898002103049","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.O95155.UBE4B_HUMAN.2","sp|O95155|UBE4B_HUMAN","0.533450210118959","0.000458727655099895","0","conditionD-conditionC","HUMAN","0","0"
"sp.P35691.TCTP_YEAST.1","sp|P35691|TCTP_YEAST","-0.713739887802475","0.000473186119873817","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q9BW60.ELOV1_HUMAN.2","sp|Q9BW60|ELOV1_HUMAN","0.464776709998917","0.000485015772870662","0","conditionD-conditionC","HUMAN","0","0"
"sp.P04802.SYDC_YEAST","sp|P04802|SYDC_YEAST","-0.430915784185068","0.00049553101997897","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00359.G3P3_YEAST.1","sp|P00359|G3P3_YEAST","-0.556686853523466","0.000499474237644585","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P07267.CARP_YEAST","sp|P07267|CARP_YEAST","-0.336610707580423","0.000521819137749737","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P04802.SYDC_YEAST.1","sp|P04802|SYDC_YEAST","-0.664667149246792","0.000525762355415352","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P54838.DAK1_YEAST.2","sp|P54838|DAK1_YEAST","-0.470633790810433","0.000538906414300736","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P32263.P5CR_YEAST","sp|P32263|P5CR_YEAST","-0.608954535059603","0.000548107255520505","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P38707.SYNC_YEAST.1","sp|P38707|SYNC_YEAST","-0.659029059429798","0.00055205047318612","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P33442.RS3A1_YEAST.2","sp|P33442|RS3A1_YEAST","-0.361129142865067","0.000565194532071504","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P05755.RS9B_YEAST.1","sp|P05755|RS9B_YEAST","-0.640449760875587","0.000578338590956887","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P32481.IF2G_YEAST.2","sp|P32481|IF2G_YEAST","-0.368083453330126","0.000591482649842271","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00950.PMG1_YEAST.1","sp|P00950|PMG1_YEAST","-0.691649646803317","0.000604626708727655","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P07149.FAS1_YEAST.2","sp|P07149|FAS1_YEAST","-0.349687196816628","0.000617770767613039","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q02725.VTC3_YEAST.1","sp|Q02725|VTC3_YEAST","-0.742109106492439","0.000630914826498423","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q02725.VTC3_YEAST.2","sp|Q02725|VTC3_YEAST","-0.464606164235231","0.000644058885383807","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P32471.EF1B_YEAST.1","sp|P32471|EF1B_YEAST","-0.697680526144474","0.00065720294426919","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q02753.RL21A_YEAST.2","sp|Q02753|RL21A_YEAST","-0.364602946212472","0.000670347003154574","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P0C0W9.RL11A_YEAST","sp|P0C0W9|RL11A_YEAST","-0.343431250688123","0.000676919032597266","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q12522.IF6_YEAST.1","sp|Q12522|IF6_YEAST","-0.876029621210201","0.000683491062039958","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00549.KPYK1_YEAST","sp|P00549|KPYK1_YEAST","-0.335886424501705","0.000703207150368034","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q03048.COFI_YEAST.1","sp|Q03048|COFI_YEAST","-0.706314302128145","0.000709779179810726","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P39938.RS26A_YEAST.2","sp|P39938|RS26A_YEAST","-0.510521141827066","0.000724237644584648","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P22203.VATE_YEAST.1","sp|P22203|VATE_YEAST","-0.629854636557759","0.000736067297581493","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P26321.RL5_YEAST.2","sp|P26321|RL5_YEAST","-0.348661306393808","0.000750525762355415","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00330.ADH1_YEAST","sp|P00330|ADH1_YEAST","-0.332999017564184","0.000753154574132492","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00925.ENO2_YEAST.1","sp|P00925|ENO2_YEAST","-0.600490307761866","0.000762355415352261","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38788.SSZ1_YEAST.2","sp|P38788|SSZ1_YEAST","-0.432391201252489","0.000776813880126183","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P06168.ILV5_YEAST","sp|P06168|ILV5_YEAST","-0.382652621697225","0.00077944269190326","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P04147.PABP_YEAST.1","sp|P04147|PABP_YEAST","-0.635311473128652","0.000788643533123028","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P16521.EF3A_YEAST.1","sp|P16521|EF3A_YEAST","-0.62762380222388","0.000814931650893796","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38707.SYNC_YEAST.2","sp|P38707|SYNC_YEAST","-0.3613612492756","0.000826761303890641","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P41056.RL33B_YEAST","sp|P41056|RL33B_YEAST","-0.441950530078977","0.00082807570977918","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P05750.RS3_YEAST.1","sp|P05750|RS3_YEAST","-0.581306652433646","0.000841219768664564","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00950.PMG1_YEAST.2","sp|P00950|PMG1_YEAST","-0.318704925226726","0.000853049421661409","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P40212.RL13B_YEAST.1","sp|P40212|RL13B_YEAST","-0.6256766752781","0.000867507886435331","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00925.ENO2_YEAST","sp|P00925|ENO2_YEAST","-0.336103487738495","0.0008767087276551","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P14832.CYPH_YEAST.2","sp|P14832|CYPH_YEAST","-0.367780355400605","0.000879337539432177","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P40106.GPP2_YEAST.1","sp|P40106|GPP2_YEAST","-0.853464446509792","0.000893796004206099","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38972.PUR4_YEAST","sp|P38972|PUR4_YEAST","-0.475380328026549","0.000902996845425868","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P14540.ALF_YEAST.2","sp|P14540|ALF_YEAST","-0.278470909527865","0.000905625657202944","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P39726.GCSH_YEAST.1","sp|P39726|GCSH_YEAST","-1.03130055042036","0.000920084121976866","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P05750.RS3_YEAST","sp|P05750|RS3_YEAST","-0.344241806910556","0.000929284963196635","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P60484.PTEN_HUMAN.2","sp|P60484|PTEN_HUMAN","-1.1432055857721","0.000931913774973712","0.0188679245283019","conditionD-conditionC","HUMAN","0","0"
"sp.P0CX82.RL19A_YEAST.1","sp|P0CX82|RL19A_YEAST","-0.549974247194726","0.000946372239747634","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q12159.YRA1_YEAST","sp|Q12159|YRA1_YEAST","-0.583155127760852","0.000955573080967403","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P00359.G3P3_YEAST.2","sp|P00359|G3P3_YEAST","-0.301803799674516","0.000958201892744479","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P41835.THI6_YEAST.1","sp|P41835|THI6_YEAST","-0.692387610548105","0.000972660357518402","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P04147.PABP_YEAST","sp|P04147|PABP_YEAST","-0.267130720954896","0.00098186119873817","0.025","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10081.IF4A_YEAST.2","sp|P10081|IF4A_YEAST","-0.294176699074516","0.000984490010515247","0.0188679245283019","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P38720.6PGD1_YEAST.1","sp|P38720|6PGD1_YEAST","-0.648033350239771","0.000998948475289169","0","conditionD-conditionB","YEAST","1","0.584962500721156"
