"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A6F5|CH60_ECOLI","conditionB-conditionA",0,3.24173107363974,0,"ECOLI","1","1"
"2","sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",0,3.26236956236882,0,"ECOLI","1","1"
"3","sp|P33602|NUOG_ECOLI","conditionB-conditionA",0,2.90908353243052,0,"ECOLI","1","1"
"4","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",0,2.15265861982431,0,"ECOLI","1","1"
"5","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",0,2.62320710797416,0,"ECOLI","1","1"
"6","sp|P0A850|TIG_ECOLI","conditionB-conditionA",0,2.47950592775753,0,"ECOLI","1","1"
"7","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",0,2.15198951715051,0,"ECOLI","1","1"
"8","sp|P0ABB4|ATPB_ECOLI","conditionB-conditionA",0,2.5827403792604,0,"ECOLI","1","1"
"9","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",0,1.99443376059581,0,"ECOLI","1","1"
"10","sp|P0AEK4|FABI_ECOLI","conditionB-conditionA",0,2.04048748274564,0,"ECOLI","1","1"
"11","sp|P0AG30|RHO_ECOLI","conditionB-conditionA",0,1.93577079019023,0,"ECOLI","1","1"
"12","sp|P0AG55|RL6_ECOLI","conditionB-conditionA",0,1.87852157789998,0,"ECOLI","1","1"
"13","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",0,1.93288685693006,0,"ECOLI","1","1"
"14","sp|P36683|ACNB_ECOLI","conditionB-conditionA",0,2.01859111524004,0,"ECOLI","1","1"
"15","sp|P61889|MDH_ECOLI","conditionB-conditionA",0,1.95452543922333,0,"ECOLI","1","1"
"16","sp|P05793|ILVC_ECOLI","conditionB-conditionA",0,1.83348475269138,0,"ECOLI","1","1"
"17","sp|P05825|FEPA_ECOLI","conditionB-conditionA",0,1.75032803456886,0,"ECOLI","1","1"
"18","sp|P0AFX9|RSEB_ECOLI","conditionB-conditionA",0,1.73266890634266,0,"ECOLI","1","1"
"19","sp|P12281|MOEA_ECOLI","conditionB-conditionA",0,2.00612198266578,0,"ECOLI","1","1"
"20","sp|P69783|PTGA_ECOLI","conditionB-conditionA",0,1.66714297011606,0,"ECOLI","1","1"
"21","sp|P0A870|TALB_ECOLI","conditionB-conditionA",0,1.62066254557818,0,"ECOLI","1","1"
"22","sp|P63284|CLPB_ECOLI","conditionB-conditionA",0,1.60203953262249,0,"ECOLI","1","1"
"23","sp|P0AFG6|ODO2_ECOLI","conditionB-conditionA",0,1.55990246147677,0,"ECOLI","1","1"
"24","sp|P02359|RS7_ECOLI","conditionB-conditionA",0,1.54996624230309,0,"ECOLI","1","1"
"25","sp|P0A9P0|DLDH_ECOLI","conditionB-conditionA",0,1.54307696342564,0,"ECOLI","1","1"
"26","sp|P0A7D4|PURA_ECOLI","conditionB-conditionA",0,1.5259288261058,0,"ECOLI","1","1"
"27","sp|P62399|RL5_ECOLI","conditionB-conditionA",0,1.46575206961931,0,"ECOLI","1","1"
"28","sp|P0A8M6|YEEX_ECOLI","conditionB-conditionA",0,1.43756440430778,0,"ECOLI","1","1"
"29","sp|P0AFG8|ODP1_ECOLI","conditionB-conditionA",0,1.49960912741988,0,"ECOLI","1","1"
"30","sp|P0A9C5|GLN1B_ECOLI","conditionB-conditionA",0,1.38050649665448,0,"ECOLI","1","1"
"31","sp|P0A7V3|RS3_ECOLI","conditionB-conditionA",0,1.33488965575561,0,"ECOLI","1","1"
