"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",161.807898860979,0,0.817241249055069,0,"ECOLI","1","1"
"2","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",156.049328646061,0,0.951676887771448,0,"ECOLI","1","1"
"3","sp|P0ABB4|ATPB_ECOLI","conditionB-conditionA",160.393889128553,0,0.982466162021556,0,"ECOLI","1","1"
"4","sp|P0A6F5|CH60_ECOLI","conditionB-conditionA",167.040588994943,0,0.922742919576351,0,"ECOLI","1","1"
"5","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",154.619821699259,0,1.07997973311215,0,"ECOLI","1","1"
"6","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",138.49851719724,0,0.842727488537157,0,"ECOLI","1","1"
"7","sp|P0A850|TIG_ECOLI","conditionB-conditionA",140.007380329717,0,0.920844157778056,0,"ECOLI","1","1"
"8","sp|P02925|RBSB_ECOLI","conditionB-conditionA",139.308683368625,0,0.950372658471537,0,"ECOLI","1","1"
"9","sp|P25665|METE_ECOLI","conditionB-conditionA",129.873760500554,0,1.05614338170145,0,"ECOLI","1","1"
"10","sp|P0A7W1|RS5_ECOLI","conditionB-conditionA",138.686899881135,0,1.07358740476714,0,"ECOLI","1","1"
"11","sp|P36683|ACNB_ECOLI","conditionB-conditionA",139.250506418222,0,0.987640606753949,0,"ECOLI","1","1"
"12","sp|P0AAI3|FTSH_ECOLI","conditionB-conditionA",119.264922258602,0,1.71828388983059,0,"ECOLI","1","1"
"13","sp|P0A799|PGK_ECOLI","conditionB-conditionA",132.678765347835,0,0.904888496005483,0,"ECOLI","1","1"
"14","sp|P62399|RL5_ECOLI","conditionB-conditionA",135.609406173858,0,0.90396886123801,0,"ECOLI","1","1"
"15","sp|P0ACY1|YDJA_ECOLI","conditionB-conditionA",103.73869770852,0,1.52073816221937,0,"ECOLI","1","1"
"16","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",129.590779785982,0,0.92634567612112,0,"ECOLI","1","1"
"17","sp|P0A7R5|RS10_ECOLI","conditionB-conditionA",134.464522988678,0,1.07851168962071,0,"ECOLI","1","1"
"18","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",143.245388347848,0,0.732012453127172,0,"ECOLI","1","1"
"19","sp|P0A862|TPX_ECOLI","conditionB-conditionA",123.26974126891,0,0.885980781609113,0,"ECOLI","1","1"
"20","sp|P0A7J7|RL11_ECOLI","conditionB-conditionA",116.299294263064,0,0.854750135546244,0,"ECOLI","1","1"
"21","sp|P0AE52|BCP_ECOLI","conditionB-conditionA",125.360684453544,0,1.31263573120417,0,"ECOLI","1","1"
