"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|O13535|YH11B_YEAST","conditionB-conditionA",0,-2.55058756686684,0,"YEAST","1","-1"
"2","sp|P00359|G3P3_YEAST","conditionB-conditionA",0,-2.34686204056305,0,"YEAST","1","-1"
"3","sp|P00815|HIS2_YEAST","conditionB-conditionA",0,-4.33472445778924,0,"YEAST","1","-1"
"4","sp|P00830|ATPB_YEAST","conditionB-conditionA",0,-3.30430559764065,0,"YEAST","1","-1"
"5","sp|P00890|CISY1_YEAST","conditionB-conditionA",0,-2.62966424124431,0,"YEAST","1","-1"
"6","sp|P00925|ENO2_YEAST","conditionB-conditionA",0,-3.58370816960935,0,"YEAST","1","-1"
"7","sp|P00931|TRP_YEAST","conditionB-conditionA",0,-3.78227432949725,0,"YEAST","1","-1"
"8","sp|P00958|SYMC_YEAST","conditionB-conditionA",0,-3.0451921801235,0,"YEAST","1","-1"
"9","sp|P02829|HSP82_YEAST","conditionB-conditionA",0,-2.47618620756466,0,"YEAST","1","-1"
"10","sp|P04046|PUR1_YEAST","conditionB-conditionA",0,-2.41852033893189,0,"YEAST","1","-1"
"11","sp|P04147|PABP_YEAST","conditionB-conditionA",0,-5.11720275653838,0,"YEAST","1","-1"
"12","sp|P04801|SYTC_YEAST","conditionB-conditionA",0,-3.69268715366927,0,"YEAST","1","-1"
"13","sp|P04802|SYDC_YEAST","conditionB-conditionA",0,-3.64138853486648,0,"YEAST","1","-1"
"14","sp|P04807|HXKB_YEAST","conditionB-conditionA",0,-2.5327554639165,0,"YEAST","1","-1"
"15","sp|P05030|PMA1_YEAST","conditionB-conditionA",0,-2.0964168896289,0,"YEAST","1","-1"
"16","sp|P05694|METE_YEAST","conditionB-conditionA",0,-3.56282438270895,0,"YEAST","1","-1"
"17","sp|P06105|SC160_YEAST","conditionB-conditionA",0,-3.64919630982855,0,"YEAST","1","-1"
"18","sp|P06169|PDC1_YEAST","conditionB-conditionA",0,-2.95275353959452,0,"YEAST","1","-1"
"19","sp|P06634|DED1_YEAST","conditionB-conditionA",0,-2.37601447263948,0,"YEAST","1","-1"
"20","sp|P06738|PHSG_YEAST","conditionB-conditionA",0,-5.10180111608403,0,"YEAST","1","-1"
"21","sp|P07149|FAS1_YEAST","conditionB-conditionA",0,-7.55574946896596,0,"YEAST","1","-1"
"22","sp|P07213|TOM70_YEAST","conditionB-conditionA",0,-2.54766862846628,0,"YEAST","1","-1"
"23","sp|P07244|PUR2_YEAST","conditionB-conditionA",0,-3.70146617630779,0,"YEAST","1","-1"
"24","sp|P07245|C1TC_YEAST","conditionB-conditionA",0,-4.85291700966437,0,"YEAST","1","-1"
"25","sp|P07246|ADH3_YEAST","conditionB-conditionA",0,-3.45760491148749,0,"YEAST","1","-1"
"26","sp|P07251|ATPA_YEAST","conditionB-conditionA",0,-2.99586710322354,0,"YEAST","1","-1"
"27","sp|P07257|QCR2_YEAST","conditionB-conditionA",0,-2.12313791788102,0,"YEAST","1","-1"
"28","sp|P07259|PYR1_YEAST","conditionB-conditionA",0,-6.63112709092231,0,"YEAST","1","-1"
"29","sp|P07284|SYSC_YEAST","conditionB-conditionA",0,-4.24139455491641,0,"YEAST","1","-1"
"30","sp|P07806|SYV_YEAST","conditionB-conditionA",0,-4.30891318872229,0,"YEAST","1","-1"
"31","sp|P08524|ERG20_YEAST","conditionB-conditionA",0,-2.8240900075418,0,"YEAST","1","-1"
"32","sp|P09436|SYIC_YEAST","conditionB-conditionA",0,-4.32679956800541,0,"YEAST","1","-1"
"33","sp|P09624|DLDH_YEAST","conditionB-conditionA",0,-2.56591439181416,0,"YEAST","1","-1"
"34","sp|P09938|RIR2_YEAST","conditionB-conditionA",0,-2.40896773830155,0,"YEAST","1","-1"
"35","sp|P0CS90|HSP77_YEAST","conditionB-conditionA",0,-2.77008078269767,0,"YEAST","1","-1"
"36","sp|P0CT04|IPB2_YEAST","conditionB-conditionA",0,-2.63231001723513,0,"YEAST","1","-1"
"37","sp|P10591|HSP71_YEAST","conditionB-conditionA",0,-2.40759181841992,0,"YEAST","1","-1"
"38","sp|P10659|METK1_YEAST","conditionB-conditionA",0,-2.60435835392693,0,"YEAST","1","-1"
"39","sp|P11154|PYC1_YEAST","conditionB-conditionA",0,-3.29975778916392,0,"YEAST","1","-1"
"40","sp|P11412|G6PD_YEAST","conditionB-conditionA",0,-2.68177132606723,0,"YEAST","1","-1"
"41","sp|P13663|DHAS_YEAST","conditionB-conditionA",0,-2.40761945127366,0,"YEAST","1","-1"
"42","sp|P14540|ALF_YEAST","conditionB-conditionA",0,-2.63057758030024,0,"YEAST","1","-1"
"43","sp|P14742|GFA1_YEAST","conditionB-conditionA",0,-2.22241046077469,0,"YEAST","1","-1"
"44","sp|P15108|HSC82_YEAST","conditionB-conditionA",0,-2.32628203984576,0,"YEAST","1","-1"
"45","sp|P15180|SYKC_YEAST","conditionB-conditionA",0,-3.23775363707942,0,"YEAST","1","-1"
"46","sp|P15454|KGUA_YEAST","conditionB-conditionA",0,-2.68374022605149,0,"YEAST","1","-1"
"47","sp|P15624|SYFB_YEAST","conditionB-conditionA",0,-2.75528255318759,0,"YEAST","1","-1"
"48","sp|P15625|SYFA_YEAST","conditionB-conditionA",0,-3.04663544630029,0,"YEAST","1","-1"
"49","sp|P15705|STI1_YEAST","conditionB-conditionA",0,-4.42664207873156,0,"YEAST","1","-1"
"50","sp|P15873|PCNA_YEAST","conditionB-conditionA",0,-2.23308284843247,0,"YEAST","1","-1"
"51","sp|P15891|ABP1_YEAST","conditionB-conditionA",0,-3.82390365671433,0,"YEAST","1","-1"
"52","sp|P16120|THRC_YEAST","conditionB-conditionA",0,-4.43203331101079,0,"YEAST","1","-1"
"53","sp|P16140|VATB_YEAST","conditionB-conditionA",0,-2.93974601228288,0,"YEAST","1","-1"
"54","sp|P16474|BIP_YEAST","conditionB-conditionA",0,-4.15785812783595,0,"YEAST","1","-1"
"55","sp|P16521|EF3A_YEAST","conditionB-conditionA",0,-2.36059267052595,0,"YEAST","1","-1"
"56","sp|P16603|NCPR_YEAST","conditionB-conditionA",0,-2.23308284843247,0,"YEAST","1","-1"
"57","sp|P16861|PFKA1_YEAST","conditionB-conditionA",0,-3.52035116505739,0,"YEAST","1","-1"
"58","sp|P16862|PFKA2_YEAST","conditionB-conditionA",0,-4.36860884730247,0,"YEAST","1","-1"
"59","sp|P16965|STF2_YEAST","conditionB-conditionA",0,-2.50194403180352,0,"YEAST","1","-1"
"60","sp|P17255|VATA_YEAST","conditionB-conditionA",0,-3.84456266473811,0,"YEAST","1","-1"
"61","sp|P17536|TPM1_YEAST","conditionB-conditionA",0,-4.04020899252748,0,"YEAST","1","-1"
"62","sp|P17555|CAP_YEAST","conditionB-conditionA",0,-2.26897885551574,0,"YEAST","1","-1"
"63","sp|P17891|CLC1_YEAST","conditionB-conditionA",0,-2.58416790991482,0,"YEAST","1","-1"
"64","sp|P19097|FAS2_YEAST","conditionB-conditionA",0,-6.43634078107234,0,"YEAST","1","-1"
"65","sp|P19414|ACON_YEAST","conditionB-conditionA",0,-3.12636661089187,0,"YEAST","1","-1"
"66","sp|P19882|HSP60_YEAST","conditionB-conditionA",0,-2.27534848918658,0,"YEAST","1","-1"
"67","sp|P21264|PUR6_YEAST","conditionB-conditionA",0,-2.53190745287819,0,"YEAST","1","-1"
"68","sp|P22137|CLH_YEAST","conditionB-conditionA",0,-5.40787002566922,0,"YEAST","1","-1"
"69","sp|P22147|XRN1_YEAST","conditionB-conditionA",0,-2.69404054363967,0,"YEAST","1","-1"
"70","sp|P22203|VATE_YEAST","conditionB-conditionA",0,-2.20776068514157,0,"YEAST","1","-1"
"71","sp|P22515|UBA1_YEAST","conditionB-conditionA",0,-5.33963074401478,0,"YEAST","1","-1"
"72","sp|P23254|TKT1_YEAST","conditionB-conditionA",0,-3.57324802369114,0,"YEAST","1","-1"
"73","sp|P23542|AATC_YEAST","conditionB-conditionA",0,-3.55615483281952,0,"YEAST","1","-1"
"74","sp|P23639|PSA2_YEAST","conditionB-conditionA",0,-2.69967346207716,0,"YEAST","1","-1"
"75","sp|P25294|SIS1_YEAST","conditionB-conditionA",0,-3.20737971988496,0,"YEAST","1","-1"
"76","sp|P25343|RV161_YEAST","conditionB-conditionA",0,-2.43813751938318,0,"YEAST","1","-1"
"77","sp|P25349|YCP4_YEAST","conditionB-conditionA",0,-2.51438343954665,0,"YEAST","1","-1"
"78","sp|P25443|RS2_YEAST","conditionB-conditionA",0,-2.12376045069465,0,"YEAST","1","-1"
"79","sp|P25491|MAS5_YEAST","conditionB-conditionA",0,-2.61601318578638,0,"YEAST","1","-1"
"80","sp|P25694|CDC48_YEAST","conditionB-conditionA",0,-2.21583935354493,0,"YEAST","1","-1"
"81","sp|P25719|CYPC_YEAST","conditionB-conditionA",0,-2.53453271023619,0,"YEAST","1","-1"
"82","sp|P26637|SYLC_YEAST","conditionB-conditionA",0,-4.06460958958262,0,"YEAST","1","-1"
"83","sp|P27472|GYS2_YEAST","conditionB-conditionA",0,-2.95236570380845,0,"YEAST","1","-1"
"84","sp|P27616|PUR7_YEAST","conditionB-conditionA",0,-3.10442161546267,0,"YEAST","1","-1"
"85","sp|P28834|IDH1_YEAST","conditionB-conditionA",0,-2.28963357045439,0,"YEAST","1","-1"
"86","sp|P29547|EF1G1_YEAST","conditionB-conditionA",0,-2.71557671742177,0,"YEAST","1","-1"
"87","sp|P31116|DHOM_YEAST","conditionB-conditionA",0,-2.10488496972442,0,"YEAST","1","-1"
"88","sp|P31412|VATC_YEAST","conditionB-conditionA",0,-2.60432455377922,0,"YEAST","1","-1"
"89","sp|P31539|HS104_YEAST","conditionB-conditionA",0,-3.54426287003222,0,"YEAST","1","-1"
"90","sp|P31688|TPS2_YEAST","conditionB-conditionA",0,-3.31991018142114,0,"YEAST","1","-1"
"91","sp|P32263|P5CR_YEAST","conditionB-conditionA",0,-2.25643511445817,0,"YEAST","1","-1"
"92","sp|P32324|EF2_YEAST","conditionB-conditionA",0,-2.61936890867041,0,"YEAST","1","-1"
"93","sp|P32449|AROG_YEAST","conditionB-conditionA",0,-2.41882309496989,0,"YEAST","1","-1"
"94","sp|P32454|APE2_YEAST","conditionB-conditionA",0,-2.75506801910131,0,"YEAST","1","-1"
"95","sp|P32481|IF2G_YEAST","conditionB-conditionA",0,-2.69967346207716,0,"YEAST","1","-1"
"96","sp|P32497|EIF3C_YEAST","conditionB-conditionA",0,-2.42837324152853,0,"YEAST","1","-1"
"97","sp|P32527|ZUO1_YEAST","conditionB-conditionA",0,-2.93938476558024,0,"YEAST","1","-1"
"98","sp|P32563|VPP1_YEAST","conditionB-conditionA",0,-2.62966424124431,0,"YEAST","1","-1"
"99","sp|P32582|CBS_YEAST","conditionB-conditionA",0,-3.48637194532239,0,"YEAST","1","-1"
"100","sp|P32589|HSP7F_YEAST","conditionB-conditionA",0,-3.57594994603411,0,"YEAST","1","-1"
"101","sp|P32599|FIMB_YEAST","conditionB-conditionA",0,-3.04663544630029,0,"YEAST","1","-1"
"102","sp|P32614|FRDS_YEAST","conditionB-conditionA",0,-2.44264976538362,0,"YEAST","1","-1"
"103","sp|P32861|UGPA1_YEAST","conditionB-conditionA",0,-3.29256390028192,0,"YEAST","1","-1"
"104","sp|P33892|GCN1_YEAST","conditionB-conditionA",0,-2.33402897776918,0,"YEAST","1","-1"
"105","sp|P36008|EF1G2_YEAST","conditionB-conditionA",0,-2.34055579923644,0,"YEAST","1","-1"
"106","sp|P36010|NDK_YEAST","conditionB-conditionA",0,-3.05662558854398,0,"YEAST","1","-1"
"107","sp|P36060|MCR1_YEAST","conditionB-conditionA",0,-2.41531723512892,0,"YEAST","1","-1"
"108","sp|P36421|SYYC_YEAST","conditionB-conditionA",0,-2.87701729123319,0,"YEAST","1","-1"
"109","sp|P37012|PGM2_YEAST","conditionB-conditionA",0,-3.26126466861206,0,"YEAST","1","-1"
"110","sp|P37291|GLYC_YEAST","conditionB-conditionA",0,-2.3081168187961,0,"YEAST","1","-1"
"111","sp|P38009|PUR92_YEAST","conditionB-conditionA",0,-2.67144174798138,0,"YEAST","1","-1"
