"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",309.166956847568,0,1.97813953186735,0,"ECOLI","1","2"
"2","sp|P0ABH7|CISY_ECOLI","conditionB-conditionA",240.185034065125,0,4.16889746846677,0,"ECOLI","1","2"
"3","sp|P00950|PMG1_YEAST","conditionB-conditionA",296.436983553334,0,-1.0107614648221,0,"YEAST","1","-1"
"4","sp|P11484|SSB1_YEAST","conditionB-conditionA",268.412814070999,0,-1.08385727087538,0,"YEAST","1","-1"
"5","sp|P0A9B2|G3P1_ECOLI","conditionB-conditionA",252.92068372264,0,2.3472818976232,0,"ECOLI","1","2"
"6","sp|P00722|BGAL_ECOLI","conditionB-conditionA",220.674158807672,0,2.01634884621616,0,"ECOLI","1","2"
"7","sp|P0AEE5|MGLB_ECOLI","conditionB-conditionA",270.843317013423,0,2.35987330286107,0,"ECOLI","1","2"
"8","sp|P0AG44|RL17_ECOLI","conditionB-conditionA",218.931499177316,0,2.843119845513,0,"ECOLI","1","2"
"9","sp|P27550|ACSA_ECOLI","conditionB-conditionA",224.240224044704,0,3.43711992318798,0,"ECOLI","1","2"
"10","sp|P04807|HXKB_YEAST","conditionB-conditionA",271.393530210009,0,-1.16711174748453,0,"YEAST","1","-1"
"11","sp|P00925|ENO2_YEAST","conditionB-conditionA",286.277687587137,0,-1.01341594502195,0,"YEAST","1","-1"
"12","sp|P0AFG6|ODO2_ECOLI","conditionB-conditionA",216.167770502517,0,4.04869104139513,0,"ECOLI","1","2"
"13","sp|P0A7K2|RL7_ECOLI","conditionB-conditionA",244.930176021343,0,2.04039676037834,0,"ECOLI","1","2"
"14","sp|P04806|HXKA_YEAST","conditionB-conditionA",269.361826760466,0,-1.05423388835593,0,"YEAST","1","-1"
"15","sp|P00560|PGK_YEAST","conditionB-conditionA",278.872821299644,0,-0.972548742285529,0,"YEAST","1","-1"
"16","sp|P61889|MDH_ECOLI","conditionB-conditionA",239.868880505795,0,2.300854560101,0,"ECOLI","1","2"
"17","sp|P00330|ADH1_YEAST","conditionB-conditionA",262.21159751741,0,-0.997591089788557,0,"YEAST","1","-1"
"18","sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",251.88415104142,0,2.06154711925517,0,"ECOLI","1","2"
"19","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",251.425370724501,0,2.13983069830829,0,"ECOLI","1","2"
"20","sp|P0A763|NDK_ECOLI","conditionB-conditionA",238.13181133242,0,2.60263263071387,0,"ECOLI","1","2"
"21","sp|P14540|ALF_YEAST","conditionB-conditionA",254.151108906577,0,-1.02434420069699,0,"YEAST","1","-1"
"22","sp|P07259|PYR1_YEAST","conditionB-conditionA",219.867284833322,0,-1.87928773728494,0,"YEAST","1","-1"
"23","sp|P15992|HSP26_YEAST","conditionB-conditionA",255.426762060858,0,-1.03208776442524,0,"YEAST","1","-1"
"24","sp|P25694|CDC48_YEAST","conditionB-conditionA",228.841427458433,0,-1.07601499108214,0,"YEAST","1","-1"
"25","sp|P76558|MAO2_ECOLI","conditionB-conditionA",213.588036511538,0,2.10397109911059,0,"ECOLI","1","2"
"26","sp|P10081|IF4A_YEAST","conditionB-conditionA",242.775224604388,0,-1.06793397927326,0,"YEAST","1","-1"
"27","sp|P41940|MPG1_YEAST","conditionB-conditionA",249.546096621141,0,-1.1110028200323,0,"YEAST","1","-1"
"28","sp|P0A6F9|CH10_ECOLI","conditionB-conditionA",235.283417318494,0,3.83994794839243,0,"ECOLI","1","2"
"29","sp|P0A836|SUCC_ECOLI","conditionB-conditionA",230.313897906104,0,2.89010202029174,0,"ECOLI","1","2"
"30","sp|P02994|EF1A_YEAST","conditionB-conditionA",231.835152332223,0,-1.02715105360301,0,"YEAST","1","-1"
"31","sp|P02925|RBSB_ECOLI","conditionB-conditionA",170.808406772027,0,3.74750791353591,0,"ECOLI","1","2"
"32","sp|P25553|ALDA_ECOLI","conditionB-conditionA",227.073540701108,0,1.93257221409587,0,"ECOLI","1","2"
"33","sp|P36683|ACNB_ECOLI","conditionB-conditionA",209.92389190949,0,3.27158584263582,0,"ECOLI","1","2"
"34","sp|P17709|HXKG_YEAST","conditionB-conditionA",241.681543433844,0,-1.00715766835086,0,"YEAST","1","-1"
"35","sp|Q03558|OYE2_YEAST","conditionB-conditionA",219.445237208303,0,-1.24791557393186,0,"YEAST","1","-1"
"36","sp|P06169|PDC1_YEAST","conditionB-conditionA",267.638578483315,0,-0.98523462485327,0,"YEAST","1","-1"
"37","sp|P06168|ILV5_YEAST","conditionB-conditionA",216.524750109089,0,-1.13706529065657,0,"YEAST","1","-1"
"38","sp|P0A7V3|RS3_ECOLI","conditionB-conditionA",228.970690665104,0,2.56003499760101,0,"ECOLI","1","2"
"39","sp|P26786|RS7A_YEAST","conditionB-conditionA",215.367850285974,0,-1.04808893798491,0,"YEAST","1","-1"
"40","sp|P0AE08|AHPC_ECOLI","conditionB-conditionA",226.058473415647,0,2.8651791878087,0,"ECOLI","1","2"
"41","sp|P0A6F3|GLPK_ECOLI","conditionB-conditionA",253.683009495008,0,2.22125206989952,0,"ECOLI","1","2"
