"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A6F3|GLPK_ECOLI","conditionB-conditionA",392.285882191715,0,2.32709231475978,0,"ECOLI","1","2"
"2","sp|P02925|RBSB_ECOLI","conditionB-conditionA",357.593071271707,0,2.28451944176176,0,"ECOLI","1","2"
"3","sp|P0A9L3|FKBB_ECOLI","conditionB-conditionA",255.324290845383,0,4.60655450582882,0,"ECOLI","1","2"
"4","sp|P61889|MDH_ECOLI","conditionB-conditionA",298.325971135412,0,2.35093416534121,0,"ECOLI","1","2"
"5","sp|P0A8M3|SYT_ECOLI","conditionB-conditionA",164.415992637543,0,3.56593822454675,0,"ECOLI","1","2"
"6","sp|P00350|6PGD_ECOLI","conditionB-conditionA",344.496190219519,0,3.1181491197798,0,"ECOLI","1","2"
"7","sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",347.097603158981,0,2.31634199515297,0,"ECOLI","1","2"
"8","sp|P0AEE5|MGLB_ECOLI","conditionB-conditionA",340.301396784831,0,2.37792503294385,0,"ECOLI","1","2"
"9","sp|P0ACJ8|CRP_ECOLI","conditionB-conditionA",216.408785347379,0,4.11259985805135,0,"ECOLI","1","2"
"10","sp|P0ABK5|CYSK_ECOLI","conditionB-conditionA",359.66707313047,0,3.28741911129006,0,"ECOLI","1","2"
"11","sp|P25553|ALDA_ECOLI","conditionB-conditionA",348.94685019969,0,2.82164493779146,0,"ECOLI","1","2"
"12","sp|P0AEX9|MALE_ECOLI","conditionB-conditionA",338.652274300003,0,2.55923354644938,0,"ECOLI","1","2"
"13","sp|P0AGE9|SUCD_ECOLI","conditionB-conditionA",231.594314427327,0,2.70356793656759,0,"ECOLI","1","2"
"14","sp|P08200|IDH_ECOLI","conditionB-conditionA",350.16057461562,0,2.61989604791005,0,"ECOLI","1","2"
"15","sp|P0ABB0|ATPA_ECOLI","conditionB-conditionA",298.505922598266,0,3.39857024540955,0,"ECOLI","1","2"
"16","sp|P0A9B2|G3P1_ECOLI","conditionB-conditionA",286.724773817547,0,2.07875863642647,0,"ECOLI","1","2"
"17","sp|P16861|PFKA1_YEAST","conditionB-conditionA",305.63779113093,0,-1.21417901119163,0,"YEAST","1","-1"
"18","sp|P12758|UDP_ECOLI","conditionB-conditionA",134.444638092308,0,2.87643796254855,0,"ECOLI","1","2"
"19","sp|P27550|ACSA_ECOLI","conditionB-conditionA",283.510576145007,0,3.04617131655725,0,"ECOLI","1","2"
"20","sp|P06959|ODP2_ECOLI","conditionB-conditionA",186.665711094439,0,3.84033929321899,0,"ECOLI","1","2"
"21","sp|P0AA04|PTHP_ECOLI","conditionB-conditionA",236.197358911267,0,3.36328552308246,0,"ECOLI","1","2"
"22","sp|P22515|UBA1_YEAST","conditionB-conditionA",310.882748593658,0,-1.48096482413273,0,"YEAST","1","-1"
"23","sp|P17255|VATA_YEAST","conditionB-conditionA",296.956441851553,0,-1.21072617438146,0,"YEAST","1","-1"
"24","sp|P54115|ALDH6_YEAST","conditionB-conditionA",323.610367050254,0,-1.13526368247454,0,"YEAST","1","-1"
"25","sp|P05030|PMA1_YEAST","conditionB-conditionA",329.687842899599,0,-1.10989940760393,0,"YEAST","1","-1"
"26","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",361.932222248358,0,2.31570301785717,0,"ECOLI","1","2"
"27","sp|P46655|SYEC_YEAST","conditionB-conditionA",321.359987290702,0,-1.26756752512012,0,"YEAST","1","-1"
"28","sp|P15108|HSC82_YEAST","conditionB-conditionA",316.690564515498,0,-1.02479978424152,0,"YEAST","1","-1"
"29","sp|P0A836|SUCC_ECOLI","conditionB-conditionA",278.381033106061,0,2.51745365755833,0,"ECOLI","1","2"
"30","sp|P0AC38|ASPA_ECOLI","conditionB-conditionA",300.226058245248,0,3.42127238154402,0,"ECOLI","1","2"
"31","sp|P13029|KATG_ECOLI","conditionB-conditionA",279.448824834864,0,5.2455989124144,0,"ECOLI","1","2"
"32","sp|P09373|PFLB_ECOLI","conditionB-conditionA",245.20689943033,0,3.45474310126111,0,"ECOLI","1","2"
"33","sp|P31539|HS104_YEAST","conditionB-conditionA",314.309251949361,0,-1.05135318729738,0,"YEAST","1","-1"
"34","sp|P38972|PUR4_YEAST","conditionB-conditionA",303.510902891951,0,-1.46511518626581,0,"YEAST","1","-1"
"35","sp|P00448|SODM_ECOLI","conditionB-conditionA",261.898625894419,0,2.72542555052738,0,"ECOLI","1","2"
"36","sp|P69783|PTGA_ECOLI","conditionB-conditionA",291.086743328042,0,2.58962385843695,0,"ECOLI","1","2"
"37","sp|P77581|ASTC_ECOLI","conditionB-conditionA",332.426756139594,0,2.811283220839,0,"ECOLI","1","2"
"38","sp|P0A6N4|EFP_ECOLI","conditionB-conditionA",286.398585559308,0,3.35083705071033,0,"ECOLI","1","2"
"39","sp|P0A7S9|RS13_ECOLI","conditionB-conditionA",258.019844210088,0,2.72889010957981,0,"ECOLI","1","2"
"40","sp|P22256|GABT_ECOLI","conditionB-conditionA",210.676413291705,0,5.14636832391967,0,"ECOLI","1","2"
"41","sp|P38720|6PGD1_YEAST","conditionB-conditionA",323.64286523475,0,-1.20966450338735,0,"YEAST","1","-1"
"42","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",309.20110560314,0,2.58443297175785,0,"ECOLI","1","2"
"43","sp|P36683|ACNB_ECOLI","conditionB-conditionA",289.504736504845,0,2.7616213629744,0,"ECOLI","1","2"
"44","sp|P0A6F9|CH10_ECOLI","conditionB-conditionA",301.501470431846,0,2.46620183399241,0,"ECOLI","1","2"
"45","sp|P0A7R1|RL9_ECOLI","conditionB-conditionA",251.772242794717,0,3.71342521465166,0,"ECOLI","1","2"
"46","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",272.46950287013,0,2.79718537804369,0,"ECOLI","1","2"
"47","sp|P32905|RSSA1_YEAST","conditionB-conditionA",264.432762768802,0,-1.078852522941,0,"YEAST","1","-1"
"48","sp|P32352|ERG2_YEAST","conditionB-conditionA",138.185017836466,0,-3.52950714324298,0,"YEAST","1","-1"
"49","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",281.675384115996,0,3.49484088744115,0,"ECOLI","1","2"
"50","sp|Q03558|OYE2_YEAST","conditionB-conditionA",299.408357218378,0,-1.28869858645692,0,"YEAST","1","-1"
"51","sp|P16521|EF3A_YEAST","conditionB-conditionA",310.445986759469,0,-1.04712685489967,0,"YEAST","1","-1"
"52","sp|P38217|IMB2_YEAST","conditionB-conditionA",171.703255084212,0,-3.31360921375312,0,"YEAST","1","-1"
"53","sp|P45523|FKBA_ECOLI","conditionB-conditionA",215.135614925702,0,5.66403390837369,0,"ECOLI","1","2"
"54","sp|P0A7K2|RL7_ECOLI","conditionB-conditionA",320.549853515892,0,2.11396481241825,0,"ECOLI","1","2"
"55","sp|P00815|HIS2_YEAST","conditionB-conditionA",280.438024519393,0,-1.29918896791843,0,"YEAST","1","-1"
"56","sp|P37647|KDGK_ECOLI","conditionB-conditionA",271.977540922586,0,2.90287112277845,0,"ECOLI","1","2"
"57","sp|Q46938|KDUI_ECOLI","conditionB-conditionA",286.181442156879,0,2.33768966939053,0,"ECOLI","1","2"
"58","sp|P0ADG7|IMDH_ECOLI","conditionB-conditionA",276.660858534069,0,4.0292608801923,0,"ECOLI","1","2"
"59","sp|P00817|IPYR_YEAST","conditionB-conditionA",319.873057788903,0,-1.12570011831043,0,"YEAST","1","-1"
"60","sp|P0AD61|KPYK1_ECOLI","conditionB-conditionA",247.580187582197,0,3.82398694969216,0,"ECOLI","1","2"
"61","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",301.811156886912,0,2.3323028779788,0,"ECOLI","1","2"
"62","sp|P00549|KPYK1_YEAST","conditionB-conditionA",315.778292306783,0,-0.999319925413204,0,"YEAST","1","-1"
"63","sp|P37769|KDUD_ECOLI","conditionB-conditionA",305.187727362368,0,3.13419019724824,0,"ECOLI","1","2"
"64","sp|P25491|MAS5_YEAST","conditionB-conditionA",263.811675609888,0,-1.54844254876761,0,"YEAST","1","-1"
"65","sp|P0A799|PGK_ECOLI","conditionB-conditionA",305.733863820271,0,2.86630532196006,0,"ECOLI","1","2"
"66","sp|P02359|RS7_ECOLI","conditionB-conditionA",283.945462331093,0,2.91835357008403,0,"ECOLI","1","2"
"67","sp|P00925|ENO2_YEAST","conditionB-conditionA",245.782440542712,0,-1.01162794405166,0,"YEAST","1","-1"
"68","sp|P0A6P1|EFTS_ECOLI","conditionB-conditionA",300.623581208609,0,2.33837790728597,0,"ECOLI","1","2"
"69","sp|P25694|CDC48_YEAST","conditionB-conditionA",302.925800448504,0,-1.12267343899035,0,"YEAST","1","-1"
"70","sp|P10591|HSP71_YEAST","conditionB-conditionA",303.44244228131,0,-0.995763996459715,0,"YEAST","1","-1"
"71","sp|P02413|RL15_ECOLI","conditionB-conditionA",285.675228247856,0,3.54639494085103,0,"ECOLI","1","2"
"72","sp|P46672|ARC1_YEAST","conditionB-conditionA",256.382351122354,0,-1.36212644562829,0,"YEAST","1","-1"
"73","sp|P07245|C1TC_YEAST","conditionB-conditionA",287.197513052129,0,-1.34563281164413,0,"YEAST","1","-1"
"74","sp|P38088|SYG_YEAST","conditionB-conditionA",267.362030388924,0,-1.27820304505507,0,"YEAST","1","-1"
"75","sp|P10592|HSP72_YEAST","conditionB-conditionA",284.927454435255,0,-1.04896084448472,0,"YEAST","1","-1"
"76","sp|P60438|RL3_ECOLI","conditionB-conditionA",263.435650351901,0,3.29265086508943,0,"ECOLI","1","2"
"77","sp|P0A972|CSPE_ECOLI","conditionB-conditionA",252.126259601474,0,4.17225675436855,0,"ECOLI","1","2"
"78","sp|P38219|OLA1_YEAST","conditionB-conditionA",249.095901056894,0,-1.18953343619238,0,"YEAST","1","-1"
