"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P00330|ADH1_YEAST","conditionB-conditionA",0,-4.53386429589099,0,"YEAST","1","-1"
"2","sp|P00359|G3P3_YEAST","conditionB-conditionA",0,-5.12407810290961,0,"YEAST","1","-1"
"3","sp|P00360|G3P1_YEAST","conditionB-conditionA",0,-3.18636986113025,0,"YEAST","1","-1"
"4","sp|P00549|KPYK1_YEAST","conditionB-conditionA",0,-4.70405688751957,0,"YEAST","1","-1"
"5","sp|P00560|PGK_YEAST","conditionB-conditionA",0,-4.46819661492852,0,"YEAST","1","-1"
"6","sp|P00925|ENO2_YEAST","conditionB-conditionA",0,-7.58241211868827,0,"YEAST","1","-1"
"7","sp|P00927|THDH_YEAST","conditionB-conditionA",0,-2.62479037556325,0,"YEAST","1","-1"
"8","sp|P00942|TPIS_YEAST","conditionB-conditionA",0,-3.87524362273445,0,"YEAST","1","-1"
"9","sp|P00950|PMG1_YEAST","conditionB-conditionA",0,-5.70283266311376,0,"YEAST","1","-1"
"10","sp|P02400|RLA4_YEAST","conditionB-conditionA",0,-2.66418617746095,0,"YEAST","1","-1"
"11","sp|P02994|EF1A_YEAST","conditionB-conditionA",0,-3.9873256338482,0,"YEAST","1","-1"
"12","sp|P03965|CARB_YEAST","conditionB-conditionA",0,-2.52920453560362,0,"YEAST","1","-1"
"13","sp|P04806|HXKA_YEAST","conditionB-conditionA",0,-2.81157797746202,0,"YEAST","1","-1"
"14","sp|P04807|HXKB_YEAST","conditionB-conditionA",0,-3.22605141451572,0,"YEAST","1","-1"
"15","sp|P04840|VDAC1_YEAST","conditionB-conditionA",0,-3.04114112499287,0,"YEAST","1","-1"
"16","sp|P05030|PMA1_YEAST","conditionB-conditionA",0,-2.56387205943178,0,"YEAST","1","-1"
"17","sp|P05317|RLA0_YEAST","conditionB-conditionA",0,-2.53964403729999,0,"YEAST","1","-1"
"18","sp|P05319|RLA2_YEAST","conditionB-conditionA",0,-2.89351470356468,0,"YEAST","1","-1"
"19","sp|P05694|METE_YEAST","conditionB-conditionA",0,-2.54958264228315,0,"YEAST","1","-1"
"20","sp|P05743|RL26A_YEAST","conditionB-conditionA",0,-2.67157282305902,0,"YEAST","1","-1"
