"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",248.323657796869,0,1.8434103773957,0,"ECOLI","1","2"
"2","sp|P0AC33|FUMA_ECOLI","conditionB-conditionA",200.328774240739,0,2.50561878554907,0,"ECOLI","1","2"
"3","sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",249.90182384391,0,1.72657903631207,0,"ECOLI","1","2"
"4","sp|P0AC38|ASPA_ECOLI","conditionB-conditionA",227.671094702848,0,2.11210787760182,0,"ECOLI","1","2"
"5","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",236.153998400144,0,1.92740630109179,0,"ECOLI","1","2"
"6","sp|P0A9P0|DLDH_ECOLI","conditionB-conditionA",202.149640216169,0,1.6876137932863,0,"ECOLI","1","2"
"7","sp|P02925|RBSB_ECOLI","conditionB-conditionA",214.660385110215,0,1.81936031009108,0,"ECOLI","1","2"
"8","sp|P0AEX9|MALE_ECOLI","conditionB-conditionA",231.378778030664,0,1.9910504098624,0,"ECOLI","1","2"
"9","sp|P27550|ACSA_ECOLI","conditionB-conditionA",231.721858633928,0,2.05304096381022,0,"ECOLI","1","2"
"10","sp|P0A799|PGK_ECOLI","conditionB-conditionA",222.574290846587,0,2.04558531969496,0,"ECOLI","1","2"
"11","sp|P37685|ALDB_ECOLI","conditionB-conditionA",219.015962766964,0,1.93027582983305,0,"ECOLI","1","2"
"12","sp|P00350|6PGD_ECOLI","conditionB-conditionA",224.850475346391,0,2.05941868904166,0,"ECOLI","1","2"
"13","sp|P24182|ACCC_ECOLI","conditionB-conditionA",180.837757962658,0,2.53942910922479,0,"ECOLI","1","2"
"14","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",222.492341075698,0,1.98791934374274,0,"ECOLI","1","2"
"15","sp|P09373|PFLB_ECOLI","conditionB-conditionA",199.5437409927,0,1.76369314228096,0,"ECOLI","1","2"
"16","sp|P36683|ACNB_ECOLI","conditionB-conditionA",221.623173197188,0,1.79989584321855,0,"ECOLI","1","2"
"17","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",224.237635601024,0,1.80207944952132,0,"ECOLI","1","2"
"18","sp|P77581|ASTC_ECOLI","conditionB-conditionA",233.882015053094,0,1.88482428223587,0,"ECOLI","1","2"
"19","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",164.701536244921,0,1.85809363635262,0,"ECOLI","1","2"
"20","sp|P0AFG3|ODO1_ECOLI","conditionB-conditionA",192.377308982811,0,2.76581003906074,0,"ECOLI","1","2"
"21","sp|P22259|PCKA_ECOLI","conditionB-conditionA",192.281980899165,0,2.25196403732564,0,"ECOLI","1","2"
"22","sp|P0AB71|ALF_ECOLI","conditionB-conditionA",228.455527089225,0,2.08110084079912,0,"ECOLI","1","2"
"23","sp|P27302|TKT1_ECOLI","conditionB-conditionA",192.107016281889,0,2.15278086548357,0,"ECOLI","1","2"
"24","sp|P34756|FAB1_YEAST","conditionB-conditionA",102.339262856779,0,-2.85951572385096,0,"YEAST","1","-1"
