"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P00549|KPYK1_YEAST","conditionB-conditionA",0,-6.09166655292584,0,"YEAST","1","-1"
"2","sp|P00560|PGK_YEAST","conditionB-conditionA",0,-3.81498378662613,0,"YEAST","1","-1"
"3","sp|P00815|HIS2_YEAST","conditionB-conditionA",0,-3.55578710188318,0,"YEAST","1","-1"
"4","sp|P00925|ENO2_YEAST","conditionB-conditionA",0,-5.07084955274456,0,"YEAST","1","-1"
"5","sp|P02994|EF1A_YEAST","conditionB-conditionA",0,-5.65680646064094,0,"YEAST","1","-1"
"6","sp|P06169|PDC1_YEAST","conditionB-conditionA",0,-3.41199333056872,0,"YEAST","1","-1"
"7","sp|P07245|C1TC_YEAST","conditionB-conditionA",0,-3.90667028075775,0,"YEAST","1","-1"
"8","sp|P07259|PYR1_YEAST","conditionB-conditionA",0,-4.65559407886361,0,"YEAST","1","-1"
"9","sp|P07806|SYV_YEAST","conditionB-conditionA",0,-4.68244249428088,0,"YEAST","1","-1"
"10","sp|P16521|EF3A_YEAST","conditionB-conditionA",0,-3.38712712767207,0,"YEAST","1","-1"
"11","sp|P16861|PFKA1_YEAST","conditionB-conditionA",0,-3.8499031521711,0,"YEAST","1","-1"
"12","sp|P19097|FAS2_YEAST","conditionB-conditionA",0,-4.0893744960975,0,"YEAST","1","-1"
"13","sp|P22137|CLH_YEAST","conditionB-conditionA",0,-4.64292342334019,0,"YEAST","1","-1"
"14","sp|P22515|UBA1_YEAST","conditionB-conditionA",0,-3.55067156096551,0,"YEAST","1","-1"
"15","sp|P33302|PDR5_YEAST","conditionB-conditionA",0,-3.69830269536515,0,"YEAST","1","-1"
"16","sp|P33892|GCN1_YEAST","conditionB-conditionA",0,-3.49880421626667,0,"YEAST","1","-1"
"17","sp|P38249|EIF3A_YEAST","conditionB-conditionA",0,-4.19071909022752,0,"YEAST","1","-1"
"18","sp|P39522|ILV3_YEAST","conditionB-conditionA",0,-4.13118474259752,0,"YEAST","1","-1"
"19","sp|P40825|SYA_YEAST","conditionB-conditionA",0,-4.32247315443899,0,"YEAST","1","-1"
"20","sp|P47075|VTC4_YEAST","conditionB-conditionA",0,-3.44266883409442,0,"YEAST","1","-1"
"21","sp|Q00955|ACAC_YEAST","conditionB-conditionA",0,-3.8718428818427,0,"YEAST","1","-1"
"22","sp|Q08972|NEW1_YEAST","conditionB-conditionA",0,-4.30929518873388,0,"YEAST","1","-1"
"23","sp|Q12680|GLT1_YEAST","conditionB-conditionA",0,-4.12813820347851,0,"YEAST","1","-1"
"24","sp|P05694|METE_YEAST","conditionB-conditionA",2.15474135867424e-14,-3.21012791791236,7.110646483625e-12,"YEAST","1","-1"
"25","sp|P39976|DLD3_YEAST","conditionB-conditionA",4.66680028557361e-13,-3.29064214586925,1.42615979269428e-10,"YEAST","1","-1"
"26","sp|P32589|HSP7F_YEAST","conditionB-conditionA",4.68183770328931e-13,-3.10370940873123,1.42615979269428e-10,"YEAST","1","-1"
"27","sp|P32324|EF2_YEAST","conditionB-conditionA",7.3735021844243e-13,-2.55894924458345,2.1628939740978e-10,"YEAST","1","-1"
"28","sp|P16120|THRC_YEAST","conditionB-conditionA",1.09347589356448e-12,-2.41649583660152,3.09297467036811e-10,"YEAST","1","-1"
