"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P10592|HSP72_YEAST","conditionB-conditionA",108.478616796084,0,-1.3173571530192,0,"YEAST","1","-1"
"2","sp|P32324|EF2_YEAST","conditionB-conditionA",119.019642587999,0,-1.23316266655161,0,"YEAST","1","-1"
"3","sp|P07259|PYR1_YEAST","conditionB-conditionA",105.248146467448,0,-1.4595528077233,0,"YEAST","1","-1"
"4","sp|P54115|ALDH6_YEAST","conditionB-conditionA",105.663007803647,0,-1.259967118348,0,"YEAST","1","-1"
"5","sp|P00549|KPYK1_YEAST","conditionB-conditionA",100.907549948981,0,-1.27473850500687,0,"YEAST","1","-1"
"6","sp|P16521|EF3A_YEAST","conditionB-conditionA",103.335374715298,0,-1.29545208883131,0,"YEAST","1","-1"
"7","sp|P05030|PMA1_YEAST","conditionB-conditionA",109.345639328462,0,-1.25144502673528,0,"YEAST","1","-1"
"8","sp|P37291|GLYC_YEAST","conditionB-conditionA",101.758980451977,0,-1.24881372750957,0,"YEAST","1","-1"
"9","sp|P00330|ADH1_YEAST","conditionB-conditionA",102.246328190847,0,-1.26711124875347,0,"YEAST","1","-1"
"10","sp|P12709|G6PI_YEAST","conditionB-conditionA",98.7467699329514,0,-1.29021187466019,0,"YEAST","1","-1"
"11","sp|P32589|HSP7F_YEAST","conditionB-conditionA",105.395670684069,0,-1.39127053585471,0,"YEAST","1","-1"
"12","sp|P15108|HSC82_YEAST","conditionB-conditionA",103.775737940014,0,-1.32968324600196,0,"YEAST","1","-1"
"13","sp|P10664|RL4A_YEAST","conditionB-conditionA",100.68981729525,0,-1.33911800878641,0,"YEAST","1","-1"
"14","sp|P38972|PUR4_YEAST","conditionB-conditionA",88.5814679993643,0,-1.87872960816374,0,"YEAST","1","-1"
"15","sp|P38219|OLA1_YEAST","conditionB-conditionA",92.9283978827473,0,-1.41624321643039,0,"YEAST","1","-1"
"16","sp|P33442|RS3A1_YEAST","conditionB-conditionA",93.6869892309128,0,-1.46672632091056,0,"YEAST","1","-1"
"17","sp|P04147|PABP_YEAST","conditionB-conditionA",104.535764271985,0,-1.39298970833888,0,"YEAST","1","-1"
"18","sp|P40024|ARB1_YEAST","conditionB-conditionA",97.2434961014013,0,-1.51093348319337,0,"YEAST","1","-1"
"19","sp|P07149|FAS1_YEAST","conditionB-conditionA",97.2739106438083,0,-1.50864775322482,0,"YEAST","1","-1"
"20","sp|P41277|GPP1_YEAST","conditionB-conditionA",88.9925369741201,0,-1.41774663679819,0,"YEAST","1","-1"
"21","sp|P05750|RS3_YEAST","conditionB-conditionA",90.0558040591225,0,-1.26718131354167,0,"YEAST","1","-1"
"22","sp|P0CX23|RL20A_YEAST","conditionB-conditionA",93.3686759874811,0,-1.3135830148654,0,"YEAST","1","-1"
"23","sp|P0CX55|RS18A_YEAST","conditionB-conditionA",90.3902395936382,0,-1.29517322868901,0,"YEAST","1","-1"
"24","sp|P38009|PUR92_YEAST","conditionB-conditionA",94.7365951902123,0,-1.72530877195927,0,"YEAST","1","-1"
"25","sp|P16861|PFKA1_YEAST","conditionB-conditionA",94.242181210024,0,-1.45971578896321,0,"YEAST","1","-1"
"26","sp|P05740|RL17A_YEAST","conditionB-conditionA",92.8624609167739,0,-1.29527430491444,0,"YEAST","1","-1"
"27","sp|P0CX37|RS6A_YEAST","conditionB-conditionA",98.0001393224234,0,-1.28387429301038,0,"YEAST","1","-1"
"28","sp|P00560|PGK_YEAST","conditionB-conditionA",97.3160838173864,0,-1.2460477014743,0,"YEAST","1","-1"
"29","sp|Q00955|ACAC_YEAST","conditionB-conditionA",94.3350232029489,0,-1.56510058391079,0,"YEAST","1","-1"
"30","sp|P14126|RL3_YEAST","conditionB-conditionA",88.7116142003098,0,-1.36926767671903,0,"YEAST","1","-1"
"31","sp|P05694|METE_YEAST","conditionB-conditionA",96.8513979224115,0,-1.49034240126397,0,"YEAST","1","-1"
"32","sp|P41940|MPG1_YEAST","conditionB-conditionA",91.1183876725391,0,-1.28015851019943,0,"YEAST","1","-1"
"33","sp|P00942|TPIS_YEAST","conditionB-conditionA",98.5277936432996,0,-1.31989550865639,0,"YEAST","1","-1"
"34","sp|P25694|CDC48_YEAST","conditionB-conditionA",83.4727072685201,0,-2.05552590005703,0,"YEAST","1","-1"
"35","sp|P00445|SODC_YEAST","conditionB-conditionA",87.2724582606762,0,-1.41910042161197,0,"YEAST","1","-1"
"36","sp|P26785|RL16B_YEAST","conditionB-conditionA",80.6428732624317,0,-1.85415212781658,0,"YEAST","1","-1"
"37","sp|P38013|AHP1_YEAST","conditionB-conditionA",84.4110425228521,0,-1.22410850575831,0,"YEAST","1","-1"
"38","sp|P04807|HXKB_YEAST","conditionB-conditionA",90.1171743418012,0,-1.32733086155178,0,"YEAST","1","-1"
"39","sp|P53221|RL26B_YEAST","conditionB-conditionA",90.7701919127709,0,-1.57031417125881,0,"YEAST","1","-1"
"40","sp|P0CX31|RS24A_YEAST","conditionB-conditionA",88.7033354592757,0,-1.4764378261978,0,"YEAST","1","-1"
"41","sp|P16140|VATB_YEAST","conditionB-conditionA",85.6796250639019,0,-1.48601658008837,0,"YEAST","1","-1"
"42","sp|P19097|FAS2_YEAST","conditionB-conditionA",102.253913127258,0,-1.58747278598299,0,"YEAST","1","-1"
"43","sp|P15019|TAL1_YEAST","conditionB-conditionA",85.1911288743325,0,-1.6253884161071,0,"YEAST","1","-1"
"44","sp|P20081|FKBP_YEAST","conditionB-conditionA",83.5469350068601,0,-1.25303971949266,0,"YEAST","1","-1"
"45","sp|P07245|C1TC_YEAST","conditionB-conditionA",85.3169727149082,0,-2.13326801683889,0,"YEAST","1","-1"
"46","sp|P00925|ENO2_YEAST","conditionB-conditionA",88.55166896121,0,-1.23030921696563,0,"YEAST","1","-1"
"47","sp|P38708|YHI0_YEAST","conditionB-conditionA",83.8745971711139,0,-1.56865242338649,0,"YEAST","1","-1"
"48","sp|P0CX39|RS8A_YEAST","conditionB-conditionA",86.8531491051708,0,-1.29820908309529,0,"YEAST","1","-1"
"49","sp|P00931|TRP_YEAST","conditionB-conditionA",80.1183077746211,0,-2.20359281111215,0,"YEAST","1","-1"
"50","sp|P36008|EF1G2_YEAST","conditionB-conditionA",88.6207346799853,0,-1.31185610806591,0,"YEAST","1","-1"
"51","sp|P40825|SYA_YEAST","conditionB-conditionA",88.0632388106881,0,-1.6319442288588,0,"YEAST","1","-1"
"52","sp|P14832|CYPH_YEAST","conditionB-conditionA",88.4738293124404,0,-1.11360290505423,0,"YEAST","1","-1"
"53","sp|P38061|RL32_YEAST","conditionB-conditionA",82.7677176143095,0,-1.5044355214341,0,"YEAST","1","-1"
"54","sp|P06168|ILV5_YEAST","conditionB-conditionA",89.6951435985368,0,-1.27213890694896,0,"YEAST","1","-1"
"55","sp|P31539|HS104_YEAST","conditionB-conditionA",82.7205302118609,0,-1.90761367182487,0,"YEAST","1","-1"
"56","sp|P07284|SYSC_YEAST","conditionB-conditionA",86.4179413436207,0,-1.50808074721078,0,"YEAST","1","-1"
"57","sp|P46367|ALDH4_YEAST","conditionB-conditionA",79.6631044108599,0,-1.67844748205495,0,"YEAST","1","-1"
"58","sp|P31116|DHOM_YEAST","conditionB-conditionA",80.3767940480361,0,-1.74797096563196,0,"YEAST","1","-1"
"59","sp|P16862|PFKA2_YEAST","conditionB-conditionA",84.3820673311185,0,-1.67843929306274,0,"YEAST","1","-1"
"60","sp|P38088|SYG_YEAST","conditionB-conditionA",86.9439882377788,0,-1.34875565201947,0,"YEAST","1","-1"
"61","sp|P35691|TCTP_YEAST","conditionB-conditionA",80.7364440415559,0,-1.30748109561222,0,"YEAST","1","-1"
"62","sp|P0CS90|HSP77_YEAST","conditionB-conditionA",83.1733090481156,0,-1.44765866920389,0,"YEAST","1","-1"
"63","sp|P32582|CBS_YEAST","conditionB-conditionA",95.2601468314843,0,-1.5650872221711,0,"YEAST","1","-1"
"64","sp|P19882|HSP60_YEAST","conditionB-conditionA",88.9778178744261,0,-1.76543200235809,0,"YEAST","1","-1"
"65","sp|P0C2H6|RL27A_YEAST","conditionB-conditionA",87.6006859861315,0,-1.25804349000928,0,"YEAST","1","-1"
"66","sp|P0CX47|RS11A_YEAST","conditionB-conditionA",85.689175094942,0,-1.40894116025371,0,"YEAST","1","-1"
"67","sp|P00830|ATPB_YEAST","conditionB-conditionA",82.7640622728249,0,-1.57478290154938,0,"YEAST","1","-1"
"68","sp|P05748|RL15A_YEAST","conditionB-conditionA",83.1408012502389,0,-1.33541331619412,0,"YEAST","1","-1"
"69","sp|P46672|ARC1_YEAST","conditionB-conditionA",86.7947045911968,0,-1.46046692415003,0,"YEAST","1","-1"
"70","sp|P0CX35|RS4A_YEAST","conditionB-conditionA",85.6057915563945,0,-1.27804840745601,0,"YEAST","1","-1"
"71","sp|P40150|SSB2_YEAST","conditionB-conditionA",85.6318913131118,0,-1.29193957510897,0,"YEAST","1","-1"
"72","sp|P0CX49|RL18A_YEAST","conditionB-conditionA",83.4049725129682,0,-1.35616799949414,0,"YEAST","1","-1"
"73","sp|P16120|THRC_YEAST","conditionB-conditionA",91.3495633309498,0,-1.78146342763301,0,"YEAST","1","-1"
"74","sp|P26637|SYLC_YEAST","conditionB-conditionA",81.6212181319617,0,-1.66339031531655,0,"YEAST","1","-1"
"75","sp|P07251|ATPA_YEAST","conditionB-conditionA",81.4517081179739,0,-1.62706987788939,0,"YEAST","1","-1"
"76","sp|P10081|IF4A_YEAST","conditionB-conditionA",80.6929500519623,0,-1.3141767719412,0,"YEAST","1","-1"
"77","sp|P23254|TKT1_YEAST","conditionB-conditionA",79.8640663629254,0,-1.41466490564974,0,"YEAST","1","-1"
"78","sp|P54839|ERG13_YEAST","conditionB-conditionA",84.8153221875797,0,-1.92006977292374,0,"YEAST","1","-1"
"79","sp|P06169|PDC1_YEAST","conditionB-conditionA",97.5690078023333,0,-1.26142774127151,0,"YEAST","1","-1"
"80","sp|P29311|BMH1_YEAST","conditionB-conditionA",83.9398733095924,0,-1.37804952470488,0,"YEAST","1","-1"
"81","sp|P02407|RS17A_YEAST","conditionB-conditionA",80.1849486120736,0,-1.32562120310095,0,"YEAST","1","-1"
"82","sp|P0CX51|RS16A_YEAST","conditionB-conditionA",79.2008265122513,0,-1.33676222128043,0,"YEAST","1","-1"
"83","sp|P05755|RS9B_YEAST","conditionB-conditionA",81.1726791731591,0,-1.72400099433896,0,"YEAST","1","-1"
"84","sp|P40185|MMF1_YEAST","conditionB-conditionA",80.1082885614916,0,-1.34264714780679,0,"YEAST","1","-1"
"85","sp|Q08972|NEW1_YEAST","conditionB-conditionA",82.8260456382267,0,-2.28990436402325,0,"YEAST","1","-1"
"86","sp|P32527|ZUO1_YEAST","conditionB-conditionA",79.2751330064922,0,-1.93984590648956,0,"YEAST","1","-1"
"87","sp|P00950|PMG1_YEAST","conditionB-conditionA",89.1458889082492,0,-1.17594061007954,0,"YEAST","1","-1"
"88","sp|P09436|SYIC_YEAST","conditionB-conditionA",86.2565603669547,0,-1.6683989563905,0,"YEAST","1","-1"
"89","sp|P29952|MPI_YEAST","conditionB-conditionA",79.6721970320736,0,-1.54697363212403,0,"YEAST","1","-1"
"90","sp|P00359|G3P3_YEAST","conditionB-conditionA",78.950649314836,0,-1.40341419347132,0,"YEAST","1","-1"
"91","sp|P06367|RS14A_YEAST","conditionB-conditionA",78.1874097944267,1.11022302462516e-16,-1.44276826419912,8.39922191204042e-15,"YEAST","1","-1"
"92","sp|P38788|SSZ1_YEAST","conditionB-conditionA",78.6745417476266,1.11022302462516e-16,-1.43798931669221,8.39922191204042e-15,"YEAST","1","-1"
"93","sp|P04840|VDAC1_YEAST","conditionB-conditionA",77.5846216096534,1.11022302462516e-16,-1.69090635813123,8.39922191204042e-15,"YEAST","1","-1"
"94","sp|Q05506|SYRC_YEAST","conditionB-conditionA",77.6337559731162,1.11022302462516e-16,-1.66721611166648,8.39922191204042e-15,"YEAST","1","-1"
"95","sp|Q02326|RL6A_YEAST","conditionB-conditionA",78.6139432806583,1.11022302462516e-16,-1.26139466822877,8.39922191204042e-15,"YEAST","1","-1"
"96","sp|P38707|SYNC_YEAST","conditionB-conditionA",78.2277616087261,1.11022302462516e-16,-1.27949727130078,8.39922191204042e-15,"YEAST","1","-1"
"97","sp|P04802|SYDC_YEAST","conditionB-conditionA",78.6658920245786,1.11022302462516e-16,-1.87272245967393,8.39922191204042e-15,"YEAST","1","-1"
"98","sp|P26783|RS5_YEAST","conditionB-conditionA",77.1822232877032,1.11022302462516e-16,-1.22425373167077,8.39922191204042e-15,"YEAST","1","-1"
"99","sp|P07280|RS19A_YEAST","conditionB-conditionA",78.5639118869184,1.11022302462516e-16,-1.26681465355052,8.39922191204042e-15,"YEAST","1","-1"
"100","sp|P38011|GBLP_YEAST","conditionB-conditionA",76.8282885155088,1.11022302462516e-16,-1.18240266935646,8.39922191204042e-15,"YEAST","1","-1"
"101","sp|P07246|ADH3_YEAST","conditionB-conditionA",77.1297663736007,1.11022302462516e-16,-2.06486524414749,8.39922191204042e-15,"YEAST","1","-1"
"102","sp|P38625|GUAA_YEAST","conditionB-conditionA",76.0969274732265,2.22044604925031e-16,-1.80237072845364,1.58564750115156e-14,"YEAST","1","-1"
"103","sp|P17255|VATA_YEAST","conditionB-conditionA",76.2120062960821,2.22044604925031e-16,-1.95980040237187,1.58564750115156e-14,"YEAST","1","-1"
"104","sp|P07806|SYV_YEAST","conditionB-conditionA",75.6481557600107,2.22044604925031e-16,-1.9325895719599,1.58564750115156e-14,"YEAST","1","-1"
"105","sp|P22203|VATE_YEAST","conditionB-conditionA",76.2287538283299,2.22044604925031e-16,-1.47969003929738,1.58564750115156e-14,"YEAST","1","-1"
"106","sp|P41338|ERG10_YEAST","conditionB-conditionA",76.3197315110299,2.22044604925031e-16,-1.59403876551985,1.58564750115156e-14,"YEAST","1","-1"
"107","sp|P53252|PIL1_YEAST","conditionB-conditionA",76.4956956143227,2.22044604925031e-16,-1.43401695669331,1.58564750115156e-14,"YEAST","1","-1"
"108","sp|P46654|RSSA2_YEAST","conditionB-conditionA",75.1028576057336,3.33066907387547e-16,-1.39236381321789,2.33482957738371e-14,"YEAST","1","-1"
"109","sp|P04801|SYTC_YEAST","conditionB-conditionA",74.96938682807,3.33066907387547e-16,-1.29553303373595,2.33482957738371e-14,"YEAST","1","-1"
"110","sp|P32481|IF2G_YEAST","conditionB-conditionA",74.8526717506645,4.44089209850063e-16,-2.04672539191347,2.92524625212442e-14,"YEAST","1","-1"
"111","sp|P07244|PUR2_YEAST","conditionB-conditionA",74.4939469304663,4.44089209850063e-16,-1.62531545601714,2.92524625212442e-14,"YEAST","1","-1"
"112","sp|P0CX82|RL19A_YEAST","conditionB-conditionA",74.7979801468182,4.44089209850063e-16,-1.51359995620122,2.92524625212442e-14,"YEAST","1","-1"
"113","sp|P09938|RIR2_YEAST","conditionB-conditionA",74.6410775233158,4.44089209850063e-16,-1.63046166993816,2.92524625212442e-14,"YEAST","1","-1"
"114","sp|P00924|ENO1_YEAST","conditionB-conditionA",74.4274726621466,4.44089209850063e-16,-1.73249407030873,2.92524625212442e-14,"YEAST","1","-1"
"115","sp|P34760|TSA1_YEAST","conditionB-conditionA",74.4894890713227,4.44089209850063e-16,-1.32392035701065,2.92524625212442e-14,"YEAST","1","-1"
