"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P07149|FAS1_YEAST","conditionC-conditionB",0,4.08616852072717,0,"YEAST","1","0.321928094887362"
"2","sp|Q03048|COFI_YEAST","conditionC-conditionB",1.56179949735293e-08,1.35606632839721,3.01895842838321e-05,"YEAST","1","0.321928094887362"
"3","sp|P26637|SYLC_YEAST","conditionC-conditionB",3.32642418089335e-08,2.48800654963334,4.01511250798108e-05,"YEAST","1","0.321928094887362"
"4","sp|P32563|VPP1_YEAST","conditionC-conditionB",4.93722237188434e-08,2.9846602644464,4.01511250798108e-05,"YEAST","1","0.321928094887362"
"5","sp|P00549|KPYK1_YEAST","conditionC-conditionB",5.71978740434015e-08,2.10421189166698,4.01511250798108e-05,"YEAST","1","0.321928094887362"
"6","sp|P00560|PGK_YEAST","conditionC-conditionB",6.23142137813928e-08,2.4451255230751,4.01511250798108e-05,"YEAST","1","0.321928094887362"
"7","sp|P46655|SYEC_YEAST","conditionC-conditionB",1.01862971936975e-07,3.14167036345043,5.00427191070388e-05,"YEAST","1","0.321928094887362"
"8","sp|P53173|ERV14_YEAST","conditionC-conditionB",1.03554514448088e-07,1.13426540370325,5.00427191070388e-05,"YEAST","1","0.321928094887362"
"9","sp|P00925|ENO2_YEAST","conditionC-conditionB",1.19249056832494e-07,2.22419427606107,5.12240948571578e-05,"YEAST","1","0.321928094887362"
"10","sp|P07264|LEUC_YEAST","conditionC-conditionB",1.47546001141674e-07,2.07427796562531,5.70412840413712e-05,"YEAST","1","0.321928094887362"
"11","sp|P16120|THRC_YEAST","conditionC-conditionB",2.41392197595648e-07,2.67812355605866,7.88970609872085e-05,"YEAST","1","0.321928094887362"
"12","sp|P15891|ABP1_YEAST","conditionC-conditionB",2.44895171196715e-07,2.90961318944345,7.88970609872085e-05,"YEAST","1","0.321928094887362"
"13","sp|P16521|EF3A_YEAST","conditionC-conditionB",2.92289903615572e-07,2.02393438597413,8.62213926309712e-05,"YEAST","1","0.321928094887362"
"14","sp|P16140|VATB_YEAST","conditionC-conditionB",3.32663067396056e-07,1.42332832244627,8.62213926309712e-05,"YEAST","1","0.321928094887362"
"15","sp|P19097|FAS2_YEAST","conditionC-conditionB",3.34537219209666e-07,2.58206716332778,8.62213926309712e-05,"YEAST","1","0.321928094887362"
"16","sp|P46654|RSSA2_YEAST","conditionC-conditionB",4.3021135205879e-07,2.16670621013337,0.000103949817941205,"YEAST","1","0.321928094887362"
"17","sp|O13535|YH11B_YEAST","conditionC-conditionB",5.29876653701111e-07,1.63341866789138,0.000114776922034405,"YEAST","1","0.321928094887362"
"18","sp|P05694|METE_YEAST","conditionC-conditionB",6.04115699825814e-07,2.59475776110081,0.000114776922034405,"YEAST","1","0.321928094887362"
"19","sp|P38934|BFR1_YEAST","conditionC-conditionB",6.08943769286258e-07,2.67795254856845,0.000114776922034405,"YEAST","1","0.321928094887362"
"20","sp|P32589|HSP7F_YEAST","conditionC-conditionB",6.20310518330133e-07,1.69598869958818,0.000114776922034405,"YEAST","1","0.321928094887362"
"21","sp|P06168|ILV5_YEAST","conditionC-conditionB",6.23464915344671e-07,1.37790173772172,0.000114776922034405,"YEAST","1","0.321928094887362"
"22","sp|P40150|SSB2_YEAST","conditionC-conditionB",7.07853927394939e-07,1.39791718585003,0.000120349955778253,"YEAST","1","0.321928094887362"
"23","sp|P07267|CARP_YEAST","conditionC-conditionB",7.20473983062006e-07,1.34926223442991,0.000120349955778253,"YEAST","1","0.321928094887362"
"24","sp|P05030|PMA1_YEAST","conditionC-conditionB",7.47128540785843e-07,1.8954661356689,0.000120349955778253,"YEAST","1","0.321928094887362"
"25","sp|P38720|6PGD1_YEAST","conditionC-conditionB",9.01327180413352e-07,1.53508862231124,0.000135607976686808,"YEAST","1","0.321928094887362"
"26","sp|P04802|SYDC_YEAST","conditionC-conditionB",9.12003981856446e-07,2.50865987337225,0.000135607976686808,"YEAST","1","0.321928094887362"
"27","sp|P25294|SIS1_YEAST","conditionC-conditionB",1.00789697420509e-06,2.27540725692836,0.000144315914899144,"YEAST","1","0.321928094887362"
"28","sp|P02406|RL28_YEAST","conditionC-conditionB",1.48529726708326e-06,0.497426717854019,0.000201224849314229,"YEAST","1","0.321928094887362"
"29","sp|P38219|OLA1_YEAST","conditionC-conditionB",1.50944661927383e-06,1.28379591338222,0.000201224849314229,"YEAST","1","0.321928094887362"
"30","sp|P54115|ALDH6_YEAST","conditionC-conditionB",1.78003752162611e-06,2.19926098368893,0.000221140532842142,"YEAST","1","0.321928094887362"
"31","sp|P02829|HSP82_YEAST","conditionC-conditionB",1.8401989687989e-06,1.14661825180568,0.000221140532842142,"YEAST","1","0.321928094887362"
"32","sp|Q12306|SMT3_YEAST","conditionC-conditionB",1.88735806547607e-06,1.25118107241731,0.000221140532842142,"YEAST","1","0.321928094887362"
