"protein","feature","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"1","sp|P28834|IDH1_YEAST","sp|P28834|IDH1_YEAST",-2.65,1.30611543668058e-14,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"2","sp|P0A6F3|GLPK_ECOLI","sp|P0A6F3|GLPK_ECOLI",1.97,1.57408605397192e-14,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"3","sp|P0A853|TNAA_ECOLI","sp|P0A853|TNAA_ECOLI",1.84,4.80361733375236e-14,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"4","sp|P22515|UBA1_YEAST","sp|P22515|UBA1_YEAST",-1.89,1.29706643215733e-13,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"5","sp|P0ACF8|HNS_ECOLI","sp|P0ACF8|HNS_ECOLI",1.83,1.43139203334859e-13,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"6","sp|P0A6A8|ACP_ECOLI","sp|P0A6A8|ACP_ECOLI",1.49,1.85892518392283e-13,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"7","sp|P38088|SYG_YEAST","sp|P38088|SYG_YEAST",-1.74,2.06628256613784e-13,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"8","sp|P0CE48|EFTU2_ECOLI;sp|P0CE47|EFTU1_ECOLI","sp|P0CE48|EFTU2_ECOLI;sp|P0CE47|EFTU1_ECOLI",1.67,5.05710311782664e-13,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"9","sp|P61889|MDH_ECOLI","sp|P61889|MDH_ECOLI",2.25,7.6132513554137e-13,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"10","sp|P13663|DHAS_YEAST","sp|P13663|DHAS_YEAST",-1.94,1.06951527027512e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"11","sp|P37291|GLYC_YEAST","sp|P37291|GLYC_YEAST",-1.23,1.27744835270532e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"12","sp|P0A7V3|RS3_ECOLI","sp|P0A7V3|RS3_ECOLI",2.19,1.51951373471183e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"13","sp|P16521|EF3A_YEAST","sp|P16521|EF3A_YEAST",-1.23,1.90726208571751e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"14","sp|P17555|CAP_YEAST","sp|P17555|CAP_YEAST",-2.15,2.02777995253741e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"15","sp|P0A7K2|RL7_ECOLI","sp|P0A7K2|RL7_ECOLI",1.72,2.21285408952686e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"16","sp|P25553|ALDA_ECOLI","sp|P25553|ALDA_ECOLI",2.18,3.22333177036548e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"17","sp|Q05911|PUR8_YEAST","sp|Q05911|PUR8_YEAST",-1.35,3.64980979394678e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"18","sp|P12709|G6PI_YEAST","sp|P12709|G6PI_YEAST",-1.11,3.80982678239764e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"19","sp|P27550|ACSA_ECOLI","sp|P27550|ACSA_ECOLI",2.74,4.00469353142315e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"20","sp|P29453|RL8B_YEAST","sp|P29453|RL8B_YEAST",-1.3,4.17355727630315e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"21","sp|P0A7M6|RL29_ECOLI","sp|P0A7M6|RL29_ECOLI",1.81,5.76737701801881e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"22","sp|O14455|RL36B_YEAST","sp|O14455|RL36B_YEAST",-1.55,6.90347700373708e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"23","sp|P0A955|ALKH_ECOLI","sp|P0A955|ALKH_ECOLI",1.75,8.1610192178751e-12,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"24","sp|P06168|ILV5_YEAST","sp|P06168|ILV5_YEAST",-1.35,8.53348610271826e-12,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"25","sp|P07149|FAS1_YEAST","sp|P07149|FAS1_YEAST",-1.51,1.08988595891755e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"26","sp|P07267|CARP_YEAST","sp|P07267|CARP_YEAST",-1.3,1.13501583608292e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"27","sp|P0AG44|RL17_ECOLI","sp|P0AG44|RL17_ECOLI",2.14,1.42960379512384e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"28","sp|P07806|SYV_YEAST","sp|P07806|SYV_YEAST",-1.55,1.43208190915448e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"29","sp|P23542|AATC_YEAST","sp|P23542|AATC_YEAST",-2.19,1.75431997876692e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"30","sp|P0A9G6|ACEA_ECOLI","sp|P0A9G6|ACEA_ECOLI",3.33,2.34925591695894e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"31","sp|P00359|G3P3_YEAST","sp|P00359|G3P3_YEAST",-0.886,2.41879751812263e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"32","sp|P39004|HXT7_YEAST","sp|P39004|HXT7_YEAST",-1.42,2.48406978541213e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"33","sp|P11484|SSB1_YEAST","sp|P11484|SSB1_YEAST",-1.2,2.63089188429383e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"34","sp|P37769|KDUD_ECOLI","sp|P37769|KDUD_ECOLI",2.83,2.73194587104184e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"35","sp|P32337|IMB3_YEAST","sp|P32337|IMB3_YEAST",-1.06,3.45435609072555e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"36","sp|P0A9Q7|ADHE_ECOLI","sp|P0A9Q7|ADHE_ECOLI",3.42,3.75428137817161e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"37","sp|P14126|RL3_YEAST","sp|P14126|RL3_YEAST",-1.23,3.82294427105713e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"38","sp|P19414|ACON_YEAST;sp|P39533|ACON2_YEAST","sp|P19414|ACON_YEAST;sp|P39533|ACON2_YEAST",-1.15,3.86012558487814e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"39","sp|P32915|SC61A_YEAST","sp|P32915|SC61A_YEAST",-1.11,4.20209826453293e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"40","sp|P60438|RL3_ECOLI","sp|P60438|RL3_ECOLI",1.53,4.71350516899708e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"41","sp|P0CS90|HSP77_YEAST;sp|P39987|HSP7E_YEAST","sp|P0CS90|HSP77_YEAST;sp|P39987|HSP7E_YEAST",-1.07,5.04729807020669e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"42","sp|P00549|KPYK1_YEAST","sp|P00549|KPYK1_YEAST",-1,5.22789494263092e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"43","sp|P38788|SSZ1_YEAST","sp|P38788|SSZ1_YEAST",-1.38,5.27942234330714e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"44","sp|P54115|ALDH6_YEAST","sp|P54115|ALDH6_YEAST",-1.06,5.55581630817874e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"45","sp|P38009|PUR92_YEAST","sp|P38009|PUR92_YEAST",-1.33,5.79772847013583e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"46","sp|P32527|ZUO1_YEAST","sp|P32527|ZUO1_YEAST",-1.42,6.06605802419798e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"47","sp|Q03558|OYE2_YEAST","sp|Q03558|OYE2_YEAST",-1.6,6.260977493158e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"48","sp|P17255|VATA_YEAST","sp|P17255|VATA_YEAST",-1.32,6.77950514373047e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"49","sp|P02994|EF1A_YEAST","sp|P02994|EF1A_YEAST",-1.09,6.79616020416139e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"50","sp|P0A7J7|RL11_ECOLI","sp|P0A7J7|RL11_ECOLI",2.08,7.1629220631114e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"51","sp|P0A7D4|PURA_ECOLI","sp|P0A7D4|PURA_ECOLI",2.84,7.57349615134056e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"52","sp|P0AEX9|MALE_ECOLI","sp|P0AEX9|MALE_ECOLI",1.84,8.18336617927202e-11,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"53","sp|P15992|HSP26_YEAST","sp|P15992|HSP26_YEAST",-1.07,8.54333625791506e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"54","sp|P14832|CYPH_YEAST","sp|P14832|CYPH_YEAST",-1.07,8.77255736405969e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"55","sp|P04807|HXKB_YEAST","sp|P04807|HXKB_YEAST",-1.13,9.18029810689182e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"56","sp|P05738|RL9A_YEAST","sp|P05738|RL9A_YEAST",-1.56,9.39325226796088e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"57","sp|P04806|HXKA_YEAST","sp|P04806|HXKA_YEAST",-1.11,9.92991528634163e-11,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"58","sp|P0AEE5|MGLB_ECOLI","sp|P0AEE5|MGLB_ECOLI",1.92,1.05178041746032e-10,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"59","sp|P0A799|PGK_ECOLI","sp|P0A799|PGK_ECOLI",2.93,1.14038777583646e-10,7.51e-15,"conditionB-conditionA","ECOLI","1","2"
"60","sp|P31373|CYS3_YEAST","sp|P31373|CYS3_YEAST",-1.24,1.15111198350868e-10,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"61","sp|P38720|6PGD1_YEAST;sp|P53319|6PGD2_YEAST","sp|P38720|6PGD1_YEAST;sp|P53319|6PGD2_YEAST",-1.17,1.20785559961888e-10,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"62","sp|Q12690|RL13A_YEAST;sp|P40212|RL13B_YEAST","sp|Q12690|RL13A_YEAST;sp|P40212|RL13B_YEAST",-1.31,1.34250644511302e-10,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"63","sp|P43593|UBP6_YEAST","sp|P43593|UBP6_YEAST",-1.11,1.41876140392917e-10,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"64","sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST","sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST",-0.917,1.45225172276927e-10,7.51e-15,"conditionB-conditionA","YEAST","1","-1"
"65","sp|P36683|ACNB_ECOLI","sp|P36683|ACNB_ECOLI",2.64,1.67483070506804e-10,1.46e-14,"conditionB-conditionA","ECOLI","1","2"
"66","sp|P46990|RL17B_YEAST","sp|P46990|RL17B_YEAST",-1.11,1.70833589593677e-10,1.46e-14,"conditionB-conditionA","YEAST","1","-1"
"67","sp|P0CX24|RL20B_YEAST;sp|P0CX23|RL20A_YEAST","sp|P0CX24|RL20B_YEAST;sp|P0CX23|RL20A_YEAST",-1.41,1.85256300801989e-10,2.15e-14,"conditionB-conditionA","YEAST","1","-1"
"68","sp|P05737|RL7A_YEAST","sp|P05737|RL7A_YEAST",-1.2,2.1769937482835e-10,4.07e-14,"conditionB-conditionA","YEAST","1","-1"
"69","sp|P37012|PGM2_YEAST","sp|P37012|PGM2_YEAST",-1.35,2.19286164480263e-10,4.07e-14,"conditionB-conditionA","YEAST","1","-1"
"70","sp|P06169|PDC1_YEAST;sp|P26263|PDC6_YEAST;sp|Q07471|THI3_YEAST","sp|P06169|PDC1_YEAST;sp|P26263|PDC6_YEAST;sp|Q07471|THI3_YEAST",-0.941,2.22815480950268e-10,4.07e-14,"conditionB-conditionA","YEAST","1","-1"
"71","sp|Q9C0G6|DYH6_HUMAN","sp|Q9C0G6|DYH6_HUMAN",-1.19,2.23481125340071e-10,4.07e-14,"conditionB-conditionA","HUMAN","0","0"
"72","sp|P36421|SYYC_YEAST","sp|P36421|SYYC_YEAST",-1.08,2.69029073670999e-10,8.47e-14,"conditionB-conditionA","YEAST","1","-1"
"73","sp|P15180|SYKC_YEAST","sp|P15180|SYKC_YEAST",-1.45,2.75262816654264e-10,9.07e-14,"conditionB-conditionA","YEAST","1","-1"
"74","sp|P0CX40|RS8B_YEAST;sp|P0CX39|RS8A_YEAST","sp|P0CX40|RS8B_YEAST;sp|P0CX39|RS8A_YEAST",-1.13,2.90453130608797e-10,1.08e-13,"conditionB-conditionA","YEAST","1","-1"
"75","sp|P38701|RS20_YEAST","sp|P38701|RS20_YEAST",-1.09,2.94656742380776e-10,1.14e-13,"conditionB-conditionA","YEAST","1","-1"
"76","sp|P32471|EF1B_YEAST","sp|P32471|EF1B_YEAST",-1.21,3.1392866428747e-10,1.43e-13,"conditionB-conditionA","YEAST","1","-1"
"77","sp|P10591|HSP71_YEAST","sp|P10591|HSP71_YEAST",-1.1,3.19215035122769e-10,1.54e-13,"conditionB-conditionA","YEAST","1","-1"
"78","sp|P26321|RL5_YEAST","sp|P26321|RL5_YEAST",-0.994,3.26141020662544e-10,1.65e-13,"conditionB-conditionA","YEAST","1","-1"
"79","sp|P0A6F9|CH10_ECOLI","sp|P0A6F9|CH10_ECOLI",1.97,3.48773975649152e-10,2.04e-13,"conditionB-conditionA","ECOLI","1","2"
"80","sp|P32861|UGPA1_YEAST","sp|P32861|UGPA1_YEAST",-1.6,3.55767676364888e-10,2.2e-13,"conditionB-conditionA","YEAST","1","-1"
