"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P54783|ALO_YEAST","sp|P54783|ALO_YEAST","0.670811996159308","0.000104282022886674","0","conditionB-conditionA","YEAST","1","-1"
"sp|P25037|UBP1_YEAST","sp|P25037|UBP1_YEAST","2.44217434798161","0.000105204872646733","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32591|SWI3_YEAST","sp|P32591|SWI3_YEAST","1.02155575524384","0.000105204872646733","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0A6Y8|DNAK_ECOLI","sp|P0A6Y8|DNAK_ECOLI","-1.45572156891073","0.000105204872646733","0","conditionB-conditionA","ECOLI","1","2"
"sp|P06774|HAP2_YEAST","sp|P06774|HAP2_YEAST","1.33364752564735","0.000107050572166851","0","conditionB-conditionA","YEAST","1","-1"
"sp|P41832|BNI1_YEAST","sp|P41832|BNI1_YEAST","0.584520680023804","0.000107050572166851","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q4G176|ACSF3_HUMAN","sp|Q4G176|ACSF3_HUMAN","1.1159716773657","0.000110741971207087","0","conditionB-conditionA","HUMAN","0","0"
"sp|P0AGE9|SUCD_ECOLI","sp|P0AGE9|SUCD_ECOLI","-3.5977005003304","0.000111664820967147","0","conditionB-conditionA","ECOLI","1","2"
"sp|P20967|ODO1_YEAST","sp|P20967|ODO1_YEAST","1.97206261802215","0.000116279069767442","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0ACF8|HNS_ECOLI","sp|P0ACF8|HNS_ECOLI","-4.66800813827244","0.000116279069767442","0","conditionB-conditionA","ECOLI","1","2"
"sp|P17709|HXKG_YEAST","sp|P17709|HXKG_YEAST","0.65529691752975","0.00011812476928756","0","conditionB-conditionA","YEAST","1","-1"
"sp|P14907|NSP1_YEAST","sp|P14907|NSP1_YEAST","0.730935471955394","0.000119047619047619","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32347|DCUP_YEAST","sp|P32347|DCUP_YEAST","1.81456722441054","0.000119047619047619","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0A6P9|ENO_ECOLI","sp|P0A6P9|ENO_ECOLI","-5.05713393539587","0.000119970468807678","0","conditionB-conditionA","ECOLI","1","2"
"sp|P37051|PURU_ECOLI","sp|P37051|PURU_ECOLI","-1.57864075601609","0.000126430417128092","0","conditionB-conditionA","ECOLI","1","2"
"sp|Q8NEF9|SRFB1_HUMAN","sp|Q8NEF9|SRFB1_HUMAN","-0.774610846309358","0.00012827611664821","0","conditionB-conditionA","HUMAN","0","0"
"sp|P23301|IF5A1_YEAST","sp|P23301|IF5A1_YEAST","0.969821081955313","0.000132890365448505","0","conditionB-conditionA","YEAST","1","-1"
"sp|P32468|CDC12_YEAST","sp|P32468|CDC12_YEAST","1.56189556496085","0.000133813215208564","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q96GC5|RM48_HUMAN","sp|Q96GC5|RM48_HUMAN","4.47131323149912","0.000134736064968623","0","conditionB-conditionA","HUMAN","0","0"
"sp|P15254|PUR4_ECOLI","sp|P15254|PUR4_ECOLI","-3.46800882952084","0.000143964562569214","0","conditionB-conditionA","ECOLI","1","2"
"sp|P53691|PPID_YEAST","sp|P53691|PPID_YEAST","0.610987470998836","0.00014765596160945","0","conditionB-conditionA","YEAST","1","-1"
"sp|P53839|GOR1_YEAST","sp|P53839|GOR1_YEAST","1.70541314631373","0.000162421557770395","0.00221238938053097","conditionB-conditionA","YEAST","1","-1"
"sp|P60624|RL24_ECOLI","sp|P60624|RL24_ECOLI","-4.63326180561718","0.000165190107050572","0.00221238938053097","conditionB-conditionA","ECOLI","1","2"
"sp|P38883|RIX1_YEAST","sp|P38883|RIX1_YEAST","1.80611592109774","0.000172572905131045","0.00221238938053097","conditionB-conditionA","YEAST","1","-1"
