"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P40024.ARB1_YEAST","sp|P40024|ARB1_YEAST","1.23603305954655","0.000103482729089352","0","conditionB-conditionA","YEAST","1","-1"
"sp.P07259.PYR1_YEAST.1","sp|P07259|PYR1_YEAST","1.5671202325869","0.000106337425064231","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P54115.ALDH6_YEAST.2","sp|P54115|ALDH6_YEAST","0.654900430276182","0.000111333143020268","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P39522.ILV3_YEAST","sp|P39522|ILV3_YEAST","1.25797795700781","0.000114187838995147","0","conditionB-conditionA","YEAST","1","-1"
"sp.P32324.EF2_YEAST.1","sp|P32324|EF2_YEAST","1.79795315093155","0.000117042534970026","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P00950.PMG1_YEAST.2","sp|P00950|PMG1_YEAST","0.61736340383424","0.000118469882957465","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.Q12230.LSP1_YEAST","sp|Q12230|LSP1_YEAST","1.29736202867371","0.000122751926919783","0","conditionB-conditionA","YEAST","1","-1"
"sp.P32379.PSA5_YEAST.1","sp|P32379|PSA5_YEAST","2.27224068315148","0.000125606622894662","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P49626.RL4B_YEAST","sp|P49626|RL4B_YEAST","1.3545696586575","0.00012917499286326","0","conditionB-conditionA","YEAST","1","-1"
"sp.P54115.ALDH6_YEAST.1","sp|P54115|ALDH6_YEAST","1.63667322965733","0.000132029688838139","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.Q00402.NUM1_YEAST","sp|Q00402|NUM1_YEAST","2.73860893898986","0.000135598058806737","0","conditionB-conditionA","YEAST","1","-1"
"sp.P14126.RL3_YEAST.2","sp|P14126|RL3_YEAST","0.691763274933169","0.000135598058806737","0","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P14126.RL3_YEAST.1","sp|P14126|RL3_YEAST","1.83098609242471","0.000138452754781616","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P40159.YNU8_YEAST.1","sp|P40159|YNU8_YEAST","2.86909266278827","0.000148444190693691","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P21524.RIR1_YEAST.1","sp|P21524|RIR1_YEAST","2.06428522310368","0.000154867256637168","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P41805.RL10_YEAST.2","sp|P41805|RL10_YEAST","0.628531166133843","0.000157721952612047","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P49090.ASNS2_YEAST.1","sp|P49090|ASNS2_YEAST","1.58139315267017","0.000161290322580645","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P36105.RL14A_YEAST","sp|P36105|RL14A_YEAST","1.13398839465766","0.000162003996574365","0","conditionB-conditionA","YEAST","1","-1"
"sp.P23254.TKT1_YEAST.2","sp|P23254|TKT1_YEAST","0.715672374694165","0.000164858692549243","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P40010.NUG1_YEAST.1","sp|P40010|NUG1_YEAST","2.6051197814419","0.000167713388524122","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P22138.RPA2_YEAST.2","sp|P22138|RPA2_YEAST","1.62095478452297","0.00017199543248644","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.Q05359.ERP1_YEAST","sp|Q05359|ERP1_YEAST","2.37178774867073","0.000174136454467599","0","conditionB-conditionA","YEAST","1","-1"
"sp.P35732.DEF1_YEAST.1","sp|P35732|DEF1_YEAST","3.92236760498644","0.000174136454467599","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P32263.P5CR_YEAST","sp|P32263|P5CR_YEAST","1.49823510865573","0.000180559520411076","0","conditionB-conditionA","YEAST","1","-1"
"sp.P06168.ILV5_YEAST.1","sp|P06168|ILV5_YEAST","1.67069630525873","0.000180559520411076","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P10964.RPA1_YEAST.2","sp|P10964|RPA1_YEAST","2.33237796364306","0.000184841564373394","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P39676.FHP_YEAST.1","sp|P39676|FHP_YEAST","1.54208082617243","0.000186982586354553","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.O15078.CE290_HUMAN","sp|O15078|CE290_HUMAN","3.03182752163816","0.000189837282329432","0","conditionB-conditionA","HUMAN","0","0"
"sp.P49626.RL4B_YEAST.1","sp|P49626|RL4B_YEAST","1.8860213175749","0.00019340565229803","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P10659.METK1_YEAST","sp|P10659|METK1_YEAST","1.26808454926307","0.000196260348272909","0","conditionB-conditionA","YEAST","1","-1"
"sp.P40893.REE1_YEAST.2","sp|P40893|REE1_YEAST","1.45612310357885","0.000196974022266629","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P06169.PDC1_YEAST.1","sp|P06169|PDC1_YEAST","1.5366161144554","0.000199828718241507","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P41277.GPP1_YEAST","sp|P41277|GPP1_YEAST","1.40270357132952","0.000202683414216386","0","conditionB-conditionA","YEAST","1","-1"
"sp.P04147.PABP_YEAST.2","sp|P04147|PABP_YEAST","0.563646170587486","0.000204110762203825","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P15180.SYKC_YEAST.1","sp|P15180|SYKC_YEAST","1.71700547897237","0.000206251784184984","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P00330.ADH1_YEAST.1","sp|P00330|ADH1_YEAST","1.62072777344057","0.000212674850128461","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.Q3E7X9.RS28A_YEAST.2","sp|Q3E7X9|RS28A_YEAST","0.716332641184199","0.000216956894090779","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P00950.PMG1_YEAST.1","sp|P00950|PMG1_YEAST","1.55472530627757","0.000219097916071938","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P32599.FIMB_YEAST","sp|P32599|FIMB_YEAST","1.14447895945853","0.000221952612046817","0","conditionB-conditionA","YEAST","1","-1"
"sp.P15019.TAL1_YEAST.2","sp|P15019|TAL1_YEAST","0.524976852014646","0.000224093634027976","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P20081.FKBP_YEAST.1","sp|P20081|FKBP_YEAST","1.67232023690908","0.000225520982015415","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07259.PYR1_YEAST","sp|P07259|PYR1_YEAST","1.05772067482811","0.000228375677990294","0","conditionB-conditionA","YEAST","1","-1"
"sp.P07149.FAS1_YEAST.2","sp|P07149|FAS1_YEAST","0.67198845885278","0.000231230373965173","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P20435.RPAB2_YEAST.1","sp|P20435|RPAB2_YEAST","2.34919257670161","0.000231944047958892","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P23254.TKT1_YEAST","sp|P23254|TKT1_YEAST","1.00194814368371","0.000234798743933771","0","conditionB-conditionA","YEAST","1","-1"
"sp.P32861.UGPA1_YEAST.1","sp|P32861|UGPA1_YEAST","1.37134311300552","0.000238367113902369","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P09436.SYIC_YEAST.2","sp|P09436|SYIC_YEAST","0.567678262991897","0.000238367113902369","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P31116.DHOM_YEAST","sp|P31116|DHOM_YEAST","1.26973084615712","0.000241221809877248","0","conditionB-conditionA","YEAST","1","-1"
"sp.P16861.PFKA1_YEAST.1","sp|P16861|PFKA1_YEAST","1.57590018351582","0.000244790179845846","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P38972.PUR4_YEAST.2","sp|P38972|PUR4_YEAST","0.640477047820028","0.000245503853839566","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P20435.RPAB2_YEAST","sp|P20435|RPAB2_YEAST","2.31800446923483","0.000247644875820725","0","conditionB-conditionA","YEAST","1","-1"
"sp.Q05359.ERP1_YEAST.1","sp|Q05359|ERP1_YEAST","2.11156395416267","0.000251213245789323","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P06169.PDC1_YEAST.2","sp|P06169|PDC1_YEAST","0.618323943668713","0.000252640593776763","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P05748.RL15A_YEAST","sp|P05748|RL15A_YEAST","1.03523395566041","0.000254067941764202","0","conditionB-conditionA","YEAST","1","-1"
"sp.P34227.PRX1_YEAST.1","sp|P34227|PRX1_YEAST","2.60953855076384","0.0002576363117328","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P25605.ILV6_YEAST.1","sp|P25605|ILV6_YEAST","2.77818599338838","0.000264059377676277","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P16120.THRC_YEAST","sp|P16120|THRC_YEAST","1.21710918718065","0.000268341421638595","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P32379.PSA5_YEAST.2","sp|P32379|PSA5_YEAST","1.74167962670342","0.000272623465600914","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P0CX35.RS4A_YEAST","sp|P0CX35|RS4A_YEAST","1.23078009527245","0.000274764487582073","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P15625.SYFA_YEAST.1","sp|P15625|SYFA_YEAST","1.66039222837662","0.000274764487582073","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07251.ATPA_YEAST.1","sp|P07251|ATPA_YEAST","1.77077985720477","0.00028118755352555","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P05694.METE_YEAST.2","sp|P05694|METE_YEAST","0.766728990953993","0.000284042249500428","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P05030.PMA1_YEAST.1","sp|P05030|PMA1_YEAST","1.70367158897704","0.000287610619469027","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P32324.EF2_YEAST.2","sp|P32324|EF2_YEAST","0.548370991978768","0.000291178989437625","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P23254.TKT1_YEAST.1","sp|P23254|TKT1_YEAST","1.71762051837787","0.000294033685412504","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P40150.SSB2_YEAST","sp|P40150|SSB2_YEAST","1.11176376143572","0.000298315729374822","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P09436.SYIC_YEAST.1","sp|P09436|SYIC_YEAST","1.39934723463342","0.000300456751355981","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.Q3E7Y3.RS22B_YEAST.2","sp|Q3E7Y3|RS22B_YEAST","0.57481805677785","0.00030259777333714","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P07281.RS19B_YEAST.1","sp|P07281|RS19B_YEAST","1.79673847906015","0.000306879817299458","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07149.FAS1_YEAST","sp|P07149|FAS1_YEAST","1.0582782038083","0.000308307165286897","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P04912.H2A2_YEAST.1","sp|P04912|H2A2_YEAST","2.21517107130622","0.000313302883242935","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P43535.GCN20_YEAST.1","sp|P43535|GCN20_YEAST","3.22596606852787","0.000319725949186412","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07259.PYR1_YEAST.2","sp|P07259|PYR1_YEAST","0.509399557758794","0.000319725949186412","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P38708.YHI0_YEAST","sp|P38708|YHI0_YEAST","0.865526274549811","0.000321153297173851","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P36105.RL14A_YEAST.1","sp|P36105|RL14A_YEAST","1.6585080844252","0.000326149015129889","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P16474.BIP_YEAST","sp|P16474|BIP_YEAST","1.32114305376443","0.000327576363117328","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P05739.RL6B_YEAST.1","sp|P05739|RL6B_YEAST","1.56447038326741","0.000332572081073366","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P15625.SYFA_YEAST.2","sp|P15625|SYFA_YEAST","0.666954839711824","0.000336140451041964","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P04147.PABP_YEAST.1","sp|P04147|PABP_YEAST","1.53190133843399","0.000338995147016843","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P14126.RL3_YEAST","sp|P14126|RL3_YEAST","1.13922281749154","0.000340422495004282","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P27616.PUR7_YEAST.2","sp|P27616|PUR7_YEAST","0.660041302851258","0.000343277190979161","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P23639.PSA2_YEAST.1","sp|P23639|PSA2_YEAST","2.47753440724228","0.00034541821296032","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07284.SYSC_YEAST.2","sp|P07284|SYSC_YEAST","0.619773759572958","0.000350413930916357","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P40185.MMF1_YEAST.1","sp|P40185|MMF1_YEAST","1.87247255561056","0.000351841278903797","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.Q03862.ARX1_YEAST","sp|Q03862|ARX1_YEAST","1.43500291547941","0.000353268626891236","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P13498.CY24A_HUMAN.2","sp|P13498|CY24A_HUMAN","2.61759220913662","0.000357550670853554","0.0238095238095238","conditionC-conditionB","HUMAN","0","0"
"sp.P05030.PMA1_YEAST","sp|P05030|PMA1_YEAST","1.13316736496799","0.000361832714815872","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P34223.UBX1_YEAST.1","sp|P34223|UBX1_YEAST","2.04861113536269","0.00036611475877819","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P10081.IF4A_YEAST","sp|P10081|IF4A_YEAST","1.26142454470283","0.000368255780759349","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P38219.OLA1_YEAST.2","sp|P38219|OLA1_YEAST","0.605588832473494","0.000368969454753069","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P12709.G6PI_YEAST.1","sp|P12709|G6PI_YEAST","1.68204054079412","0.000372537824721667","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P54115.ALDH6_YEAST","sp|P54115|ALDH6_YEAST","0.981772799381144","0.000374678846702826","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P40069.IMB4_YEAST.1","sp|P40069|IMB4_YEAST","1.5344872374075","0.000378960890665144","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P31539.HS104_YEAST","sp|P31539|HS104_YEAST","1.08246956179833","0.000381101912646303","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P20081.FKBP_YEAST.2","sp|P20081|FKBP_YEAST","0.712215582207698","0.000382529260633743","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P00925.ENO2_YEAST.1","sp|P00925|ENO2_YEAST","1.54528485603565","0.000385383956608621","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P07260.IF4E_YEAST","sp|P07260|IF4E_YEAST","0.975237721776889","0.00038752497858978","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P0CX38.RS6B_YEAST.2","sp|P0CX38|RS6B_YEAST","0.717014933372216","0.000389666000570939","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P42943.TCPH_YEAST.1","sp|P42943|TCPH_YEAST","1.88488976783373","0.000391807022552098","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
"sp.P16521.EF3A_YEAST","sp|P16521|EF3A_YEAST","1.13904863163958","0.000393948044533257","0.00740740740740741","conditionB-conditionA","YEAST","1","-1"
"sp.P38708.YHI0_YEAST.2","sp|P38708|YHI0_YEAST","0.610035558481947","0.000396802740508136","0.0238095238095238","conditionC-conditionB","YEAST","1","-0.599462070416271"
"sp.P41277.GPP1_YEAST.1","sp|P41277|GPP1_YEAST","1.76092185562791","0.000398230088495575","0","conditionC-conditionA","YEAST","1","-1.59946207041627"
