"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P04802|SYDC_YEAST1",0.853586375286735,18.0889776111507,16.6886136715816,3.46554539434715e-06,0.00291307983488162,5.28327271952765,"conditionD-conditionB","sp|P04802|SYDC_YEAST","YEAST","1","0.584962500721156"
"sp|P33442|RS3A1_YEAST1",0.672125760603315,20.1109009654467,15.7026163272813,4.92816327867163e-06,0.00291307983488162,4.97625467821009,"conditionD-conditionB","sp|P33442|RS3A1_YEAST","YEAST","1","0.584962500721156"
"sp|P49626|RL4B_YEAST1",0.708232796560903,20.3890256936308,14.6172363254727,7.44807014456435e-06,0.00291307983488162,4.60492248358702,"conditionD-conditionB","sp|P49626|RL4B_YEAST","YEAST","1","0.584962500721156"
"sp|P38013|AHP1_YEAST1",0.741960805804311,19.8322492177515,14.3934858329068,8.13945546472869e-06,0.00291307983488162,4.52361073195074,"conditionD-conditionB","sp|P38013|AHP1_YEAST","YEAST","1","0.584962500721156"
"sp|P04806|HXKA_YEAST1",0.595451855093717,20.113975595355,14.1246829162653,9.07132479112687e-06,0.00291307983488162,4.42363173044664,"conditionD-conditionB","sp|P04806|HXKA_YEAST","YEAST","1","0.584962500721156"
"sp|P49626|RL4B_YEAST2",0.44118443552501,20.5225498741488,15.0021813443272,9.11346048391376e-06,0.0174344897685645,4.17169422574119,"conditionD-conditionC","sp|P49626|RL4B_YEAST","YEAST","1","0.263034405833794"
"sp|P14832|CYPH_YEAST1",0.624543146344823,22.0616448583665,13.7316586310305,1.06673219945155e-05,0.00291307983488162,4.27277003276644,"conditionD-conditionB","sp|P14832|CYPH_YEAST","YEAST","1","0.584962500721156"
"sp|P00549|KPYK1_YEAST1",0.618072849075254,24.4048064095637,13.335931757558,1.26147556961913e-05,0.00291307983488162,4.11499697298275,"conditionD-conditionB","sp|P00549|KPYK1_YEAST","YEAST","1","0.584962500721156"
"sp|P05737|RL7A_YEAST1",0.533784252056687,20.0755126411655,13.2113706286048,1.3311407884405e-05,0.00291307983488162,4.06406703271646,"conditionD-conditionB","sp|P05737|RL7A_YEAST","YEAST","1","0.584962500721156"
"sp|P05750|RS3_YEAST1",0.580045324212453,20.4561803951475,13.0834461526347,1.40739678546769e-05,0.00291307983488162,4.01111165100598,"conditionD-conditionB","sp|P05750|RS3_YEAST","YEAST","1","0.584962500721156"
"sp|P31116|DHOM_YEAST1",0.575119238898086,19.1060689057069,13.0748130827119,1.41272368041605e-05,0.00291307983488162,4.00751391329265,"conditionD-conditionB","sp|P31116|DHOM_YEAST","YEAST","1","0.584962500721156"
"sp|P05319|RLA2_YEAST1",0.645234274791385,19.9960484851144,12.9228035139632,1.51047726724333e-05,0.00291307983488162,3.94366191315378,"conditionD-conditionB","sp|P05319|RLA2_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX24|RL20B_YEAST1",0.592165911668566,19.6551739267731,12.7859814398041,1.60525595389382e-05,0.00291307983488162,3.88536348662689,"conditionD-conditionB","sp|P0CX24|RL20B_YEAST","YEAST","1","0.584962500721156"
"sp|P38934|BFR1_YEAST2",0.42812733923369,17.8783787598402,13.5292955234213,1.61161751169422e-05,0.0174344897685645,3.72394997009629,"conditionD-conditionC","sp|P38934|BFR1_YEAST","YEAST","1","0.263034405833794"
"sp|P25694|CDC48_YEAST1",0.675094587384237,18.8129744639859,12.6280142914095,1.72342130023315e-05,0.00291307983488162,3.81706244608014,"conditionD-conditionB","sp|P25694|CDC48_YEAST","YEAST","1","0.584962500721156"
"sp|P00360|G3P1_YEAST1",0.652633644965238,20.6013131956817,12.4081324995013,1.90518399964388e-05,0.00291307983488162,3.72017793341591,"conditionD-conditionB","sp|P00360|G3P1_YEAST","YEAST","1","0.584962500721156"
"sp|Q99567|NUP88_HUMAN1",0.598310510629474,16.5811900298045,12.328424260426,1.97651890018652e-05,0.00291307983488162,3.68452474728459,"conditionD-conditionB","sp|Q99567|NUP88_HUMAN","HUMAN","0","0"
"sp|P00950|PMG1_YEAST1",0.610957176734896,22.6815472216749,12.3247801619254,1.97985379557841e-05,0.00291307983488162,3.68288789420438,"conditionD-conditionB","sp|P00950|PMG1_YEAST","YEAST","1","0.584962500721156"
"sp|Q03558|OYE2_YEAST1",0.653917526740464,20.4595033913167,12.2752451991327,2.02584162190449e-05,0.00291307983488162,3.6605779472459,"conditionD-conditionB","sp|Q03558|OYE2_YEAST","YEAST","1","0.584962500721156"
"sp|P32324|EF2_YEAST1",0.516980907857061,22.1947502715037,12.203263568378,2.09490359679861e-05,0.00291307983488162,3.62795833055875,"conditionD-conditionB","sp|P32324|EF2_YEAST","YEAST","1","0.584962500721156"
"sp|P32318|THI4_YEAST2",0.365954545584678,21.1449849787308,12.7591888695358,2.22380258438392e-05,0.0174344897685645,3.45842996423144,"conditionD-conditionC","sp|P32318|THI4_YEAST","YEAST","1","0.263034405833794"
"sp|P10081|IF4A_YEAST1",0.55512675301571,20.4211655993497,11.9118261756238,2.40402560916866e-05,0.00294952984778285,3.49342073840177,"conditionD-conditionB","sp|P10081|IF4A_YEAST","YEAST","1","0.584962500721156"
"sp|P02406|RL28_YEAST1",0.637723790468989,20.0722567591531,11.9066385798279,2.40999077016818e-05,0.00294952984778285,3.49098948666029,"conditionD-conditionB","sp|P02406|RL28_YEAST","YEAST","1","0.584962500721156"
"sp|Q08224|THI20_YEAST1",0.640370075183039,19.3970307393335,11.7666978783646,2.57759801619249e-05,0.00294952984778285,3.42491260416672,"conditionD-conditionB","sp|Q08224|THI20_YEAST","YEAST","1","0.584962500721156"
"sp|P16521|EF3A_YEAST1",0.573412400136711,21.2388676901104,11.7547905716205,2.59247529569407e-05,0.00294952984778285,3.41924616753376,"conditionD-conditionB","sp|P16521|EF3A_YEAST","YEAST","1","0.584962500721156"
"sp|P38616|YGP1_YEAST1",0.782046263393557,16.3888386791344,11.5049483327362,2.9289209623735e-05,0.00302796843572232,3.29872683461236,"conditionD-conditionB","sp|P38616|YGP1_YEAST","YEAST","1","0.584962500721156"
"sp|P22146|GAS1_YEAST1",0.739088589388743,16.9685222803381,11.4792362510614,2.96634536196247e-05,0.00302796843572232,3.2861453490466,"conditionD-conditionB","sp|P22146|GAS1_YEAST","YEAST","1","0.584962500721156"
"sp|P36008|EF1G2_YEAST1",0.687051643372104,19.4825365432183,11.4401284019249,3.02433922864794e-05,0.00302796843572232,3.26694420747591,"conditionD-conditionB","sp|P36008|EF1G2_YEAST","YEAST","1","0.584962500721156"
