"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",84.1252561531428,0,0.880531230319981,0,"ECOLI","1","1"
"2","sp|P0A6F5|CH60_ECOLI","conditionB-conditionA",86.3417318496698,0,-0.777117190229639,0,"ECOLI","1","1"
"3","sp|P0A8B5|YBAB_ECOLI","conditionB-conditionA",94.2788576505847,0,-1.46043500775506,0,"ECOLI","1","1"
"4","sp|P38489|NFSB_ECOLI","conditionB-conditionA",86.7708664067015,0,-1.39434958977901,0,"ECOLI","1","1"
"5","sp|P0A7W1|RS5_ECOLI","conditionB-conditionA",Inf,0,-1.07615810017174,0,"ECOLI","1","1"
"6","sp|P21599|KPYK2_ECOLI","conditionB-conditionA",84.952116364057,0,-1.4116197305778,0,"ECOLI","1","1"
"7","sp|P0A9C5|GLN1B_ECOLI","conditionB-conditionA",84.2381165037197,0,-1.03139378856425,0,"ECOLI","1","1"
"8","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",83.1595928177778,0,0.870102105121322,0,"ECOLI","1","1"
"9","sp|P0A799|PGK_ECOLI","conditionB-conditionA",87.1906283501236,0,-0.848630397520061,0,"ECOLI","1","1"
"10","sp|P24182|ACCC_ECOLI","conditionB-conditionA",82.1828141527187,0,-1.49244480921798,0,"ECOLI","1","1"
"11","sp|P25665|METE_ECOLI","conditionB-conditionA",84.6883673491605,0,0.914436840740091,0,"ECOLI","1","1"
"12","sp|P10371|HIS4_ECOLI","conditionB-conditionA",81.5617338554591,0,1.1601834329124,0,"ECOLI","1","1"
"13","sp|P06959|ODP2_ECOLI","conditionB-conditionA",Inf,0,-0.977719279757814,0,"ECOLI","1","1"
"14","sp|P39173|YEAD_ECOLI","conditionB-conditionA",85.5866882330609,0,-1.06219319988305,0,"ECOLI","1","1"
"15","sp|Q46871|YQJH_ECOLI","conditionB-conditionA",Inf,0,-1.23229297461822,0,"ECOLI","1","1"
"16","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",76.9835991511957,1.11022302462516e-16,-0.956287491279536,1.96694512529424e-14,"ECOLI","1","1"
"17","sp|P0AFG6|ODO2_ECOLI","conditionB-conditionA",78.0224365885363,1.11022302462516e-16,-0.967994366991164,1.96694512529424e-14,"ECOLI","1","1"
"18","sp|P0A870|TALB_ECOLI","conditionB-conditionA",76.7132140589133,1.11022302462516e-16,-1.07174202252336,1.96694512529424e-14,"ECOLI","1","1"
"19","sp|P0A7J3|RL10_ECOLI","conditionB-conditionA",76.1335008481767,2.22044604925031e-16,0.859115544463908,3.07869671785185e-14,"ECOLI","1","1"
"20","sp|P0AFG8|ODP1_ECOLI","conditionB-conditionA",75.5736259792173,2.22044604925031e-16,-1.10868247868267,3.07869671785185e-14,"ECOLI","1","1"
"21","sp|P0A9P0|DLDH_ECOLI","conditionB-conditionA",76.3293079857348,2.22044604925031e-16,0.896474282601972,3.07869671785185e-14,"ECOLI","1","1"
"22","sp|P69797|PTNAB_ECOLI","conditionB-conditionA",75.7115425683178,2.22044604925031e-16,-1.24152206258514,3.07869671785185e-14,"ECOLI","1","1"
