"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P61889|MDH_ECOLI","conditionB-conditionA",Inf,0,-2.59109287430783,0,"ECOLI","1","2"
"2","sp|P25553|ALDA_ECOLI","conditionB-conditionA",Inf,0,-2.89308455853195,0,"ECOLI","1","2"
"3","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",Inf,0,-2.73088613051173,0,"ECOLI","1","2"
"4","sp|P0CE48|EFTU2_ECOLI;sp|P0CE47|EFTU1_ECOLI","conditionB-conditionA",Inf,0,-2.48063259522933,0,"ECOLI","1","2"
"5","sp|P36683|ACNB_ECOLI","conditionB-conditionA",Inf,0,-2.49740710452961,0,"ECOLI","1","2"
"6","sp|P0A6F3|GLPK_ECOLI","conditionB-conditionA",Inf,0,-2.48026594619389,0,"ECOLI","1","2"
"7","sp|P0ABT2|DPS_ECOLI","conditionB-conditionA",Inf,0,-2.81603476510116,0,"ECOLI","1","2"
"8","sp|P08200|IDH_ECOLI","conditionB-conditionA",Inf,0,-2.39227160594306,0,"ECOLI","1","2"
"9","sp|P02925|RBSB_ECOLI","conditionB-conditionA",Inf,0,-2.28824340672223,0,"ECOLI","1","2"
"10","sp|P0A7K2|RL7_ECOLI","conditionB-conditionA",Inf,0,-2.13196039681292,0,"ECOLI","1","2"
"11","sp|P0AEX9|MALE_ECOLI","conditionB-conditionA",Inf,0,-2.51309067745107,0,"ECOLI","1","2"
"12","sp|P23847|DPPA_ECOLI","conditionB-conditionA",Inf,0,-2.7121705616676,0,"ECOLI","1","2"
"13","sp|Q46938|KDUI_ECOLI","conditionB-conditionA",Inf,0,-2.45718339109513,0,"ECOLI","1","2"
"14","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",Inf,0,-2.30529757048877,0,"ECOLI","1","2"
"15","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",Inf,0,-2.58022350054968,0,"ECOLI","1","2"
"16","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",223.522213435831,0,2.05383089524707,0,"ECOLI","1","2"
"17","sp|P0A799|PGK_ECOLI","conditionB-conditionA",Inf,0,-2.53067490080324,0,"ECOLI","1","2"
"18","sp|P0A9G6|ACEA_ECOLI","conditionB-conditionA",Inf,0,-2.85750355316119,0,"ECOLI","1","2"
"19","sp|P77581|ASTC_ECOLI","conditionB-conditionA",Inf,0,-2.55217671563816,0,"ECOLI","1","2"
"20","sp|P0ABK5|CYSK_ECOLI","conditionB-conditionA",Inf,0,-3.00581527576233,0,"ECOLI","1","2"
"21","sp|P77674|ABDH_ECOLI","conditionB-conditionA",Inf,0,-2.70133229734662,0,"ECOLI","1","2"
"22","sp|P37769|KDUD_ECOLI","conditionB-conditionA",Inf,0,-2.99876990801005,0,"ECOLI","1","2"
"23","sp|P0A870|TALB_ECOLI","conditionB-conditionA",Inf,0,-2.57492503922691,0,"ECOLI","1","2"
"24","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",Inf,0,-2.62933544754133,0,"ECOLI","1","2"
"25","sp|P0A763|NDK_ECOLI","conditionB-conditionA",Inf,0,-2.52967302561218,0,"ECOLI","1","2"
