"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0AFG3|ODO1_ECOLI","conditionB-conditionA",149.871869921003,0,-2.33479992270284,0,"ECOLI","1","2"
"2","sp|P27550|ACSA_ECOLI","conditionB-conditionA",147.183295285383,0,1.96415845884572,0,"ECOLI","1","2"
"3","sp|P36683|ACNB_ECOLI","conditionB-conditionA",147.938968836812,0,-2.14005612090799,0,"ECOLI","1","2"
"4","sp|P22259|PCKA_ECOLI","conditionB-conditionA",Inf,0,-2.46462755238287,0,"ECOLI","1","2"
"5","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",134.794311578753,0,-1.90588151484921,0,"ECOLI","1","2"
"6","sp|P37012|PGM2_YEAST","conditionB-conditionA",121.502577462825,0,-0.98859598250279,0,"YEAST","1","-1"
"7","sp|P07149|FAS1_YEAST","conditionB-conditionA",113.407230914811,0,-0.90822622782127,0,"YEAST","1","-1"
"8","sp|P02925|RBSB_ECOLI","conditionB-conditionA",124.579404337127,0,-1.78769001607786,0,"ECOLI","1","2"
"9","sp|P09394|GLPQ_ECOLI","conditionB-conditionA",123.762034852249,0,2.61352370314161,0,"ECOLI","1","2"
"10","sp|P39676|FHP_YEAST","conditionB-conditionA",116.653484123491,0,1.17112410295443,0,"YEAST","1","-1"
"11","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",86.0101829905027,0,2.24062238339311,0,"ECOLI","1","2"
"12","sp|P0A6A3|ACKA_ECOLI","conditionB-conditionA",135.540485153324,0,2.41235143929184,0,"ECOLI","1","2"
"13","sp|P0AEX9|MALE_ECOLI","conditionB-conditionA",Inf,0,-2.52516034346514,0,"ECOLI","1","2"
"14","sp|P19414|ACON_YEAST","conditionB-conditionA",112.973123560515,0,0.863439005380091,0,"YEAST","1","-1"
"15","sp|P0ABH7|CISY_ECOLI","conditionB-conditionA",Inf,0,-2.60904816291713,0,"ECOLI","1","2"
"16","sp|P35732|DEF1_YEAST","conditionB-conditionA",115.215415271614,0,-0.928435144685309,0,"YEAST","1","-1"
"17","sp|P0AC33|FUMA_ECOLI;sp|P14407|FUMB_ECOLI","conditionB-conditionA",Inf,0,2.89985209149434,0,"ECOLI","1","2"
"18","sp|P15705|STI1_YEAST","conditionB-conditionA",106.360172415187,0,1.09874959944537,0,"YEAST","1","-1"
"19","sp|Q07551|KAR_YEAST","conditionB-conditionA",109.018968511263,0,-1.06313128366256,0,"YEAST","1","-1"
"20","sp|P0ADS6|YGGE_ECOLI","conditionB-conditionA",103.233513070072,0,2.19668255736824,0,"ECOLI","1","2"
"21","sp|P28707|SBA1_YEAST","conditionB-conditionA",91.1291443782397,0,2.44909953522753,0,"YEAST","1","-1"
"22","sp|P27809|KRE2_YEAST","conditionB-conditionA",99.297271916537,0,-1.52654267660779,0,"YEAST","1","-1"
"23","sp|P33195|GCSP_ECOLI","conditionB-conditionA",Inf,0,-2.53234978927825,0,"ECOLI","1","2"
"24","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",111.290366584619,0,-1.88827079905575,0,"ECOLI","1","2"
"25","sp|P0A7D4|PURA_ECOLI","conditionB-conditionA",86.7139190126589,0,2.2296828171986,0,"ECOLI","1","2"
"26","sp|P32074|COPG_YEAST","conditionB-conditionA",88.7426227700235,0,-0.87796028510849,0,"YEAST","1","-1"
"27","sp|P77674|ABDH_ECOLI","conditionB-conditionA",Inf,0,-3.22796394415113,0,"ECOLI","1","2"
"28","sp|P34223|UBX1_YEAST","conditionB-conditionA",82.7398683950034,0,-0.953769272549934,0,"YEAST","1","-1"
"29","sp|Q07478|SUB2_YEAST","conditionB-conditionA",116.326619788267,0,1.18644149552096,0,"YEAST","1","-1"
"30","sp|P80210|PURA_YEAST","conditionB-conditionA",97.7510534745728,0,-0.871852699042091,0,"YEAST","1","-1"
"31","sp|P0A9C5|GLN1B_ECOLI","conditionB-conditionA",Inf,0,-3.02935309732044,0,"ECOLI","1","2"
"32","sp|P10659|METK1_YEAST","conditionB-conditionA",89.0106882830074,0,0.825805537934421,0,"YEAST","1","-1"
