"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P07259|PYR1_YEAST","conditionB-conditionA",83.9601535144242,0,1.38548562489245,0,"YEAST","1","-1"
"2","sp|P19097|FAS2_YEAST","conditionB-conditionA",78.8337626958707,0,1.51562535279121,0,"YEAST","1","-1"
"3","sp|P32324|EF2_YEAST","conditionB-conditionA",83.0497144545228,0,1.26712713418446,0,"YEAST","1","-1"
"4","sp|P40150|SSB2_YEAST","conditionB-conditionA",78.4357017517842,1.11022302462516e-16,1.3537027433418,1.39129448702609e-13,"YEAST","1","-1"
"5","sp|P00925|ENO2_YEAST","conditionB-conditionA",77.3642175021129,1.11022302462516e-16,1.30419736231654,1.39129448702609e-13,"YEAST","1","-1"
"6","sp|P07149|FAS1_YEAST","conditionB-conditionA",77.186425184281,1.11022302462516e-16,1.3316331186237,1.39129448702609e-13,"YEAST","1","-1"
"7","sp|P10592|HSP72_YEAST","conditionB-conditionA",73.7229455685232,6.66133814775094e-16,-1.08615595160281,7.1552287904199e-13,"YEAST","1","-1"
"8","sp|P14126|RL3_YEAST","conditionB-conditionA",72.9608839442612,9.99200722162641e-16,1.41284597813045,9.39123778742612e-13,"YEAST","1","-1"
"9","sp|P10664|RL4A_YEAST","conditionB-conditionA",72.5446759168458,1.22124532708767e-15,1.40687357852946,1.02028262381913e-12,"YEAST","1","-1"
"10","sp|P16861|PFKA1_YEAST","conditionB-conditionA",72.216909567234,1.4432899320127e-15,1.37331720744634,1.08520969988035e-12,"YEAST","1","-1"
"11","sp|P32263|P5CR_YEAST","conditionB-conditionA",70.3350419906898,3.66373598126302e-15,2.13886249127736,2.50433007664697e-12,"YEAST","1","-1"
"12","sp|P54115|ALDH6_YEAST","conditionB-conditionA",70.0819699298541,4.10782519111308e-15,1.25142190403526,2.57389480099827e-12,"YEAST","1","-1"
"13","sp|P38088|SYG_YEAST","conditionB-conditionA",68.9447471884025,7.21644966006352e-15,1.34652415643098,4.17388346107828e-12,"YEAST","1","-1"
"14","sp|P31539|HS104_YEAST","conditionB-conditionA",68.7576931604118,7.88258347483861e-15,1.26559995544629,4.23351036766511e-12,"YEAST","1","-1"
"15","sp|P40024|ARB1_YEAST","conditionB-conditionA",68.5841203965379,8.54871728961371e-15,1.5818467436652,4.28518702004036e-12,"YEAST","1","-1"
"16","sp|P23254|TKT1_YEAST","conditionB-conditionA",67.5939211794391,1.3988810110277e-14,1.24712270375808,6.57386645119828e-12,"YEAST","1","-1"
"17","sp|P12709|G6PI_YEAST","conditionB-conditionA",67.3900432001345,1.54321000422897e-14,1.25680331410787,6.72459002062611e-12,"YEAST","1","-1"
"18","sp|P17255|VATA_YEAST","conditionB-conditionA",67.3025930322405,1.60982338570648e-14,1.10503889652999,6.72459002062611e-12,"YEAST","1","-1"
"19","sp|P38788|SSZ1_YEAST","conditionB-conditionA",67.1419447236375,1.7430501486615e-14,-1.22412201529932,6.8978916146241e-12,"YEAST","1","-1"
"20","sp|P26785|RL16B_YEAST","conditionB-conditionA",66.9193255956185,1.95399252334028e-14,1.66862033579806,7.27448260359357e-12,"YEAST","1","-1"
"21","sp|P05750|RS3_YEAST","conditionB-conditionA",66.8317240096924,2.03170813506404e-14,1.36852653810743,7.27448260359357e-12,"YEAST","1","-1"
"22","sp|P38972|PUR4_YEAST","conditionB-conditionA",66.5226601731149,2.36477504245158e-14,1.35364801822889,7.87593661786075e-12,"YEAST","1","-1"
"23","sp|P41277|GPP1_YEAST","conditionB-conditionA",66.4899020283438,2.40918396343659e-14,1.66761922033307,7.87593661786075e-12,"YEAST","1","-1"
"24","sp|Q07478|SUB2_YEAST","conditionB-conditionA",66.3245991049336,2.60902410786912e-14,1.83135730190029,8.17385511127829e-12,"YEAST","1","-1"
"25","sp|P33442|RS3A1_YEAST","conditionB-conditionA",65.0241652352427,4.9515946898282e-14,1.6888367969047,1.48924161891273e-11,"YEAST","1","-1"
"26","sp|P26637|SYLC_YEAST","conditionB-conditionA",63.6992506562082,9.51461132103759e-14,1.31750913154714,2.75155240472622e-11,"YEAST","1","-1"
"27","sp|P07260|IF4E_YEAST","conditionB-conditionA",63.5899650807763,1.00475183728577e-13,1.73674925757215,2.79017785307233e-11,"YEAST","1","-1"
"28","sp|P16120|THRC_YEAST","conditionB-conditionA",63.4793946896902,1.06026298851702e-13,1.82821044339468,2.79017785307233e-11,"YEAST","1","-1"
"29","sp|P39522|ILV3_YEAST","conditionB-conditionA",63.4218335858543,1.09134923320653e-13,1.49762289515469,2.79017785307233e-11,"YEAST","1","-1"
"30","sp|P29453|RL8B_YEAST","conditionB-conditionA",63.3220226239339,1.14575016141316e-13,1.5049276298631,2.79017785307233e-11,"YEAST","1","-1"
"31","sp|P38720|6PGD1_YEAST","conditionB-conditionA",63.2324861703114,1.19793064357054e-13,1.34233843266019,2.79017785307233e-11,"YEAST","1","-1"
"32","sp|P10081|IF4A_YEAST","conditionB-conditionA",63.2269961084367,1.20126131264442e-13,-1.26142454470283,2.79017785307233e-11,"YEAST","1","-1"
"33","sp|P40825|SYA_YEAST","conditionB-conditionA",63.1876481428577,1.22457599616155e-13,1.34962796484197,2.79017785307233e-11,"YEAST","1","-1"
"34","sp|P32599|FIMB_YEAST","conditionB-conditionA",62.9069771892563,1.40554234917545e-13,1.55700952975108,3.10831556572065e-11,"YEAST","1","-1"
"35","sp|P10659|METK1_YEAST","conditionB-conditionA",62.7529436452236,1.51656465163796e-13,-1.26808454926308,3.25801417590453e-11,"YEAST","1","-1"
"36","sp|P09436|SYIC_YEAST","conditionB-conditionA",62.6724677210013,1.57762691799235e-13,1.63050133724726,3.29504911010679e-11,"YEAST","1","-1"
"37","sp|P38009|PUR92_YEAST","conditionB-conditionA",62.2813527448007,1.91291427142914e-13,1.35241208118339,3.63433267220718e-11,"YEAST","1","-1"
"38","sp|P06168|ILV5_YEAST","conditionB-conditionA",62.2782191596717,1.91624494050302e-13,1.22205184115785,3.63433267220718e-11,"YEAST","1","-1"
"39","sp|P16140|VATB_YEAST","conditionB-conditionA",62.2469123631436,1.9462209621679e-13,1.41235018466739,3.63433267220718e-11,"YEAST","1","-1"
"40","sp|P00359|G3P3_YEAST","conditionB-conditionA",62.2361318056583,1.95621296938953e-13,1.08041166295061,3.63433267220718e-11,"YEAST","1","-1"
"41","sp|P00445|SODC_YEAST","conditionB-conditionA",62.2092572441087,1.9817480989559e-13,2.07358893935172,3.63433267220718e-11,"YEAST","1","-1"
"42","sp|P25694|CDC48_YEAST","conditionB-conditionA",61.9911972637516,2.20712337295481e-13,-1.18189478775987,3.9512763431541e-11,"YEAST","1","-1"
