"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P33442|RS3A1_YEAST","conditionC-conditionB",37.520670814207,3.5703368816975e-08,-0.46087168195049,0.000106253225599318,"YEAST","1","0.321928094887362"
"2","sp|P07267|CARP_YEAST","conditionC-conditionB",32.8980962965234,3.38407970756904e-07,-0.461217453350471,0.000503551060486274,"YEAST","1","0.321928094887362"
"3","sp|P04449|RL24A_YEAST","conditionC-conditionB",31.9433001480394,5.37945961553987e-07,-0.39414999632795,0.000533642393861555,"YEAST","1","0.321928094887362"
"4","sp|P14832|CYPH_YEAST","conditionC-conditionB",30.4227336284916,1.12449233002909e-06,-0.38462670028683,0.000672770491828345,"YEAST","1","0.321928094887362"
"5","sp|P05738|RL9A_YEAST","conditionC-conditionB",30.103549520561,1.31254542046211e-06,0.448163296837926,0.000672770491828345,"YEAST","1","0.321928094887362"
"6","sp|P16521|EF3A_YEAST","conditionC-conditionB",30.0357103433941,1.35639212062166e-06,-0.499501485098165,0.000672770491828345,"YEAST","1","0.321928094887362"
"7","sp|P38879|NACA_YEAST","conditionC-conditionB",29.4643919980034,1.78867234135183e-06,-0.74671768039757,0.00076044126969472,"YEAST","1","0.321928094887362"
"8","sp|P00925|ENO2_YEAST","conditionC-conditionB",28.2601319300192,3.20288882060815e-06,-0.373504487831209,0.00119147464126623,"YEAST","1","0.321928094887362"
"9","sp|P00560|PGK_YEAST","conditionC-conditionB",28.0147671676139,3.60620691763902e-06,-0.387203283124986,0.00119245242076597,"YEAST","1","0.321928094887362"
"10","sp|P14540|ALF_YEAST","conditionC-conditionB",27.4670656026098,4.6986723839515e-06,0.349561776340042,0.00139832490146397,"YEAST","1","0.321928094887362"
"11","sp|P37291|GLYC_YEAST","conditionC-conditionB",26.3083922244889,8.21954689111948e-06,0.310734553885492,0.00190099275685463,"YEAST","1","0.321928094887362"
"12","sp|P40150|SSB2_YEAST","conditionC-conditionB",26.1233855612331,8.98658083225978e-06,0.387197921945862,0.00190099275685463,"YEAST","1","0.321928094887362"
"13","sp|Q12230|LSP1_YEAST","conditionC-conditionB",26.0950537084185,9.11018705329614e-06,-0.767969507072074,0.00190099275685463,"YEAST","1","0.321928094887362"
"14","sp|P07149|FAS1_YEAST","conditionC-conditionB",25.8035581463121,1.04846683585125e-05,-0.784888011003709,0.00190099275685463,"YEAST","1","0.321928094887362"
"15","sp|P00950|PMG1_YEAST","conditionC-conditionB",25.6831384628511,1.11111428749977e-05,0.297990791298993,0.00190099275685463,"YEAST","1","0.321928094887362"
"16","sp|P25694|CDC48_YEAST","conditionC-conditionB",25.4641177105322,1.23477974667274e-05,-0.684119409377153,0.00190099275685463,"YEAST","1","0.321928094887362"
"17","sp|P12709|G6PI_YEAST","conditionC-conditionB",25.4123578397624,1.26595534239993e-05,-0.47867318098217,0.00190099275685463,"YEAST","1","0.321928094887362"
