"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P16860|ANFB_HUMAN","sp|P16860|ANFB_HUMAN","-1.41748902094342","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|P25738|MSYB_ECOLI","sp|P25738|MSYB_ECOLI","-1.79970629963228","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7J3|RL10_ECOLI","sp|P0A7J3|RL10_ECOLI","-1.47789414939303","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P16659|SYP_ECOLI","sp|P16659|SYP_ECOLI","-1.67121688468223","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P77674|ABDH_ECOLI","sp|P77674|ABDH_ECOLI","-1.83225792950841","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7J7|RL11_ECOLI","sp|P0A7J7|RL11_ECOLI","-1.634795429787","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P36683|ACNB_ECOLI","sp|P36683|ACNB_ECOLI","-1.71217098739936","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P27306|STHA_ECOLI","sp|P27306|STHA_ECOLI","-1.49964141504093","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P07813|SYL_ECOLI","sp|P07813|SYL_ECOLI","-1.41431100807546","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABA4|ATPD_ECOLI","sp|P0ABA4|ATPD_ECOLI","-1.35593471425961","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABE2|BOLA_ECOLI","sp|P0ABE2|BOLA_ECOLI","-1.50578020769162","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7L0|RL1_ECOLI","sp|P0A7L0|RL1_ECOLI","-1.77954109580186","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P63284|CLPB_ECOLI","sp|P63284|CLPB_ECOLI","-1.48170740641898","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6Z3|HTPG_ECOLI","sp|P0A6Z3|HTPG_ECOLI","-1.57676628539079","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A867|TALA_ECOLI","sp|P0A867|TALA_ECOLI","-1.38182126046144","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9T0|SERA_ECOLI","sp|P0A9T0|SERA_ECOLI","-1.47659445831452","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00960|SYGA_ECOLI","sp|P00960|SYGA_ECOLI","-1.29377311279006","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P08200|IDH_ECOLI","sp|P08200|IDH_ECOLI","-1.66973990789459","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00582|DPO1_ECOLI","sp|P00582|DPO1_ECOLI","-1.38652166425947","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P08312|SYFA_ECOLI","sp|P08312|SYFA_ECOLI","-1.59825930851743","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ADE8|YGFZ_ECOLI","sp|P0ADE8|YGFZ_ECOLI","-1.40366156224688","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ACF0|DBHA_ECOLI","sp|P0ACF0|DBHA_ECOLI","-1.83277001367819","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A877|TRPA_ECOLI","sp|P0A877|TRPA_ECOLI","-1.27066992186874","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AC41|SDHA_ECOLI","sp|P0AC41|SDHA_ECOLI","-1.67260029899814","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AFH8|OSMY_ECOLI","sp|P0AFH8|OSMY_ECOLI","-1.87250697929001","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68066|GRCA_ECOLI","sp|P68066|GRCA_ECOLI","-1.26956911489399","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P76402|YEGP_ECOLI","sp|P76402|YEGP_ECOLI","-1.61128460690688","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68919|RL25_ECOLI","sp|P68919|RL25_ECOLI","-1.84616387264618","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AEE5|MGLB_ECOLI","sp|P0AEE5|MGLB_ECOLI","-1.91141363868494","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABB4|ATPB_ECOLI","sp|P0ABB4|ATPB_ECOLI","-1.66180801259872","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AEW9|K1PF_ECOLI","sp|P0AEW9|K1PF_ECOLI","-1.23537255759484","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AE08|AHPC_ECOLI","sp|P0AE08|AHPC_ECOLI","-1.69505147937341","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P13029|KATG_ECOLI","sp|P13029|KATG_ECOLI","-1.62390847223193","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P37330|MASZ_ECOLI","sp|P37330|MASZ_ECOLI","-1.47287955247862","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00350|6PGD_ECOLI","sp|P00350|6PGD_ECOLI","-1.59951878193544","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00363|FRDA_ECOLI","sp|P00363|FRDA_ECOLI","-1.21478850674998","0","0","conditionB-conditionA","ECOLI","1","2"
