"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P0A6M8|EFG_ECOLI",1.80261734708484,11.5538694503838,128.866163162151,6.796070591358e-28,7.69383151647639e-24,53.697959764947,"conditionB-conditionA","sp|P0A6M8|EFG_ECOLI","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI",1.57461279570283,11.2072587733043,107.236386638181,1.78263912966055e-26,1.00906287934435e-22,50.7680700552106,"conditionB-conditionA","sp|P0A6Y8|DNAK_ECOLI","ECOLI","1","2"
"sp|P0AC33|FUMA_ECOLI",1.66288698051658,10.7947167057036,103.696060300743,3.2375971202047e-26,1.22176123326125e-22,50.2164219053536,"conditionB-conditionA","sp|P0AC33|FUMA_ECOLI","ECOLI","1","2"
"sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI",1.70714542844918,13.216650746554,99.322328907991,6.96385698992052e-26,1.5333126950653e-22,49.5018392912028,"conditionB-conditionA","sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI","ECOLI","1","2"
"sp|P02925|RBSB_ECOLI",1.83445223920445,13.3711519186439,99.1579972235547,7.17183462331171e-26,1.5333126950653e-22,49.474241969123,"conditionB-conditionA","sp|P02925|RBSB_ECOLI","ECOLI","1","2"
"sp|Q46938|KDUI_ECOLI",1.71142066919921,11.8673673617768,98.4632412959254,8.12638121225317e-26,1.5333126950653e-22,49.3569477846043,"conditionB-conditionA","sp|Q46938|KDUI_ECOLI","ECOLI","1","2"
"sp|P0A7D4|PURA_ECOLI",1.80194826602251,11.4354553119733,94.7858773508495,1.59824325816392e-25,2.30096288037095e-22,48.7189310583356,"conditionB-conditionA","sp|P0A7D4|PURA_ECOLI","ECOLI","1","2"
"sp|P0A6P9|ENO_ECOLI",1.85259393888548,11.9221825295543,94.1949050792749,1.78610098482761e-25,2.30096288037095e-22,48.613615195943,"conditionB-conditionA","sp|P0A6P9|ENO_ECOLI","ECOLI","1","2"
"sp|P0A9Q7|ADHE_ECOLI",1.67249899492083,11.1321266083129,94.0685121769398,1.82922585666801e-25,2.30096288037095e-22,48.5909880305362,"conditionB-conditionA","sp|P0A9Q7|ADHE_ECOLI","ECOLI","1","2"
"sp|P36683|ACNB_ECOLI",1.71217098739935,10.9808866294888,93.1229416268538,2.18889679163295e-25,2.42286228072458e-22,48.4205457230821,"conditionB-conditionA","sp|P36683|ACNB_ECOLI","ECOLI","1","2"
"sp|P0A6Z3|HTPG_ECOLI",1.57676628539079,10.6198572672411,92.7422236184572,2.35416350922802e-25,2.42286228072458e-22,48.351334471103,"conditionB-conditionA","sp|P0A6Z3|HTPG_ECOLI","ECOLI","1","2"
"sp|P00722|BGAL_ECOLI",1.62446079174538,10.8771041550148,88.6219713540806,5.27788207065399e-25,4.97924191015615e-22,47.5799831090895,"conditionB-conditionA","sp|P00722|BGAL_ECOLI","ECOLI","1","2"
"sp|P27550|ACSA_ECOLI",1.79846286190636,11.5227420852493,86.9502122461322,7.40243261601207e-25,6.44637997275943e-22,47.2548435714723,"conditionB-conditionA","sp|P27550|ACSA_ECOLI","ECOLI","1","2"
"sp|P0A6F3|GLPK_ECOLI",1.84210447717497,11.4490037077957,86.209261263134,8.61769552150229e-25,6.96863792849481e-22,47.10838341357,"conditionB-conditionA","sp|P0A6F3|GLPK_ECOLI","ECOLI","1","2"
"sp|P0A853|TNAA_ECOLI",1.58998778449652,12.1140950671263,84.5007345958506,1.22968680309873e-24,9.1284759039941e-22,46.7649912682207,"conditionB-conditionA","sp|P0A853|TNAA_ECOLI","ECOLI","1","2"
"sp|P22259|PCKA_ECOLI",1.79548196882427,10.9941679329611,84.2727405989426,1.29012997494838e-24,9.1284759039941e-22,46.7185566331642,"conditionB-conditionA","sp|P22259|PCKA_ECOLI","ECOLI","1","2"
"sp|P69783|PTGA_ECOLI",1.79033919862994,11.6739339029278,83.8550888077011,1.40913741278012e-24,9.38402626475514e-22,46.6331155644474,"conditionB-conditionA","sp|P69783|PTGA_ECOLI","ECOLI","1","2"
"sp|P37685|ALDB_ECOLI",1.61811083417068,10.7755358539988,81.7662246452583,2.20548659497559e-24,1.34859901511123e-21,46.1982622120886,"conditionB-conditionA","sp|P37685|ALDB_ECOLI","ECOLI","1","2"
"sp|P09394|GLPQ_ECOLI",1.76082786764798,11.4676558462168,81.6470607079821,2.26334964111946e-24,1.34859901511123e-21,46.1730692876268,"conditionB-conditionA","sp|P09394|GLPQ_ECOLI","ECOLI","1","2"
"sp|P77674|ABDH_ECOLI",1.83225792950841,11.1492455641699,80.8513423028498,2.69324824952353e-24,1.52451317164279e-21,46.0037511570997,"conditionB-conditionA","sp|P77674|ABDH_ECOLI","ECOLI","1","2"
"sp|P0AEM9|TCYJ_ECOLI",1.71282756350399,11.267888817086,80.5813311779185,2.85806650298689e-24,1.54077004191974e-21,45.9458607529615,"conditionB-conditionA","sp|P0AEM9|TCYJ_ECOLI","ECOLI","1","2"
"sp|P0AEX9|MALE_ECOLI",1.81693393773162,11.7183228473794,79.1439837757273,3.93418984481537e-24,2.02449832877976e-21,45.6339041544708,"conditionB-conditionA","sp|P0AEX9|MALE_ECOLI","ECOLI","1","2"
"sp|P0A7Z4|RPOA_ECOLI",1.72240991307445,10.8113295735538,78.4552263657449,4.59461570307213e-24,2.26154975541215e-21,45.4821144190639,"conditionB-conditionA","sp|P0A7Z4|RPOA_ECOLI","ECOLI","1","2"
"sp|P76015|DHAK_ECOLI",1.61696745534701,10.1339924899781,78.0357822517147,5.05335786812044e-24,2.38371101770798e-21,45.3889300441276,"conditionB-conditionA","sp|P76015|DHAK_ECOLI","ECOLI","1","2"
"sp|P15288|PEPD_ECOLI",1.65226339419317,10.3049600992042,76.5116564921504,7.17209087504298e-24,3.24780963185446e-21,45.045468406706,"conditionB-conditionA","sp|P15288|PEPD_ECOLI","ECOLI","1","2"
"sp|P23857|PSPE_ECOLI",1.89488256144817,10.6299128547213,76.1572453298104,7.78821195751542e-24,3.39116721427046e-21,44.9644890169384,"conditionB-conditionA","sp|P23857|PSPE_ECOLI","ECOLI","1","2"
"sp|P15640|PUR2_ECOLI",1.67215405965898,10.6377847775159,74.664277322326,1.10675923241243e-23,4.64060047042263e-21,44.6186202794814,"conditionB-conditionA","sp|P15640|PUR2_ECOLI","ECOLI","1","2"
"sp|P0AG80|UGPB_ECOLI",1.5770392555489,10.4378522646143,74.2876434290596,1.21068981302356e-23,4.89507834758561e-21,44.5301342625057,"conditionB-conditionA","sp|P0AG80|UGPB_ECOLI","ECOLI","1","2"
"sp|P13029|KATG_ECOLI",1.62390847223193,10.6909161219217,73.2394945995799,1.55795125123616e-23,6.08191935008433e-21,44.2812027115327,"conditionB-conditionA","sp|P13029|KATG_ECOLI","ECOLI","1","2"
"sp|P0A825|GLYA_ECOLI",1.9018480551759,11.1024923055563,72.8861459324939,1.69756565031342e-23,6.40604690906609e-21,44.196381189068,"conditionB-conditionA","sp|P0A825|GLYA_ECOLI","ECOLI","1","2"
"sp|P37330|MASZ_ECOLI",1.47287955247862,11.0349743416901,71.4771495366007,2.4002729644076e-23,8.34161783852865e-21,43.8535139858691,"conditionB-conditionA","sp|P37330|MASZ_ECOLI","ECOLI","1","2"
"sp|P27302|TKT1_ECOLI",1.74012599638888,10.8955677122411,71.3660053864852,2.46747193687179e-23,8.34161783852865e-21,43.8261472967448,"conditionB-conditionA","sp|P27302|TKT1_ECOLI","ECOLI","1","2"
"sp|P0A9B2|G3P1_ECOLI",1.59199232751061,11.184812948218,71.2758613894206,2.52343249125119e-23,8.34161783852865e-21,43.8039164782827,"conditionB-conditionA","sp|P0A9B2|G3P1_ECOLI","ECOLI","1","2"
"sp|P0A9G6|ACEA_ECOLI",1.68704631763482,10.6235100428855,71.1980526486471,2.57281322631789e-23,8.34161783852865e-21,43.7847024910905,"conditionB-conditionA","sp|P0A9G6|ACEA_ECOLI","ECOLI","1","2"
"sp|P04825|AMPN_ECOLI",1.4108856873334,10.3353866497793,71.1885799667873,2.57889430570182e-23,8.34161783852865e-21,43.7823617213591,"conditionB-conditionA","sp|P04825|AMPN_ECOLI","ECOLI","1","2"
"sp|P07913|TDH_ECOLI",1.65196497542077,10.569297322114,70.5646627696479,3.01483736887068e-23,9.34389883124288e-21,43.6274183947769,"conditionB-conditionA","sp|P07913|TDH_ECOLI","ECOLI","1","2"
"sp|P0A6A3|ACKA_ECOLI",1.6776893430349,10.2165140152727,70.4600342508928,3.09525956608943e-23,9.34389883124288e-21,43.6012857249515,"conditionB-conditionA","sp|P0A6A3|ACKA_ECOLI","ECOLI","1","2"
"sp|P0AG67|RS1_ECOLI",1.75812813961086,11.2957846172571,70.4076565570263,3.13636741972643e-23,9.34389883124288e-21,43.5881873297337,"conditionB-conditionA","sp|P0AG67|RS1_ECOLI","ECOLI","1","2"
"sp|P0AEQ3|GLNH_ECOLI",1.7616438396582,11.5043779228284,69.8886874182471,3.57626303557877e-23,1.03812496989198e-20,43.4578174196437,"conditionB-conditionA","sp|P0AEQ3|GLNH_ECOLI","ECOLI","1","2"
"sp|P21367|YCAC_ECOLI",1.71338117584628,10.5525422897323,69.3258971788425,4.12783433473239e-23,1.16828031258763e-20,43.3152189297819,"conditionB-conditionA","sp|P21367|YCAC_ECOLI","ECOLI","1","2"
"sp|P0A7W1|RS5_ECOLI",1.93264854232378,12.8308173928826,69.0021643050851,4.48520966535182e-23,1.23846484442556e-20,43.2326095876502,"conditionB-conditionA","sp|P0A7W1|RS5_ECOLI","ECOLI","1","2"
"sp|P0AFG3|ODO1_ECOLI",1.58688328428267,10.3201372886415,68.4594648567067,5.15955648070872e-23,1.39074616471675e-20,43.0931577250065,"conditionB-conditionA","sp|P0AFG3|ODO1_ECOLI","ECOLI","1","2"
"sp|P0AA04|PTHP_ECOLI",1.67176576040288,11.6780060130371,68.2467458258084,5.45238028543623e-23,1.42664294754687e-20,43.0381636905153,"conditionB-conditionA","sp|P0AA04|PTHP_ECOLI","ECOLI","1","2"
"sp|P33195|GCSP_ECOLI",1.58116379323052,10.6498105345021,68.1169023129701,5.63970248769392e-23,1.42664294754687e-20,43.0045022175842,"conditionB-conditionA","sp|P33195|GCSP_ECOLI","ECOLI","1","2"
"sp|P0AE08|AHPC_ECOLI",1.69505147937341,11.2097635237335,68.0957999377886,5.67078284953707e-23,1.42664294754687e-20,42.9990248070767,"conditionB-conditionA","sp|P0AE08|AHPC_ECOLI","ECOLI","1","2"
"sp|P0ABT2|DPS_ECOLI",1.76874719446301,11.0997075238641,68.0010355408356,5.81260190170124e-23,1.43053187237304e-20,42.9744042819139,"conditionB-conditionA","sp|P0ABT2|DPS_ECOLI","ECOLI","1","2"
"sp|Q46845|YGHU_ECOLI",1.83598846624865,10.4861632481585,67.7591355444765,6.19186799592329e-23,1.48504976603176e-20,42.911384673864,"conditionB-conditionA","sp|Q46845|YGHU_ECOLI","ECOLI","1","2"
"sp|P25553|ALDA_ECOLI",1.84672350271913,11.7213827179352,67.6888826866753,6.30684707614257e-23,1.48504976603176e-20,42.8930359291127,"conditionB-conditionA","sp|P25553|ALDA_ECOLI","ECOLI","1","2"
"sp|P22256|GABT_ECOLI",1.63012730625713,10.7522855722425,67.6165129768945,6.42765113819945e-23,1.48504976603176e-20,42.8741123265992,"conditionB-conditionA","sp|P22256|GABT_ECOLI","ECOLI","1","2"
"sp|P0A6K6|DEOB_ECOLI",1.56816376811945,10.610530232568,67.4750131021137,6.67096649488321e-23,1.51044023377146e-20,42.8370476118774,"conditionB-conditionA","sp|P0A6K6|DEOB_ECOLI","ECOLI","1","2"
