"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P0A6M8|EFG_ECOLI",1.78705684693733,20.3531210846454,102.554784727489,4.46070725826071e-26,5.04372169691539e-22,49.6351223966982,"conditionB-conditionA","sp|P0A6M8|EFG_ECOLI","ECOLI","1","2"
"sp|P0A853|TNAA_ECOLI",1.67975475629859,22.5049644180716,94.2372628256515,1.99767690469659e-25,9.48904616482716e-22,48.2882095102652,"conditionB-conditionA","sp|P0A853|TNAA_ECOLI","ECOLI","1","2"
"sp|P0ABH7|CISY_ECOLI",1.82558054355511,18.7648125419262,93.0151185438034,2.51765618594512e-25,9.48904616482716e-22,48.077428403141,"conditionB-conditionA","sp|P0ABH7|CISY_ECOLI","ECOLI","1","2"
"sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI",1.77386824749538,21.7278961275431,82.1508623506317,2.27352615994247e-24,6.42669007261738e-21,46.0370608086808,"conditionB-conditionA","sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI",1.69695719695143,21.1196325308818,79.0684114687319,4.47567057651085e-24,1.01212814417216e-20,45.3972578107641,"conditionB-conditionA","sp|P0A6Y8|DNAK_ECOLI","ECOLI","1","2"
"sp|P43672|UUP_ECOLI",3.35325267366347,12.8267481408652,76.5034127318252,8.02537299186304e-24,1.51238154031659e-20,44.8416338169193,"conditionB-conditionA","sp|P43672|UUP_ECOLI","ECOLI","1","2"
"sp|P0AFG3|ODO1_ECOLI",1.72201098095167,18.4926776624666,73.3133933140961,1.70582172520206e-23,2.57072202868698e-20,44.1190059899594,"conditionB-conditionA","sp|P0AFG3|ODO1_ECOLI","ECOLI","1","2"
"sp|P0AB71|ALF_ECOLI",1.63967039003361,18.208976941596,72.2602354068261,2.20374544300378e-23,2.57072202868698e-20,43.8722931665375,"conditionB-conditionA","sp|P0AB71|ALF_ECOLI","ECOLI","1","2"
"sp|P08200|IDH_ECOLI",1.73716526013853,19.3524062872524,72.0669074499693,2.31075740534778e-23,2.57072202868698e-20,43.8265481655541,"conditionB-conditionA","sp|P08200|IDH_ECOLI","ECOLI","1","2"
"sp|P0A6P9|ENO_ECOLI",1.83886546864268,19.4621828094631,71.7877316968062,2.47507682975409e-23,2.57072202868698e-20,43.7602370501002,"conditionB-conditionA","sp|P0A6P9|ENO_ECOLI","ECOLI","1","2"
