"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|Q96GZ6|S41A3_HUMAN1",-1.32751043980813,6.53328499117993,-19.1271361393049,1.30404044953449e-06,0.00110725807842982,6.17523615267943,"conditionD-conditionB","sp|Q96GZ6|S41A3_HUMAN","HUMAN","0","0"
"sp|Q12230|LSP1_YEAST1",0.558081420599175,9.59774936515499,17.4889184398134,2.21463621008668e-06,0.00110725807842982,5.72524285725761,"conditionD-conditionB","sp|Q12230|LSP1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST1",0.540021887510834,11.0025280861952,15.8588003532409,3.94314306725054e-06,0.00110725807842982,5.21208640587208,"conditionD-conditionB","sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST1",0.529918302943836,11.1417135260441,15.8550204289637,3.94867860412494e-06,0.00110725807842982,5.21081118246448,"conditionD-conditionB","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","YEAST","1","0.584962500721156"
"sp|P23254|TKT1_YEAST1",0.52167650094569,9.47479294127863,15.6448996992637,4.27110464401662e-06,0.00110725807842982,5.13925811611254,"conditionD-conditionB","sp|P23254|TKT1_YEAST","YEAST","1","0.584962500721156"
"sp|P39007|STT3_YEAST1",0.668124316189771,8.07857104045228,15.517895106799,4.48082379897489e-06,0.00110725807842982,5.09536676453544,"conditionD-conditionB","sp|P39007|STT3_YEAST","YEAST","1","0.584962500721156"
"sp|P38248|ECM33_YEAST1",0.519981572465602,11.5724274470723,15.4063103679386,4.67501583312637e-06,0.00110725807842982,5.05639809015037,"conditionD-conditionB","sp|P38248|ECM33_YEAST","YEAST","1","0.584962500721156"
"sp|P38788|SSZ1_YEAST1",0.490509534251629,8.94029735472589,15.2593768406362,4.94585008783375e-06,0.00110725807842982,5.00449615311153,"conditionD-conditionB","sp|P38788|SSZ1_YEAST","YEAST","1","0.584962500721156"
"sp|Q03558|OYE2_YEAST1",0.537747582559104,10.2859194303637,15.0301131576327,5.4057563158115e-06,0.00110725807842982,4.92215041626427,"conditionD-conditionB","sp|Q03558|OYE2_YEAST","YEAST","1","0.584962500721156"
"sp|P05030|PMA1_YEAST1",0.497226897945067,10.8515841516856,14.9745523688435,5.52458156486874e-06,0.00110725807842982,4.90194018106741,"conditionD-conditionB","sp|P05030|PMA1_YEAST","YEAST","1","0.584962500721156"
