"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P54837|TMEDA_YEAST",3.41443555715159,8.26339653368529,77.0674140813537,5.07001466158888e-10,3.23264134822907e-06,7.61361990498026,"conditionC-conditionB","sp|P54837|TMEDA_YEAST","YEAST","1","0.321928094887362"
"sp|P54837|TMEDA_YEAST1",3.62585656713781,8.3691070386784,69.9801013268534,1.0169023668748e-09,6.48376949119372e-06,9.71298443292833,"conditionD-conditionB","sp|P54837|TMEDA_YEAST","YEAST","1","0.584962500721156"
"sp|Q9HCE7|SMUF1_HUMAN",-3.48013863342078,8.25706710396713,-57.3875460510839,2.83921432037906e-09,9.05141525336845e-06,7.44285338703824,"conditionC-conditionB","sp|Q9HCE7|SMUF1_HUMAN","HUMAN","0","0"
"sp|Q12230|LSP1_YEAST1",0.558081420599175,9.59774936515499,18.2420222738096,2.39323138348322e-06,0.00124644549414525,5.68604765326667,"conditionD-conditionB","sp|Q12230|LSP1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST1",0.529918302943836,11.1417135260441,16.4463638005386,4.32398841999198e-06,0.00124644549414525,5.15761844492732,"conditionD-conditionB","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST1",0.540021887510834,11.0025280861952,16.4161787468675,4.36948901187335e-06,0.00124644549414525,5.14804586720716,"conditionD-conditionB","sp|P0CX37|RS6A_YEAST;sp|P0CX38|RS6B_YEAST","YEAST","1","0.584962500721156"
"sp|P23254|TKT1_YEAST1",0.52167650094569,9.47479294127863,16.2327213606741,4.65838403212996e-06,0.00124644549414525,5.08933858675059,"conditionD-conditionB","sp|P23254|TKT1_YEAST","YEAST","1","0.584962500721156"
"sp|P38248|ECM33_YEAST1",0.519981572465602,11.5724274470723,15.9633631253757,5.12403243101627e-06,0.00124644549414525,5.00147095513238,"conditionD-conditionB","sp|P38248|ECM33_YEAST","YEAST","1","0.584962500721156"
"sp|P38788|SSZ1_YEAST1",0.490509534251629,8.94029735472589,15.9019297854714,5.23772545817446e-06,0.00124644549414525,4.98114674312851,"conditionD-conditionB","sp|P38788|SSZ1_YEAST","YEAST","1","0.584962500721156"
"sp|P39007|STT3_YEAST1",0.668124316189771,8.07857104045228,15.7451414141264,5.54151359795409e-06,0.00124644549414525,4.92878881553749,"conditionD-conditionB","sp|P39007|STT3_YEAST","YEAST","1","0.584962500721156"
"sp|P05030|PMA1_YEAST1",0.497226897945067,10.8515841516856,15.5446920823957,5.96040600928893e-06,0.00124644549414525,4.86081482994283,"conditionD-conditionB","sp|P05030|PMA1_YEAST","YEAST","1","0.584962500721156"
"sp|P46655|SYEC_YEAST1",0.48470233721933,9.23914421061148,15.5167464362361,6.02169893901008e-06,0.00124644549414525,4.85124452284695,"conditionD-conditionB","sp|P46655|SYEC_YEAST","YEAST","1","0.584962500721156"
"sp|Q03558|OYE2_YEAST1",0.537747582559104,10.2859194303637,15.4791288084797,6.10537234933985e-06,0.00124644549414525,4.83832534854555,"conditionD-conditionB","sp|Q03558|OYE2_YEAST","YEAST","1","0.584962500721156"
"sp|P19882|HSP60_YEAST1",0.520243002964451,10.1496511127692,15.4606430823178,6.14698792520597e-06,0.00124644549414525,4.83196128568466,"conditionD-conditionB","sp|P19882|HSP60_YEAST","YEAST","1","0.584962500721156"
"sp|P28777|AROC_YEAST1",0.514848930467846,8.99795821767067,15.4435526062589,6.18575766124436e-06,0.00124644549414525,4.82606848952546,"conditionD-conditionB","sp|P28777|AROC_YEAST","YEAST","1","0.584962500721156"
"sp|P53252|PIL1_YEAST1",0.470661107221749,9.29235669177669,15.1107409163584,7.00086026144056e-06,0.00124644549414525,4.70955169917662,"conditionD-conditionB","sp|P53252|PIL1_YEAST","YEAST","1","0.584962500721156"
"sp|P15108|HSC82_YEAST1",0.475170835703,11.3941609742173,15.1043869680209,7.0176021170526e-06,0.00124644549414525,4.70729410204072,"conditionD-conditionB","sp|P15108|HSC82_YEAST","YEAST","1","0.584962500721156"
"sp|P22943|HSP12_YEAST1",0.487462606296603,10.4207253093836,15.1001273195807,7.02885195056015e-06,0.00124644549414525,4.70577991897832,"conditionD-conditionB","sp|P22943|HSP12_YEAST","YEAST","1","0.584962500721156"
"sp|P38910|CH10_YEAST1",0.506086176827033,11.7017354917465,15.0871225854653,7.06332836764428e-06,0.00124644549414525,4.70115361076756,"conditionD-conditionB","sp|P38910|CH10_YEAST","YEAST","1","0.584962500721156"
"sp|P32324|EF2_YEAST1",0.486025994582901,10.8822598072419,15.0611120244726,7.13287871621539e-06,0.00124644549414525,4.69188476971765,"conditionD-conditionB","sp|P32324|EF2_YEAST","YEAST","1","0.584962500721156"
"sp|P36010|NDK_YEAST1",0.538889110404792,9.2164183379925,15.0069223652168,7.28036465300071e-06,0.00124644549414525,4.67250626153197,"conditionD-conditionB","sp|P36010|NDK_YEAST","YEAST","1","0.584962500721156"
"sp|P05739|RL6B_YEAST1",0.573739556425068,9.71313123853417,14.9344359237525,7.48325603087195e-06,0.00124644549414525,4.6464400349341,"conditionD-conditionB","sp|P05739|RL6B_YEAST","YEAST","1","0.584962500721156"
"sp|P54839|ERG13_YEAST1",0.481634149531446,8.61176286145055,14.8901768931947,7.61038611392975e-06,0.00124644549414525,4.63044244867151,"conditionD-conditionB","sp|P54839|ERG13_YEAST","YEAST","1","0.584962500721156"
"sp|P16521|EF3A_YEAST1",0.547344885633338,10.3733480989814,14.8131440521206,7.83772531716622e-06,0.00124644549414525,4.60244926364241,"conditionD-conditionB","sp|P16521|EF3A_YEAST","YEAST","1","0.584962500721156"
"sp|P38708|YHI0_YEAST1",0.497483593315266,8.17255198402617,14.7993195691862,7.87935895127186e-06,0.00124644549414525,4.59740535408902,"conditionD-conditionB","sp|P38708|YHI0_YEAST","YEAST","1","0.584962500721156"
"sp|P25373|GLRX1_YEAST1",0.621143576872413,9.00081073683785,14.7937282077906,7.89627117040072e-06,0.00124644549414525,4.59536357502815,"conditionD-conditionB","sp|P25373|GLRX1_YEAST","YEAST","1","0.584962500721156"
"sp|P32589|HSP7F_YEAST1",0.485303098232,9.58049385449855,14.7201675705242,8.12276741409186e-06,0.00124644549414525,4.56840736938603,"conditionD-conditionB","sp|P32589|HSP7F_YEAST","YEAST","1","0.584962500721156"
"sp|P41921|GSHR_YEAST1",0.631883899645409,8.50011362844518,14.6615739838009,8.30862236952213e-06,0.00124644549414525,4.54680970056674,"conditionD-conditionB","sp|P41921|GSHR_YEAST","YEAST","1","0.584962500721156"
"sp|P38088|SYG_YEAST1",0.46242322214886,9.21305903663527,14.6305464329574,8.40904973388975e-06,0.00124644549414525,4.53532731711842,"conditionD-conditionB","sp|P38088|SYG_YEAST","YEAST","1","0.584962500721156"
"sp|P10664|RL4A_YEAST1",0.508095439414777,10.0555056564983,14.596065306775,8.52232336649482e-06,0.00124644549414525,4.52252964806547,"conditionD-conditionB","sp|P10664|RL4A_YEAST","YEAST","1","0.584962500721156"
"sp|P22803|TRX2_YEAST1",0.526462338733101,13.2497236646288,14.5434549131041,8.69860664691241e-06,0.00124644549414525,4.50292744266813,"conditionD-conditionB","sp|P22803|TRX2_YEAST","YEAST","1","0.584962500721156"
"sp|P40150|SSB2_YEAST1",0.511238336273635,11.669152547786,14.5098445864474,8.81345608102319e-06,0.00124644549414525,4.49035629423831,"conditionD-conditionB","sp|P40150|SSB2_YEAST","YEAST","1","0.584962500721156"
"sp|P14540|ALF_YEAST1",0.502113321386767,12.1859758898207,14.4680546632627,8.95873542900768e-06,0.00124644549414525,4.47467306372555,"conditionD-conditionB","sp|P14540|ALF_YEAST","YEAST","1","0.584962500721156"
"sp|P23248|RS3A2_YEAST1",0.474724478753867,10.3604720289458,14.3994991854752,9.20316727268239e-06,0.00124644549414525,4.44881780001252,"conditionD-conditionB","sp|P23248|RS3A2_YEAST","YEAST","1","0.584962500721156"
"sp|P0CS90|HSP77_YEAST1",0.480724375597495,10.2001089701388,14.3919225891143,9.23065644618771e-06,0.00124644549414525,4.44595058438285,"conditionD-conditionB","sp|P0CS90|HSP77_YEAST","YEAST","1","0.584962500721156"
"sp|P53184|PNC1_YEAST1",0.566668453097941,8.8035651527259,14.3431430398385,9.40995126388303e-06,0.00124644549414525,4.42744420584697,"conditionD-conditionB","sp|P53184|PNC1_YEAST","YEAST","1","0.584962500721156"
"sp|P00330|ADH1_YEAST1",0.466909148075366,13.1983666107069,14.3189985664094,9.5002004641044e-06,0.00124644549414525,4.41825406748356,"conditionD-conditionB","sp|P00330|ADH1_YEAST","YEAST","1","0.584962500721156"
"sp|P16140|VATB_YEAST1",0.509336347012871,9.89041975511767,14.3080399019011,9.54149600460544e-06,0.00124644549414525,4.41407627858666,"conditionD-conditionB","sp|P16140|VATB_YEAST","YEAST","1","0.584962500721156"
"sp|P00549|KPYK1_YEAST1",0.503952414840001,11.6511967140179,14.2780388209076,9.65562620687904e-06,0.00124644549414525,4.40261784394743,"conditionD-conditionB","sp|P00549|KPYK1_YEAST","YEAST","1","0.584962500721156"
