"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|O75467|Z324A_HUMAN;sp|Q6AW86|Z324B_HUMAN1",6.9399988978227,12.7169998182013,144.218391900147,4.28436892011427e-11,2.69283727347744e-07,10.7822539842225,"conditionD-conditionB","sp|O75467|Z324A_HUMAN;sp|Q6AW86|Z324B_HUMAN","HUMAN","0","0"
"sp|O75467|Z324A_HUMAN;sp|Q6AW86|Z324B_HUMAN",6.9871499823139,12.7405753604469,135.495152806295,6.04012799428597e-11,3.97078014344359e-07,8.78825312137958,"conditionC-conditionB","sp|O75467|Z324A_HUMAN;sp|Q6AW86|Z324B_HUMAN","HUMAN","0","0"
"sp|Q9UKA9|PTBP2_HUMAN1",-7.18804269407505,12.8896979564409,-128.250666014098,8.1923859856326e-11,2.69283727347744e-07,10.7223458835017,"conditionD-conditionB","sp|Q9UKA9|PTBP2_HUMAN","HUMAN","0","0"
"sp|Q6PIS1|S23A3_HUMAN",-5.05835532042335,11.7535335039513,-88.179596063782,6.4794567089953e-10,2.12979742024676e-06,8.62306485452876,"conditionC-conditionB","sp|Q6PIS1|S23A3_HUMAN","HUMAN","0","0"
"sp|Q9HCE7|SMUF1_HUMAN",-4.23103802502293,11.3398748562511,-70.5650679209578,2.21782374382166e-09,4.85999109729453e-06,8.46993198870873,"conditionC-conditionB","sp|Q9HCE7|SMUF1_HUMAN","HUMAN","0","0"
"sp|Q6F5E8|CARL2_HUMAN1",3.82578791103032,11.1598943248051,62.4546005774521,4.35561838306919e-09,9.54461175009895e-06,9.91824954233775,"conditionD-conditionB","sp|Q6F5E8|CARL2_HUMAN","HUMAN","0","0"
"sp|Q5SZB4|CI050_HUMAN1",3.39215913489471,10.9430799367373,45.6697296834521,2.44858339499118e-08,4.02424680966801e-05,9.19392229811228,"conditionD-conditionB","sp|Q5SZB4|CI050_HUMAN","HUMAN","0","0"
"sp|P35247|SFTPD_HUMAN1",1.75806743615493,10.1260340873674,26.3235936057875,5.07711028632965e-07,0.000667538460446622,7.17886952825587,"conditionD-conditionB","sp|P35247|SFTPD_HUMAN","HUMAN","0","0"
"sp|P35247|SFTPD_HUMAN2",1.78071196170521,10.1147118245923,24.3210452168994,7.89179837834615e-07,0.00518806825392476,4.37814701672405,"conditionD-conditionC","sp|P35247|SFTPD_HUMAN","HUMAN","0","0"
"sp|P33328|SNC2_YEAST2",3.22090866401578,10.8348101757475,20.1627944511968,2.20027078544604e-06,0.00723229007176113,4.03929321243999,"conditionD-conditionC","sp|P33328|SNC2_YEAST","YEAST","1","0.263034405833794"
"sp|Q8WWZ8|OIT3_HUMAN",-1.65678459181103,10.0527481396452,-19.8175178550602,2.40097502117343e-06,0.00394600244729853,5.52039320945224,"conditionC-conditionB","sp|Q8WWZ8|OIT3_HUMAN","HUMAN","0","0"
"sp|P47018|MTC1_YEAST1",0.644714697278504,13.7263947388133,17.4050894668874,4.8738335302922e-06,0.00133489848588794,5.12840062183067,"conditionD-conditionB","sp|P47018|MTC1_YEAST","YEAST","1","0.584962500721156"
"sp|P10664|RL4A_YEAST1",0.606228381495292,18.5521967435617,17.1062662852059,5.35516501829869e-06,0.00133489848588794,5.03543206837201,"conditionD-conditionB","sp|P10664|RL4A_YEAST","YEAST","1","0.584962500721156"
"sp|P32621|GDA1_YEAST1",0.769613491288593,12.8854714124188,16.5769573438879,6.35258162148617e-06,0.00133489848588794,4.86556729638008,"conditionD-conditionB","sp|P32621|GDA1_YEAST","YEAST","1","0.584962500721156"
