"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P00934|THRC_ECOLI","conditionB-conditionA",101.316260975208,0,0.858040439624878,0,"ECOLI","1","1"
"2","sp|P0ADY3|RL14_ECOLI","conditionB-conditionA",122.113669577894,0,1.18161691874725,0,"ECOLI","1","1"
"3","sp|P0A6L9|HSCB_ECOLI","conditionB-conditionA",126.615360953724,0,1.01884541663416,0,"ECOLI","1","1"
"4","sp|P0A7W1|RS5_ECOLI","conditionB-conditionA",111.348411278927,0,0.936536057706636,0,"ECOLI","1","1"
"5","sp|P0A8T7|RPOC_ECOLI","conditionB-conditionA",115.548630476639,0,0.86550223874244,0,"ECOLI","1","1"
"6","sp|P0AC38|ASPA_ECOLI","conditionB-conditionA",113.731255133623,0,0.926272786663342,0,"ECOLI","1","1"
"7","sp|P0ADI4|ENTB_ECOLI","conditionB-conditionA",109.306964001083,0,0.9877745646028,0,"ECOLI","1","1"
"8","sp|P0A9P4|TRXB_ECOLI","conditionB-conditionA",107.62781405325,0,0.881500599987575,0,"ECOLI","1","1"
"9","sp|P0A7D4|PURA_ECOLI","conditionB-conditionA",103.595166103357,0,1.0021486931648,0,"ECOLI","1","1"
"10","sp|P0AFG3|ODO1_ECOLI","conditionB-conditionA",117.077834117011,0,0.965677342469089,0,"ECOLI","1","1"
"11","sp|P0ADG7|IMDH_ECOLI","conditionB-conditionA",116.55412582269,0,0.958364612689049,0,"ECOLI","1","1"
"12","sp|P61889|MDH_ECOLI","conditionB-conditionA",94.8806461386803,0,0.736121806424286,0,"ECOLI","1","1"
"13","sp|P09832|GLTD_ECOLI","conditionB-conditionA",97.352227089079,0,0.803164040683832,0,"ECOLI","1","1"
"14","sp|P0A862|TPX_ECOLI","conditionB-conditionA",108.018661013982,0,0.748449584327734,0,"ECOLI","1","1"
"15","sp|P06959|ODP2_ECOLI","conditionB-conditionA",97.7040839245521,0,0.870458045955292,0,"ECOLI","1","1"
"16","sp|P0A8M6|YEEX_ECOLI","conditionB-conditionA",121.970664867903,0,1.16977414739074,0,"ECOLI","1","1"
"17","sp|P21599|KPYK2_ECOLI","conditionB-conditionA",106.227804473199,0,0.942351764675951,0,"ECOLI","1","1"
"18","sp|P37689|GPMI_ECOLI","conditionB-conditionA",108.817261709171,0,0.963726890355812,0,"ECOLI","1","1"
"19","sp|P63284|CLPB_ECOLI","conditionB-conditionA",115.168946301452,0,0.824714868056752,0,"ECOLI","1","1"
"20","sp|P09372|GRPE_ECOLI","conditionB-conditionA",100.926293779487,0,0.93197243986598,0,"ECOLI","1","1"
"21","sp|P0A9P0|DLDH_ECOLI","conditionB-conditionA",113.096710609774,0,0.852221016629699,0,"ECOLI","1","1"
"22","sp|P0AG30|RHO_ECOLI","conditionB-conditionA",111.031558771379,0,0.863254285668361,0,"ECOLI","1","1"
"23","sp|P0A7J7|RL11_ECOLI","conditionB-conditionA",113.247998360477,0,0.91361682751997,0,"ECOLI","1","1"
"24","sp|P0ABB4|ATPB_ECOLI","conditionB-conditionA",113.859840435502,0,0.765832304468866,0,"ECOLI","1","1"
"25","sp|P08390|USG_ECOLI","conditionB-conditionA",116.495656343471,0,1.15715687451297,0,"ECOLI","1","1"
"26","sp|P0ABA4|ATPD_ECOLI","conditionB-conditionA",124.404930681538,0,1.15720119240067,0,"ECOLI","1","1"
"27","sp|P02925|RBSB_ECOLI","conditionB-conditionA",110.112066786257,0,0.896130798700764,0,"ECOLI","1","1"
"28","sp|P0A6F5|CH60_ECOLI","conditionB-conditionA",114.621712466162,0,0.822689371030775,0,"ECOLI","1","1"
"29","sp|P0AGD7|SRP54_ECOLI","conditionB-conditionA",111.272687557949,0,1.0554159291827,0,"ECOLI","1","1"
"30","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",91.1774148734902,0,0.746263999788761,0,"ECOLI","1","1"
"31","sp|P62707|GPMA_ECOLI","conditionB-conditionA",110.264589615921,0,0.993399902253014,0,"ECOLI","1","1"
"32","sp|P06971|FHUA_ECOLI","conditionB-conditionA",91.2502297837619,0,0.743353948875541,0,"ECOLI","1","1"
"33","sp|P39377|IADA_ECOLI","conditionB-conditionA",85.6494900945644,0,1.24612529048849,0,"ECOLI","1","1"
"34","sp|P0ACJ8|CRP_ECOLI","conditionB-conditionA",98.0399013864405,0,1.15953699290226,0,"ECOLI","1","1"
"35","sp|P23843|OPPA_ECOLI","conditionB-conditionA",106.855063446571,0,1.08701348808036,0,"ECOLI","1","1"
"36","sp|P05055|PNP_ECOLI","conditionB-conditionA",117.633151296818,0,0.915556879297871,0,"ECOLI","1","1"
