"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",321.206879578933,0,1.84097600087591,0,"ECOLI","1","2"
"2","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",220.664938686192,0,1.69695719695143,0,"ECOLI","1","2"
"3","sp|P0AC33|FUMA_ECOLI","conditionB-conditionA",295.340367034494,0,2.13363837925753,0,"ECOLI","1","2"
"4","sp|P02925|RBSB_ECOLI","conditionB-conditionA",275.486629547107,0,1.83445223920445,0,"ECOLI","1","2"
"5","sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI","conditionB-conditionA",298.572263770184,0,1.94063651049937,0,"ECOLI","1","2"
"6","sp|Q46938|KDUI_ECOLI","conditionB-conditionA",273.811197724277,0,2.13250166847803,0,"ECOLI","1","2"
"7","sp|P0A7D4|PURA_ECOLI","conditionB-conditionA",265.107357829199,0,2.00062147806148,0,"ECOLI","1","2"
"8","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",295.452413884376,0,2.07023083914738,0,"ECOLI","1","2"
"9","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",258.764277355128,0,1.86990522117024,0,"ECOLI","1","2"
"10","sp|P36683|ACNB_ECOLI","conditionB-conditionA",301.16324604114,0,1.83873595120708,0,"ECOLI","1","2"
"11","sp|P0A6Z3|HTPG_ECOLI","conditionB-conditionA",262.751774485712,0,1.78519195835216,0,"ECOLI","1","2"
"12","sp|P00722|BGAL_ECOLI","conditionB-conditionA",235.557769160166,0,1.70984286578871,0,"ECOLI","1","2"
"13","sp|P27550|ACSA_ECOLI","conditionB-conditionA",283.308081555058,0,1.79846286190636,0,"ECOLI","1","2"
"14","sp|P0A6F3|GLPK_ECOLI","conditionB-conditionA",290.318278691161,0,2.02363580264523,0,"ECOLI","1","2"
"15","sp|P22259|PCKA_ECOLI","conditionB-conditionA",276.356982263174,0,1.80967885557936,0,"ECOLI","1","2"
"16","sp|P69783|PTGA_ECOLI","conditionB-conditionA",292.536622349484,0,1.88303257148017,0,"ECOLI","1","2"
"17","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",294.9390547676,0,1.67975475629859,0,"ECOLI","1","2"
"18","sp|P09394|GLPQ_ECOLI","conditionB-conditionA",280.625800638785,0,1.94865815672841,0,"ECOLI","1","2"
"19","sp|P37685|ALDB_ECOLI","conditionB-conditionA",292.779806412536,0,1.95477361829217,0,"ECOLI","1","2"
"20","sp|P77674|ABDH_ECOLI","conditionB-conditionA",278.636044474153,0,1.85789469535428,0,"ECOLI","1","2"
"21","sp|P0AEM9|TCYJ_ECOLI","conditionB-conditionA",269.762490801481,0,1.76109472997004,0,"ECOLI","1","2"
"22","sp|P0AEX9|MALE_ECOLI","conditionB-conditionA",281.32971391563,0,1.89136325816493,0,"ECOLI","1","2"
"23","sp|P0A7Z4|RPOA_ECOLI","conditionB-conditionA",284.845479000647,0,1.92212867618019,0,"ECOLI","1","2"
"24","sp|P76015|DHAK_ECOLI","conditionB-conditionA",222.638437710405,0,1.61696745534701,0,"ECOLI","1","2"
"25","sp|P23857|PSPE_ECOLI","conditionB-conditionA",256.915358249232,0,1.9036641977802,0,"ECOLI","1","2"
"26","sp|P15288|PEPD_ECOLI","conditionB-conditionA",262.53933563652,0,1.67911981410714,0,"ECOLI","1","2"
"27","sp|P15640|PUR2_ECOLI","conditionB-conditionA",242.767185582258,0,1.86113173223395,0,"ECOLI","1","2"
"28","sp|P0AG80|UGPB_ECOLI","conditionB-conditionA",270.609869079277,0,1.96713540235759,0,"ECOLI","1","2"
"29","sp|P0A825|GLYA_ECOLI","conditionB-conditionA",273.751984402057,0,1.92010052805807,0,"ECOLI","1","2"
"30","sp|P13029|KATG_ECOLI","conditionB-conditionA",273.593006772757,0,1.66834612023569,0,"ECOLI","1","2"
"31","sp|P27302|TKT1_ECOLI","conditionB-conditionA",283.413238341374,0,1.87686054436595,0,"ECOLI","1","2"
"32","sp|P0A9G6|ACEA_ECOLI","conditionB-conditionA",268.74188870389,0,1.89577074160701,0,"ECOLI","1","2"
"33","sp|P0A9B2|G3P1_ECOLI","conditionB-conditionA",249.660260598921,0,1.68727899552133,0,"ECOLI","1","2"
"34","sp|P37330|MASZ_ECOLI","conditionB-conditionA",277.113510510197,0,1.80327193970591,0,"ECOLI","1","2"
"35","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",239.671459315212,0,1.8118989978657,0,"ECOLI","1","2"
"36","sp|P07913|TDH_ECOLI","conditionB-conditionA",235.236241008713,0,1.74895227136745,0,"ECOLI","1","2"
"37","sp|P0A6A3|ACKA_ECOLI","conditionB-conditionA",220.04561806384,0,1.78719869584041,0,"ECOLI","1","2"
"38","sp|P04825|AMPN_ECOLI","conditionB-conditionA",286.551501827688,0,1.88064258301515,0,"ECOLI","1","2"
"39","sp|P0AEQ3|GLNH_ECOLI","conditionB-conditionA",259.780318455579,0,1.92969183630091,0,"ECOLI","1","2"
"40","sp|P0A7W1|RS5_ECOLI","conditionB-conditionA",281.033615551303,0,1.94474864294315,0,"ECOLI","1","2"
"41","sp|P21367|YCAC_ECOLI","conditionB-conditionA",210.180639802424,0,1.71657415564239,0,"ECOLI","1","2"
"42","sp|P0AFG3|ODO1_ECOLI","conditionB-conditionA",240.13084025167,0,1.72201098095167,0,"ECOLI","1","2"
