"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|O75467|Z324A_HUMAN;sp|Q6AW86|Z324B_HUMAN","conditionC-conditionB",42.8074632482528,6.04012395655218e-11,6.9871499823139,4.10909632764245e-07,"HUMAN","0","0"
"2","sp|Q6PIS1|S23A3_HUMAN","conditionC-conditionB",38.1714190785849,6.47945697096475e-10,-5.05835532042335,2.20398728867366e-06,"HUMAN","0","0"
"3","sp|O43137|YB085_YEAST","conditionC-conditionB",43.225670139131,2.20391871419423e-09,0.476456198740845,4.99775300422112e-06,"YEAST","1","0.321928094887362"
"4","sp|Q03558|OYE2_YEAST","conditionC-conditionB",41.303726818997,5.63769153583138e-09,0.409375356980835,9.58830387956522e-06,"YEAST","1","0.321928094887362"
"5","sp|P46654|RSSA2_YEAST","conditionC-conditionB",38.6384951385813,2.07033418186953e-08,0.404495261099303,2.7109198748404e-05,"YEAST","1","0.321928094887362"
"6","sp|P14540|ALF_YEAST","conditionC-conditionB",37.915849185374,2.94483116780597e-08,0.350797343910575,2.7109198748404e-05,"YEAST","1","0.321928094887362"
"7","sp|P23254|TKT1_YEAST","conditionC-conditionB",37.8427228315288,3.05169367553759e-08,0.403702614316998,2.7109198748404e-05,"YEAST","1","0.321928094887362"
"8","sp|P06168|ILV5_YEAST","conditionC-conditionB",37.753130740872,3.1879110684585e-08,0.458106129820067,2.7109198748404e-05,"YEAST","1","0.321928094887362"
"9","sp|P02406|RL28_YEAST","conditionC-conditionB",36.9350162823128,4.74937590366764e-08,0.450071233904101,3.590000474739e-05,"YEAST","1","0.321928094887362"
"10","sp|Q9HCE7|SMUF1_HUMAN","conditionC-conditionB",36.6404652003999,5.48209354578333e-08,-4.23103802502293,3.67268588248068e-05,"HUMAN","0","0"
"11","sp|P11484|SSB1_YEAST","conditionC-conditionB",36.345274145989,6.32964005653491e-08,0.47542008702637,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"12","sp|P31539|HS104_YEAST","conditionC-conditionB",36.0506095325364,7.30612943478093e-08,0.612650829608967,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"13","sp|P05030|PMA1_YEAST","conditionC-conditionB",35.9416139289324,7.70427437402077e-08,0.352562412774164,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"14","sp|P16521|EF3A_YEAST","conditionC-conditionB",35.7059664772939,8.64066777017669e-08,0.389372338664,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"15","sp|P0CX39|RS8A_YEAST;sp|P0CX40|RS8B_YEAST","conditionC-conditionB",35.6915680508186,8.70143420650393e-08,0.321231239140035,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"16","sp|P04840|VDAC1_YEAST","conditionC-conditionB",35.6196450029795,9.01142411802169e-08,0.327040927809897,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"17","sp|P18239|ADT2_YEAST","conditionC-conditionB",35.4670035434517,9.70633030616952e-08,0.339833059687251,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"18","sp|P53141|MLC1_YEAST","conditionC-conditionB",35.4646341631571,9.71752842637841e-08,0.468524795190566,3.67268588248068e-05,"YEAST","1","0.321928094887362"
"19","sp|P26785|RL16B_YEAST","conditionC-conditionB",34.8089703332106,1.33687964365414e-07,0.362261998144405,4.6846892953539e-05,"YEAST","1","0.321928094887362"
"20","sp|P09457|ATPO_YEAST","conditionC-conditionB",34.7152957735733,1.39919872355065e-07,0.711608154065258,4.6846892953539e-05,"YEAST","1","0.321928094887362"
"21","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","conditionC-conditionB",34.6474978897013,1.44610429519965e-07,0.350271324153869,4.6846892953539e-05,"YEAST","1","0.321928094887362"
"22","sp|P05739|RL6B_YEAST","conditionC-conditionB",34.2586360455123,1.74710984457427e-07,0.49106808808142,5.32892605329752e-05,"YEAST","1","0.321928094887362"
"23","sp|Q05506|SYRC_YEAST","conditionC-conditionB",34.1623063580429,1.83087816352234e-07,0.469002507450767,5.32892605329752e-05,"YEAST","1","0.321928094887362"
"24","sp|Q12230|LSP1_YEAST","conditionC-conditionB",34.0713712747417,1.91363115353838e-07,0.361610355725052,5.32892605329752e-05,"YEAST","1","0.321928094887362"
