"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|P09651|ROA1_HUMAN","sp|P09651|ROA1_HUMAN","0.33730978801616","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q13509|TBB3_HUMAN","sp|Q13509|TBB3_HUMAN","0.504793780946086","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q6P2C0|WDR93_HUMAN","sp|Q6P2C0|WDR93_HUMAN","-1.03008476798072","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9NZL4|HPBP1_HUMAN","sp|Q9NZL4|HPBP1_HUMAN","0.271446100535854","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9NZQ8|TRPM5_HUMAN","sp|Q9NZQ8|TRPM5_HUMAN","-1.00568759355137","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|P00350|6PGD_ECOLI","sp|P00350|6PGD_ECOLI","-0.847735473268354","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00370|DHE4_ECOLI","sp|P00370|DHE4_ECOLI","-1.0591274985538","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00509|AAT_ECOLI","sp|P00509|AAT_ECOLI","-0.94295170359003","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00547|KHSE_ECOLI","sp|P00547|KHSE_ECOLI","-0.912122894678191","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00561|AK1H_ECOLI","sp|P00561|AK1H_ECOLI","-0.863182352946497","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00864|CAPP_ECOLI","sp|P00864|CAPP_ECOLI","-0.998170508168297","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00909|TRPC_ECOLI","sp|P00909|TRPC_ECOLI","-0.957420109443444","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00934|THRC_ECOLI","sp|P00934|THRC_ECOLI","-1.03030958800116","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00935|METB_ECOLI","sp|P00935|METB_ECOLI","-0.93316598560077","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00946|MANA_ECOLI","sp|P00946|MANA_ECOLI","-1.17970152241058","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00954|SYW_ECOLI","sp|P00954|SYW_ECOLI","-0.921872935950189","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00957|SYA_ECOLI","sp|P00957|SYA_ECOLI","-0.738928601875649","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00961|SYGB_ECOLI","sp|P00961|SYGB_ECOLI","-0.965226318296379","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00962|SYQ_ECOLI","sp|P00962|SYQ_ECOLI","-1.06346421202683","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00963|ASNA_ECOLI","sp|P00963|ASNA_ECOLI","-1.0606079022559","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P00968|CARB_ECOLI","sp|P00968|CARB_ECOLI","-0.901864876692791","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P02358|RS6_ECOLI","sp|P02358|RS6_ECOLI","-0.569179633939896","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P02359|RS7_ECOLI","sp|P02359|RS7_ECOLI","-0.983043786391555","0","0","conditionB-conditionA","ECOLI","1","1"
"sp|P02413|RL15_ECOLI","sp|P02413|RL15_ECOLI","-0.967348235256733","0","0","conditionB-conditionA","ECOLI","1","1"
