"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|Q13202|DUS8_HUMAN","sp|Q13202|DUS8_HUMAN","-2.174795451213","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q53HC0|CCD92_HUMAN","sp|Q53HC0|CCD92_HUMAN","0.923809895134299","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q5I0G3|MDH1B_HUMAN","sp|Q5I0G3|MDH1B_HUMAN","-2.00935648325537","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q8N443|RIBC1_HUMAN","sp|Q8N443|RIBC1_HUMAN","1.27767318757648","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UDX3|S14L4_HUMAN","sp|Q9UDX3|S14L4_HUMAN","-1.57235571812692","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UJC3|HOOK1_HUMAN","sp|Q9UJC3|HOOK1_HUMAN","1.02140489180033","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9Y4X4|KLF12_HUMAN","sp|Q9Y4X4|KLF12_HUMAN","0.949473910356575","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|O13547|CCW14_YEAST","sp|O13547|CCW14_YEAST","1.10450390713769","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00127|QCR6_YEAST","sp|P00127|QCR6_YEAST","0.92427025881239","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00445|SODC_YEAST","sp|P00445|SODC_YEAST","1.00268875646097","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00729|CBPY_YEAST","sp|P00729|CBPY_YEAST","0.884853317974221","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00931|TRP_YEAST","sp|P00931|TRP_YEAST","0.904916057255887","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00950|PMG1_YEAST","sp|P00950|PMG1_YEAST","0.822728081295015","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P01123|YPT1_YEAST","sp|P01123|YPT1_YEAST","0.927764732866008","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P03872|REP2_YEAST","sp|P03872|REP2_YEAST","1.02695483114272","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P04807|HXKB_YEAST","sp|P04807|HXKB_YEAST","0.852022874275686","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05317|RLA0_YEAST","sp|P05317|RLA0_YEAST","0.915115476057476","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05374|CHO2_YEAST","sp|P05374|CHO2_YEAST","0.842447019991646","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05737|RL7A_YEAST","sp|P05737|RL7A_YEAST","0.89739961398622","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05748|RL15A_YEAST","sp|P05748|RL15A_YEAST","0.834516480206577","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P05756|RS13_YEAST","sp|P05756|RS13_YEAST","0.912123996554055","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06101|CDC37_YEAST","sp|P06101|CDC37_YEAST","0.884972812097164","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06168|ILV5_YEAST","sp|P06168|ILV5_YEAST","0.862359865373087","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06634|DED1_YEAST","sp|P06634|DED1_YEAST","0.840034927313873","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P06738|PHSG_YEAST","sp|P06738|PHSG_YEAST","0.834142004552103","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07172|HIS8_YEAST","sp|P07172|HIS8_YEAST","0.885192190838472","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07246|ADH3_YEAST","sp|P07246|ADH3_YEAST","0.923512887574388","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07260|IF4E_YEAST","sp|P07260|IF4E_YEAST","0.830872669026649","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07274|PROF_YEAST","sp|P07274|PROF_YEAST","0.958952890963294","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07280|RS19A_YEAST;sp|P07281|RS19B_YEAST","sp|P07280|RS19A_YEAST;sp|P07281|RS19B_YEAST","0.909061524023858","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07284|SYSC_YEAST","sp|P07284|SYSC_YEAST","0.855444869909991","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07342|ILVB_YEAST","sp|P07342|ILVB_YEAST","0.877748976800024","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07347|ARD1_YEAST","sp|P07347|ARD1_YEAST","0.931843642412355","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P07991|OAT_YEAST","sp|P07991|OAT_YEAST","0.919052699754067","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P08018|PBS2_YEAST","sp|P08018|PBS2_YEAST","0.883341226582944","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P08518|RPB2_YEAST","sp|P08518|RPB2_YEAST","0.859138094135609","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P09436|SYIC_YEAST","sp|P09436|SYIC_YEAST","0.871205318066183","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P09547|SWI1_YEAST","sp|P09547|SWI1_YEAST","1.04757621414346","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P09938|RIR2_YEAST","sp|P09938|RIR2_YEAST","0.879043583769118","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0C2H6|RL27A_YEAST;sp|P0C2H7|RL27B_YEAST","sp|P0C2H6|RL27A_YEAST;sp|P0C2H7|RL27B_YEAST","0.889514109995163","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0CT04|IPB2_YEAST","sp|P0CT04|IPB2_YEAST","0.901767198485608","0","0","conditionB-conditionA","YEAST","1","-1"
