"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|A6NEF3|GG6L4_HUMAN;sp|A6NEM1|GG6L9_HUMAN;sp|A6NI86|GG6LA_HUMAN;sp|H0YKK7|GG6LS_HUMAN","sp|A6NEF3|GG6L4_HUMAN;sp|A6NEM1|GG6L9_HUMAN;sp|A6NI86|GG6LA_HUMAN;sp|H0YKK7|GG6LS_HUMAN","1.0138495970079","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q13202|DUS8_HUMAN","sp|Q13202|DUS8_HUMAN","-2.174795451213","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q53HC0|CCD92_HUMAN","sp|Q53HC0|CCD92_HUMAN","0.923809895134299","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q5I0G3|MDH1B_HUMAN","sp|Q5I0G3|MDH1B_HUMAN","-2.00935648325537","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q5TEC6|H37_HUMAN","sp|Q5TEC6|H37_HUMAN","0.889197745341948","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q6ZMY6|WDR88_HUMAN","sp|Q6ZMY6|WDR88_HUMAN","0.902426109880798","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q8N443|RIBC1_HUMAN","sp|Q8N443|RIBC1_HUMAN","1.27767318757648","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UDX3|S14L4_HUMAN","sp|Q9UDX3|S14L4_HUMAN","-1.57235571812692","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UJC3|HOOK1_HUMAN","sp|Q9UJC3|HOOK1_HUMAN","1.02140489180033","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9UKZ4|TEN1_HUMAN","sp|Q9UKZ4|TEN1_HUMAN","1.05539795713221","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|Q9Y4X4|KLF12_HUMAN","sp|Q9Y4X4|KLF12_HUMAN","0.949473910356575","0","0","conditionB-conditionA","HUMAN","0","0"
"sp|O13516|RS9A_YEAST;sp|P05755|RS9B_YEAST","sp|O13516|RS9A_YEAST;sp|P05755|RS9B_YEAST","0.811315210322295","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|O13547|CCW14_YEAST","sp|O13547|CCW14_YEAST","1.10450390713769","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|O14468|YO304_YEAST","sp|O14468|YO304_YEAST","1.03191334104968","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00127|QCR6_YEAST","sp|P00127|QCR6_YEAST","0.92427025881239","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00427|COX6_YEAST","sp|P00427|COX6_YEAST","0.910247304350291","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00445|SODC_YEAST","sp|P00445|SODC_YEAST","1.00268875646097","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00498|HIS1_YEAST","sp|P00498|HIS1_YEAST","0.875206661573765","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00560|PGK_YEAST","sp|P00560|PGK_YEAST","0.805246730280782","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00729|CBPY_YEAST","sp|P00729|CBPY_YEAST","0.884853317974221","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00817|IPYR_YEAST","sp|P00817|IPYR_YEAST","0.766863877052616","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00890|CISY1_YEAST","sp|P00890|CISY1_YEAST","0.830189479316843","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00931|TRP_YEAST","sp|P00931|TRP_YEAST","0.904916057255887","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00942|TPIS_YEAST","sp|P00942|TPIS_YEAST","0.816010009850601","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00950|PMG1_YEAST","sp|P00950|PMG1_YEAST","0.822728081295015","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P00958|SYMC_YEAST","sp|P00958|SYMC_YEAST","0.821486947670367","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P01123|YPT1_YEAST","sp|P01123|YPT1_YEAST","0.927764732866008","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P02406|RL28_YEAST","sp|P02406|RL28_YEAST","0.852731957695724","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P02829|HSP82_YEAST","sp|P02829|HSP82_YEAST","0.772232842863534","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P03872|REP2_YEAST","sp|P03872|REP2_YEAST","1.02695483114272","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P03965|CARB_YEAST","sp|P03965|CARB_YEAST","0.795964404606233","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P04449|RL24A_YEAST","sp|P04449|RL24A_YEAST","0.832391691864773","0","0","conditionB-conditionA","YEAST","1","-1"
