"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST.1","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.574370942368875","0.000106984563655815","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P14540.ALF_YEAST","sp|P14540|ALF_YEAST","-0.364268036738469","0.000110041265474553","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P16521.EF3A_YEAST.1","sp|P16521|EF3A_YEAST","-0.542809104606031","0.000122268072749503","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P02829.HSP82_YEAST.2","sp|P02829|HSP82_YEAST","-0.230697767562713","0.000128381476386978","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00924.ENO1_YEAST.1","sp|P00924|ENO1_YEAST","-0.528890406440496","0.000137551581843191","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.29691552704489","0.000141372459116613","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P41338.ERG10_YEAST.2","sp|P41338|ERG10_YEAST","-0.311729068375671","0.000143664985480666","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P19882.HSP60_YEAST.1","sp|P19882|HSP60_YEAST","-0.603317579628829","0.000152835090936879","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q03558.OYE2_YEAST","sp|Q03558|OYE2_YEAST","-0.358159164993459","0.000156655968210301","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST.2","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.261023535182487","0.000158948494574354","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P15019.TAL1_YEAST.1","sp|P15019|TAL1_YEAST","-0.526601661218182","0.000168118600030567","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00950.PMG1_YEAST","sp|P00950|PMG1_YEAST","-0.302965362966535","0.000171939477303989","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.Q53QW1.TEX44_HUMAN.2","sp|Q53QW1|TEX44_HUMAN","-0.310202390329199","0.000174232003668042","0","conditionD-conditionC","HUMAN","0","0"
"sp.Q03558.OYE2_YEAST.1","sp|Q03558|OYE2_YEAST","-0.576017370769998","0.000183402109124255","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P15703.BGL2_YEAST.2","sp|P15703|BGL2_YEAST","-0.235797341655697","0.00018951551276173","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q02326.RL6A_YEAST.1","sp|Q02326|RL6A_YEAST","-0.567249378597777","0.000198685618217943","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P46655.SYEC_YEAST","sp|P46655|SYEC_YEAST","-0.292551316490341","0.000200213969127312","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15303.SEC23_YEAST.2","sp|P15303|SEC23_YEAST","-0.373889735642727","0.000204799021855418","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P23254.TKT1_YEAST.1","sp|P23254|TKT1_YEAST","-0.529314410758509","0.000213969127311631","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P25694.CDC48_YEAST","sp|P25694|CDC48_YEAST","-0.286164023686611","0.000215497478221","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P32379.PSA5_YEAST.2","sp|P32379|PSA5_YEAST","-0.342250888617574","0.000220082530949106","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02406.RL28_YEAST.1","sp|P02406|RL28_YEAST","-0.561718371268883","0.000229252636405319","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00924.ENO1_YEAST","sp|P00924|ENO1_YEAST","-0.31630156433755","0.000230780987314687","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST.2","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.24955607759971","0.000235366040042794","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00817.IPYR_YEAST.1","sp|P00817|IPYR_YEAST","-0.578165833552198","0.000244536145499007","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P11484.SSB1_YEAST","sp|P11484|SSB1_YEAST","-0.339019919466391","0.000246064496408375","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P05317.RLA0_YEAST.2","sp|P05317|RLA0_YEAST","-0.280825332333006","0.000250649549136482","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P05030.PMA1_YEAST.1","sp|P05030|PMA1_YEAST","-0.537626670831511","0.000259819654592695","0","conditionD-conditionB","YEAST","1","0.584962500721156"
