"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST.1","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.5464716046446","0.0001077487391105","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P49167.RL38_YEAST","sp|P49167|RL38_YEAST","-0.330397274694715","0.000123032248204188","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P14832.CYPH_YEAST.1","sp|P14832|CYPH_YEAST","-0.53893923882142","0.000123032248204188","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P40212.RL13B_YEAST.sp.Q12690.RL13A_YEAST.1","sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST","-0.51515045560169","0.000138315757297876","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P14540.ALF_YEAST","sp|P14540|ALF_YEAST","-0.364268036738469","0.000153599266391564","0.0232558139534884","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P07284.SYSC_YEAST.2","sp|P07284|SYSC_YEAST","-0.273866502696164","0.000171939477303989","0.0487804878048781","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST.1","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.574370942368875","0.000182637933669571","0.00512820512820513","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P16521.EF3A_YEAST.1","sp|P16521|EF3A_YEAST","-0.542809104606031","0.000197921442763258","0.00512820512820513","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.29691552704489","0.000199449793672627","0.0232558139534884","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P10591.HSP71_YEAST.2","sp|P10591|HSP71_YEAST","-0.24476473431001","0.000205563197310102","0.0487804878048781","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00924.ENO1_YEAST.1","sp|P00924|ENO1_YEAST","-0.528890406440496","0.000213204951856946","0.00512820512820513","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q03558.OYE2_YEAST","sp|Q03558|OYE2_YEAST","-0.358159164993459","0.000214733302766315","0.0232558139534884","conditionC-conditionB","YEAST","1","0.321928094887362"
