"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp.P40212.RL13B_YEAST.sp.Q12690.RL13A_YEAST.1","sp|P40212|RL13B_YEAST;sp|Q12690|RL13A_YEAST","-0.51515045560169","0.000104692037291762","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P14540.ALF_YEAST","sp|P14540|ALF_YEAST","-0.364268036738469","0.000110041265474553","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST.1","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.574370942368875","0.00011997554638545","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P02829.HSP82_YEAST.2","sp|P02829|HSP82_YEAST","-0.230697767562713","0.000128381476386978","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P16521.EF3A_YEAST.1","sp|P16521|EF3A_YEAST","-0.542809104606031","0.000135259055479138","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.29691552704489","0.000141372459116613","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P41338.ERG10_YEAST.2","sp|P41338|ERG10_YEAST","-0.311729068375671","0.000143664985480666","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00924.ENO1_YEAST.1","sp|P00924|ENO1_YEAST","-0.528890406440496","0.000150542564572826","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q03558.OYE2_YEAST","sp|Q03558|OYE2_YEAST","-0.358159164993459","0.000156655968210301","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P02407.RS17A_YEAST.sp.P14127.RS17B_YEAST.2","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","-0.261023535182487","0.000158948494574354","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P19882.HSP60_YEAST.1","sp|P19882|HSP60_YEAST","-0.603317579628829","0.000165826073666514","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00950.PMG1_YEAST","sp|P00950|PMG1_YEAST","-0.302965362966535","0.000171939477303989","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15019.TAL1_YEAST.1","sp|P15019|TAL1_YEAST","-0.526601661218182","0.000181109582760202","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P15703.BGL2_YEAST.2","sp|P15703|BGL2_YEAST","-0.235797341655697","0.000190279688216414","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q03558.OYE2_YEAST.1","sp|Q03558|OYE2_YEAST","-0.576017370769998","0.00019639309185389","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P46655.SYEC_YEAST","sp|P46655|SYEC_YEAST","-0.292551316490341","0.000200213969127312","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P15303.SEC23_YEAST.2","sp|P15303|SEC23_YEAST","-0.373889735642727","0.000205563197310102","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.Q02326.RL6A_YEAST.1","sp|Q02326|RL6A_YEAST","-0.567249378597777","0.000211676600947578","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P25694.CDC48_YEAST","sp|P25694|CDC48_YEAST","-0.286164023686611","0.000215497478221","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P32379.PSA5_YEAST.2","sp|P32379|PSA5_YEAST","-0.342250888617574","0.00022084670640379","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P23254.TKT1_YEAST.1","sp|P23254|TKT1_YEAST","-0.529314410758509","0.000226960110041265","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P00924.ENO1_YEAST","sp|P00924|ENO1_YEAST","-0.31630156433755","0.000230780987314687","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P0CX82.RL19A_YEAST.sp.P0CX83.RL19B_YEAST.2","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","-0.24955607759971","0.000236130215497478","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P02406.RL28_YEAST.1","sp|P02406|RL28_YEAST","-0.561718371268883","0.000242243619134953","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P11484.SSB1_YEAST","sp|P11484|SSB1_YEAST","-0.339019919466391","0.000246064496408375","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P05317.RLA0_YEAST.2","sp|P05317|RLA0_YEAST","-0.280825332333006","0.000251413724591166","0","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00817.IPYR_YEAST.1","sp|P00817|IPYR_YEAST","-0.578165833552198","0.000257527128228641","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P38011.GBLP_YEAST","sp|P38011|GBLP_YEAST","-0.322079846704186","0.000261348005502063","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P05030.PMA1_YEAST.1","sp|P05030|PMA1_YEAST","-0.537626670831511","0.000272810637322329","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P25349.YCP4_YEAST","sp|P25349|YCP4_YEAST","-0.354667442299617","0.000276631514595751","0","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P06168.ILV5_YEAST.2","sp|P06168|ILV5_YEAST","-0.247866995248653","0.000281216567323858","0.0476190476190476","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P38707.SYNC_YEAST.1","sp|P38707|SYNC_YEAST","-0.60540918373934","0.000288094146416017","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P46672.ARC1_YEAST.1","sp|P46672|ARC1_YEAST","-0.557940083895721","0.000303377655509705","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P16140.VATB_YEAST","sp|P16140|VATB_YEAST","-0.259920887167175","0.000305670181873758","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P40037.HMF1_YEAST.1","sp|P40037|HMF1_YEAST","-0.639727847031288","0.000318661164603393","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P04807.HXKB_YEAST","sp|P04807|HXKB_YEAST","-0.31846699171675","0.000320953690967446","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P0CX43.RL1A_YEAST.sp.P0CX44.RL1B_YEAST.2","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","-0.28307285130137","0.000327067094604921","0.0476190476190476","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P00549.KPYK1_YEAST.1","sp|P00549|KPYK1_YEAST","-0.557808934772378","0.000333944673697081","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P13188.SYQ_YEAST","sp|P13188|SYQ_YEAST","-0.307410380644406","0.000336237200061134","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P0CX47.RS11A_YEAST.sp.P0CX48.RS11B_YEAST.2","sp|P0CX47|RS11A_YEAST;sp|P0CX48|RS11B_YEAST","-0.242700356135124","0.000342350603698609","0.0476190476190476","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P14540.ALF_YEAST.1","sp|P14540|ALF_YEAST","-0.601020773767431","0.000349228182790769","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.P04840.VDAC1_YEAST","sp|P04840|VDAC1_YEAST","-0.363414924107603","0.000351520709154822","0.0131578947368421","conditionC-conditionB","YEAST","1","0.321928094887362"
"sp.P32471.EF1B_YEAST.2","sp|P32471|EF1B_YEAST","-0.244166849065191","0.000357634112792297","0.0476190476190476","conditionD-conditionC","YEAST","1","0.263034405833794"
"sp.P11484.SSB1_YEAST.1","sp|P11484|SSB1_YEAST","-0.571812414938115","0.000364511691884457","0","conditionD-conditionB","YEAST","1","0.584962500721156"
"sp.Q15311.RBP1_HUMAN","sp|Q15311|RBP1_HUMAN","-0.744015800434417","0.00036680421824851","0.0131578947368421","conditionC-conditionB","HUMAN","0","0"
