"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P02359|RS7_ECOLI","conditionB-conditionA",Inf,0,-0.983043786391555,0,"ECOLI","1","1"
"2","sp|P0A8M0|SYN_ECOLI","conditionB-conditionA",Inf,0,-1.01603994897356,0,"ECOLI","1","1"
"3","sp|P00934|THRC_ECOLI","conditionB-conditionA",Inf,0,-1.03030958800116,0,"ECOLI","1","1"
"4","sp|P0A7D4|PURA_ECOLI","conditionB-conditionA",Inf,0,0.834958162157626,0,"ECOLI","1","1"
"5","sp|P0ABA4|ATPD_ECOLI","conditionB-conditionA",Inf,0,-0.983142957284848,0,"ECOLI","1","1"
"6","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",Inf,0,-0.767770821103966,0,"ECOLI","1","1"
"7","sp|P0AG30|RHO_ECOLI","conditionB-conditionA",Inf,0,-0.960344116824569,0,"ECOLI","1","1"
"8","sp|P0A715|KDSA_ECOLI","conditionB-conditionA",Inf,0,-0.994644342780958,0,"ECOLI","1","1"
"9","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",Inf,0,-0.849192134003555,0,"ECOLI","1","1"
"10","sp|P0ABB4|ATPB_ECOLI","conditionB-conditionA",Inf,0,-0.837130175647511,0,"ECOLI","1","1"
"11","sp|P05055|PNP_ECOLI","conditionB-conditionA",Inf,0,-1.01552015932116,0,"ECOLI","1","1"
"12","sp|P33602|NUOG_ECOLI","conditionB-conditionA",Inf,0,-0.916432523927995,0,"ECOLI","1","1"
"13","sp|P0AGE9|SUCD_ECOLI","conditionB-conditionA",Inf,0,-0.93527689464765,0,"ECOLI","1","1"
"14","sp|P25665|METE_ECOLI","conditionB-conditionA",Inf,0,-0.908399495340724,0,"ECOLI","1","1"
"15","sp|P0A7Z4|RPOA_ECOLI","conditionB-conditionA",Inf,0,-1.092757605167,0,"ECOLI","1","1"
"16","sp|P0AFG3|ODO1_ECOLI","conditionB-conditionA",Inf,0,-1.05627146818695,0,"ECOLI","1","1"
"17","sp|P16869|FHUE_ECOLI","conditionB-conditionA",Inf,0,-1.12075515145503,0,"ECOLI","1","1"
"18","sp|P0A8T7|RPOC_ECOLI","conditionB-conditionA",Inf,0,-1.11247499071041,0,"ECOLI","1","1"
"19","sp|P36683|ACNB_ECOLI","conditionB-conditionA",Inf,0,-0.946232928444608,0,"ECOLI","1","1"
"20","sp|P0A6M8|EFG_ECOLI","conditionB-conditionA",Inf,0,-0.920097653342712,0,"ECOLI","1","1"
"21","sp|P0ADY3|RL14_ECOLI","conditionB-conditionA",Inf,0,-1.18330531326866,0,"ECOLI","1","1"
"22","sp|P0A7W1|RS5_ECOLI","conditionB-conditionA",Inf,0,-0.926260078001736,0,"ECOLI","1","1"
"23","sp|P09832|GLTD_ECOLI","conditionB-conditionA",Inf,0,-0.906217693569527,0,"ECOLI","1","1"
"24","sp|P0A6L9|HSCB_ECOLI","conditionB-conditionA",Inf,0,-1.06468301407335,0,"ECOLI","1","1"
"25","sp|P0A9Q5|ACCD_ECOLI","conditionB-conditionA",Inf,0,-1.05926502512181,0,"ECOLI","1","1"
"26","sp|P61889|MDH_ECOLI","conditionB-conditionA",Inf,0,-0.873450646767649,0,"ECOLI","1","1"
"27","sp|P06959|ODP2_ECOLI","conditionB-conditionA",Inf,0,-1.04460265743864,0,"ECOLI","1","1"
"28","sp|P22939|ISPA_ECOLI","conditionB-conditionA",Inf,0,-1.49448382414011,0,"ECOLI","1","1"
"29","sp|P0A9P0|DLDH_ECOLI","conditionB-conditionA",Inf,0,-0.843236300414537,0,"ECOLI","1","1"
"30","sp|P0A9D8|DAPD_ECOLI","conditionB-conditionA",Inf,0,-0.867985343549506,0,"ECOLI","1","1"
"31","sp|P0ABB0|ATPA_ECOLI","conditionB-conditionA",Inf,0,-0.831900406982115,0,"ECOLI","1","1"
"32","sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI","conditionB-conditionA",Inf,0,-0.7705208155209,0,"ECOLI","1","1"
"33","sp|P0ACF8|HNS_ECOLI","conditionB-conditionA",Inf,0,-1.13438039470296,0,"ECOLI","1","1"
"34","sp|P0A853|TNAA_ECOLI","conditionB-conditionA",Inf,0,-1.05815027004034,0,"ECOLI","1","1"
"35","sp|P0ACG1|STPA_ECOLI","conditionB-conditionA",Inf,0,-0.931278870309178,0,"ECOLI","1","1"
"36","sp|P0AEW4|CPDA_ECOLI","conditionB-conditionA",Inf,0,-1.33399074039826,0,"ECOLI","1","1"
"37","sp|P62399|RL5_ECOLI","conditionB-conditionA",Inf,0,-0.90836308352635,0,"ECOLI","1","1"
"38","sp|P0A8F0|UPP_ECOLI","conditionB-conditionA",Inf,0,-1.1381138970647,0,"ECOLI","1","1"
"39","sp|P28635|METQ_ECOLI","conditionB-conditionA",Inf,0,-0.916479192465461,0,"ECOLI","1","1"
"40","sp|P0A9C5|GLN1B_ECOLI","conditionB-conditionA",Inf,0,-0.918172808130036,0,"ECOLI","1","1"
"41","sp|P00968|CARB_ECOLI","conditionB-conditionA",Inf,0,-0.901864876692791,0,"ECOLI","1","1"
"42","sp|P0AC38|ASPA_ECOLI","conditionB-conditionA",Inf,0,-0.94638102552295,0,"ECOLI","1","1"
"43","sp|P0AFG6|ODO2_ECOLI","conditionB-conditionA",Inf,0,-0.958689495593838,0,"ECOLI","1","1"
"44","sp|P63284|CLPB_ECOLI","conditionB-conditionA",Inf,0,-0.799267617048727,0,"ECOLI","1","1"
"45","sp|P0A6A6|LEUC_ECOLI","conditionB-conditionA",Inf,0,-0.721598470306851,0,"ECOLI","1","1"
"46","sp|P0AAI5|FABF_ECOLI","conditionB-conditionA",Inf,0,0.852516853008035,0,"ECOLI","1","1"
"47","sp|P0A717|KPRS_ECOLI","conditionB-conditionA",Inf,0,-0.930774172287133,0,"ECOLI","1","1"
"48","sp|P0A862|TPX_ECOLI","conditionB-conditionA",Inf,0,-0.764814927025474,0,"ECOLI","1","1"
"49","sp|P0ACC3|ERPA_ECOLI","conditionB-conditionA",Inf,0,-1.06077493953979,0,"ECOLI","1","1"
"50","sp|P0A799|PGK_ECOLI","conditionB-conditionA",Inf,0,-0.903477961870298,0,"ECOLI","1","1"
"51","sp|P0ABU2|YCHF_ECOLI","conditionB-conditionA",Inf,0,-1.06802073514404,0,"ECOLI","1","1"
"52","sp|P09373|PFLB_ECOLI","conditionB-conditionA",Inf,0,-1.21511584310201,0,"ECOLI","1","1"
"53","sp|P0A9Q7|ADHE_ECOLI","conditionB-conditionA",Inf,0,-0.901232077146293,0,"ECOLI","1","1"
"54","sp|P0A6H5|HSLU_ECOLI","conditionB-conditionA",Inf,0,-0.823316686073738,0,"ECOLI","1","1"
"55","sp|P0A7L8|RL27_ECOLI","conditionB-conditionA",Inf,0,-0.835013281725097,0,"ECOLI","1","1"
"56","sp|P75874|YCCU_ECOLI","conditionB-conditionA",Inf,0,1.35238201891645,0,"ECOLI","1","1"
"57","sp|P0AG55|RL6_ECOLI","conditionB-conditionA",Inf,0,-0.773051553753334,0,"ECOLI","1","1"
"58","sp|P0AFX9|RSEB_ECOLI","conditionB-conditionA",Inf,0,-0.931492557303379,0,"ECOLI","1","1"
"59","sp|P0ABK5|CYSK_ECOLI","conditionB-conditionA",Inf,0,-0.783599740477236,0,"ECOLI","1","1"
"60","sp|P0A6F5|CH60_ECOLI","conditionB-conditionA",Inf,0,-0.797172808666375,0,"ECOLI","1","1"
"61","sp|P0A6B7|ISCS_ECOLI","conditionB-conditionA",Inf,0,-0.883523613597175,0,"ECOLI","1","1"
"62","sp|P64596|DOLP_ECOLI","conditionB-conditionA",Inf,0,-0.943458632081089,0,"ECOLI","1","1"
"63","sp|P75915|YCDY_ECOLI","conditionB-conditionA",90.04750013809,0,1.08908917815248,0,"ECOLI","1","1"
"64","sp|P0A7V0|RS2_ECOLI","conditionB-conditionA",Inf,0,-0.949289869347776,0,"ECOLI","1","1"
"65","sp|P0A8V2|RPOB_ECOLI","conditionB-conditionA",Inf,0,-0.86435376582557,0,"ECOLI","1","1"
"66","sp|P0A9T0|SERA_ECOLI","conditionB-conditionA",Inf,0,-1.15407270022511,0,"ECOLI","1","1"
"67","sp|P0A850|TIG_ECOLI","conditionB-conditionA",Inf,0,-0.797400846849989,0,"ECOLI","1","1"
"68","sp|P0A940|BAMA_ECOLI","conditionB-conditionA",Inf,0,-0.888512800463538,0,"ECOLI","1","1"
"69","sp|P02925|RBSB_ECOLI","conditionB-conditionA",Inf,0,-0.900098273859225,0,"ECOLI","1","1"
"70","sp|P0AFG0|NUSG_ECOLI","conditionB-conditionA",Inf,0,-0.941584516417045,0,"ECOLI","1","1"
"71","sp|P0A836|SUCC_ECOLI","conditionB-conditionA",Inf,0,-0.783398932170677,0,"ECOLI","1","1"
"72","sp|P39377|IADA_ECOLI","conditionB-conditionA",Inf,0,-1.24168517648679,0,"ECOLI","1","1"
