"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|A6NEF3|GG6L4_HUMAN;sp|A6NEM1|GG6L9_HUMAN;sp|A6NI86|GG6LA_HUMAN;sp|H0YKK7|GG6LS_HUMAN","conditionB-conditionA",Inf,0,1.0138495970079,0,"HUMAN","0","0"
"2","sp|P05114|HMGN1_HUMAN","conditionB-conditionA",Inf,0,-1.93688582470584,0,"HUMAN","0","0"
"3","sp|Q13202|DUS8_HUMAN","conditionB-conditionA",Inf,0,-2.2876770193562,0,"HUMAN","0","0"
"4","sp|Q53HC0|CCD92_HUMAN","conditionB-conditionA",Inf,0,0.923809895134299,0,"HUMAN","0","0"
"5","sp|Q5I0G3|MDH1B_HUMAN","conditionB-conditionA",Inf,0,-2.10603249126333,0,"HUMAN","0","0"
"6","sp|Q5TEC6|H37_HUMAN","conditionB-conditionA",Inf,0,0.889197745341948,0,"HUMAN","0","0"
"7","sp|Q6ZMY6|WDR88_HUMAN","conditionB-conditionA",Inf,0,0.902426109880798,0,"HUMAN","0","0"
"8","sp|Q8N443|RIBC1_HUMAN","conditionB-conditionA",Inf,0,1.27767318757648,0,"HUMAN","0","0"
"9","sp|Q96PC5|MIA2_HUMAN","conditionB-conditionA",Inf,0,0.838840097839656,0,"HUMAN","0","0"
"10","sp|Q9H7C4|SYNCI_HUMAN","conditionB-conditionA",Inf,0,1.11547154682173,0,"HUMAN","0","0"
"11","sp|Q9UDX3|S14L4_HUMAN","conditionB-conditionA",Inf,0,-1.62429349679985,0,"HUMAN","0","0"
"12","sp|Q9UJC3|HOOK1_HUMAN","conditionB-conditionA",Inf,0,1.02140489180033,0,"HUMAN","0","0"
"13","sp|Q9UKZ4|TEN1_HUMAN","conditionB-conditionA",Inf,0,1.05539795713221,0,"HUMAN","0","0"
"14","sp|Q9Y4X4|KLF12_HUMAN","conditionB-conditionA",Inf,0,0.949473910356575,0,"HUMAN","0","0"
"15","sp|A5Z2X5|YP010_YEAST","conditionB-conditionA",Inf,0,0.870114107201177,0,"YEAST","1","-1"
"16","sp|O13516|RS9A_YEAST;sp|P05755|RS9B_YEAST","conditionB-conditionA",Inf,0,0.825996302981878,0,"YEAST","1","-1"
"17","sp|O13547|CCW14_YEAST","conditionB-conditionA",Inf,0,1.10450390713769,0,"YEAST","1","-1"
"18","sp|O13563|RPN13_YEAST","conditionB-conditionA",Inf,0,0.753741365298449,0,"YEAST","1","-1"
"19","sp|O14455|RL36B_YEAST","conditionB-conditionA",Inf,0,0.978990321204968,0,"YEAST","1","-1"
"20","sp|O14467|MBF1_YEAST","conditionB-conditionA",Inf,0,0.94200416973869,0,"YEAST","1","-1"
"21","sp|O14468|YO304_YEAST","conditionB-conditionA",Inf,0,1.03191334104968,0,"YEAST","1","-1"
"22","sp|O74700|TIM9_YEAST","conditionB-conditionA",Inf,0,0.743186423989853,0,"YEAST","1","-1"
"23","sp|P00044|CYC1_YEAST","conditionB-conditionA",Inf,0,0.793863346724311,0,"YEAST","1","-1"
"24","sp|P00127|QCR6_YEAST","conditionB-conditionA",Inf,0,0.961329962563701,0,"YEAST","1","-1"
"25","sp|P00175|CYB2_YEAST","conditionB-conditionA",Inf,0,0.78389098206282,0,"YEAST","1","-1"
"26","sp|P00330|ADH1_YEAST","conditionB-conditionA",Inf,0,0.686177420581082,0,"YEAST","1","-1"
"27","sp|P00358|G3P2_YEAST","conditionB-conditionA",Inf,0,0.702925460254166,0,"YEAST","1","-1"
"28","sp|P00360|G3P1_YEAST","conditionB-conditionA",Inf,0,0.66221944386271,0,"YEAST","1","-1"
"29","sp|P00427|COX6_YEAST","conditionB-conditionA",Inf,0,0.910247304350291,0,"YEAST","1","-1"
"30","sp|P00431|CCPR_YEAST","conditionB-conditionA",Inf,0,0.758479638553005,0,"YEAST","1","-1"
"31","sp|P00445|SODC_YEAST","conditionB-conditionA",Inf,0,1.00268875646097,0,"YEAST","1","-1"
"32","sp|P00447|SODM_YEAST","conditionB-conditionA",Inf,0,0.886041578683148,0,"YEAST","1","-1"
"33","sp|P00498|HIS1_YEAST","conditionB-conditionA",Inf,0,0.938828838841756,0,"YEAST","1","-1"
"34","sp|P00549|KPYK1_YEAST","conditionB-conditionA",Inf,0,0.69086848455861,0,"YEAST","1","-1"
"35","sp|P00560|PGK_YEAST","conditionB-conditionA",Inf,0,0.805246730280782,0,"YEAST","1","-1"
"36","sp|P00729|CBPY_YEAST","conditionB-conditionA",Inf,0,0.884853317974221,0,"YEAST","1","-1"
"37","sp|P00812|ARGI_YEAST","conditionB-conditionA",Inf,0,0.789044425441048,0,"YEAST","1","-1"
"38","sp|P00815|HIS2_YEAST","conditionB-conditionA",Inf,0,0.806399479477363,0,"YEAST","1","-1"
"39","sp|P00817|IPYR_YEAST","conditionB-conditionA",Inf,0,0.766863877052616,0,"YEAST","1","-1"
"40","sp|P00890|CISY1_YEAST","conditionB-conditionA",Inf,0,0.84353440065779,0,"YEAST","1","-1"
"41","sp|P00924|ENO1_YEAST","conditionB-conditionA",Inf,0,0.719260738982783,0,"YEAST","1","-1"
"42","sp|P00925|ENO2_YEAST","conditionB-conditionA",Inf,0,0.706199446088121,0,"YEAST","1","-1"
"43","sp|P00927|THDH_YEAST","conditionB-conditionA",Inf,0,0.719404254658023,0,"YEAST","1","-1"
"44","sp|P00931|TRP_YEAST","conditionB-conditionA",Inf,0,0.904916057255887,0,"YEAST","1","-1"
"45","sp|P00942|TPIS_YEAST","conditionB-conditionA",Inf,0,0.816010009850601,0,"YEAST","1","-1"
"46","sp|P00950|PMG1_YEAST","conditionB-conditionA",Inf,0,0.822728081295015,0,"YEAST","1","-1"
"47","sp|P00958|SYMC_YEAST","conditionB-conditionA",Inf,0,0.936706761446988,0,"YEAST","1","-1"
