"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|P28007|GAR1_YEAST","conditionC-conditionB",55.7224986430117,4.81459316858945e-12,-0.760335225615637,3.15018831020808e-08,"YEAST","1","0.321928094887362"
"2","sp|P32449|AROG_YEAST","conditionC-conditionB",46.0692189235514,5.48250889131907e-10,-0.46771176400761,1.79360278379503e-06,"YEAST","1","0.321928094887362"
"3","sp|P00924|ENO1_YEAST","conditionC-conditionB",41.1902513901591,5.95897886590535e-09,-0.348966230373033,1.12256754857709e-05,"YEAST","1","0.321928094887362"
"4","sp|P36010|NDK_YEAST","conditionC-conditionB",40.8520794759538,7.029044457596e-09,-0.412031022631874,1.12256754857709e-05,"YEAST","1","0.321928094887362"
"5","sp|P00549|KPYK1_YEAST","conditionC-conditionB",40.4441136972944,8.57838566847846e-09,-0.335976924226273,1.12256754857709e-05,"YEAST","1","0.321928094887362"
"6","sp|P00950|PMG1_YEAST","conditionC-conditionB",39.9448016016333,1.09460502883962e-08,-0.463151105065034,1.14300601333772e-05,"YEAST","1","0.321928094887362"
"7","sp|P0CX55|RS18A_YEAST;sp|P0CX56|RS18B_YEAST","conditionC-conditionB",39.7178044205023,1.22283999592909e-08,-0.410417590244901,1.14300601333772e-05,"YEAST","1","0.321928094887362"
"8","sp|Q03558|OYE2_YEAST","conditionC-conditionB",38.086018545039,2.7104003930134e-08,-0.3679674647592,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"9","sp|P36008|EF1G2_YEAST","conditionC-conditionB",38.0367955541499,2.77622698163782e-08,-0.39706340800757,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"10","sp|P07245|C1TC_YEAST","conditionC-conditionB",37.5105333076224,3.58801915956164e-08,-0.452241033667102,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"11","sp|P49167|RL38_YEAST","conditionC-conditionB",37.3930296087649,3.79946829554001e-08,-0.330397274694715,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"12","sp|P07267|CARP_YEAST","conditionC-conditionB",37.2129044905481,4.14801296644285e-08,-0.398046800171324,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"13","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","conditionC-conditionB",37.1434188551913,4.29084791031542e-08,-0.348044474295603,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"14","sp|P10591|HSP71_YEAST","conditionC-conditionB",37.1386223929806,4.30088685776653e-08,-0.38607047928757,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"15","sp|P14540|ALF_YEAST","conditionC-conditionB",37.0519315263399,4.48642697437052e-08,-0.364268036738469,1.95697944622042e-05,"YEAST","1","0.321928094887362"
"16","sp|P34760|TSA1_YEAST","conditionC-conditionB",36.750638141527,5.19567192602821e-08,-0.374944278814356,2.12470508825016e-05,"YEAST","1","0.321928094887362"
"17","sp|P12709|G6PI_YEAST","conditionC-conditionB",36.4273266112315,6.08171828453408e-08,-0.369625400584466,2.2027916803713e-05,"YEAST","1","0.321928094887362"
"18","sp|P38879|NACA_YEAST","conditionC-conditionB",36.3748166695315,6.23923555043149e-08,-0.448222552298429,2.2027916803713e-05,"YEAST","1","0.321928094887362"
"19","sp|P22105|TENX_HUMAN","conditionC-conditionB",36.2840783599897,6.52109073406848e-08,-0.328819111409732,2.2027916803713e-05,"HUMAN","0","0"
"20","sp|P16140|VATB_YEAST","conditionC-conditionB",36.2183162518742,6.73327733569096e-08,-0.38110473223564,2.2027916803713e-05,"YEAST","1","0.321928094887362"
"21","sp|P11484|SSB1_YEAST","conditionC-conditionB",36.056440359208,7.28541892369705e-08,-0.400869008321367,2.26992838179761e-05,"YEAST","1","0.321928094887362"
"22","sp|P10592|HSP72_YEAST","conditionC-conditionB",35.8721338585563,7.96930809121577e-08,-0.340787408173867,2.37014467458294e-05,"YEAST","1","0.321928094887362"
"23","sp|P04807|HXKB_YEAST","conditionC-conditionB",35.5855856884503,9.16204395684517e-08,-0.375918738469307,2.60640233085382e-05,"YEAST","1","0.321928094887362"
"24","sp|P06168|ILV5_YEAST","conditionC-conditionB",35.2928660355673,1.05646616899158e-07,-0.46694595440295,2.83524525920953e-05,"YEAST","1","0.321928094887362"
