"Protein"	"Organism"	"DEP"
"sp|P55011|S12A2_HUMAN"	"HUMAN"	"0"
"sp|P36578|RL4_HUMAN"	"HUMAN"	"0"
"sp|O60469|DSCAM_HUMAN"	"HUMAN"	"0"
"sp|Q6P2E9|EDC4_HUMAN"	"HUMAN"	"0"
"sp|Q9NQP4|PFD4_HUMAN"	"HUMAN"	"0"
"sp|Q01780|EXOSX_HUMAN"	"HUMAN"	"0"
"sp|P02786|TFR1_HUMAN"	"HUMAN"	"0"
"sp|P07954|FUMH_HUMAN"	"HUMAN"	"0"
"sp|O94826|TOM70_HUMAN"	"HUMAN"	"0"
"sp|P35221|CTNA1_HUMAN"	"HUMAN"	"0"
"sp|Q9H3U1|UN45A_HUMAN"	"HUMAN"	"0"
"sp|P58107|EPIPL_HUMAN"	"HUMAN"	"0"
"sp|P31948|STIP1_HUMAN"	"HUMAN"	"0"
"sp|Q9NX63|MIC19_HUMAN"	"HUMAN"	"0"
"sp|P26641|EF1G_HUMAN"	"HUMAN"	"0"
"sp|P20810|ICAL_HUMAN"	"HUMAN"	"0"
"sp|P31350|RIR2_HUMAN"	"HUMAN"	"0"
"sp|Q16643|DREB_HUMAN"	"HUMAN"	"0"
"sp|P53618|COPB_HUMAN"	"HUMAN"	"0"
"sp|Q9NVA2|SEP11_HUMAN"	"HUMAN"	"0"
"sp|Q8N1S5|S39AB_HUMAN"	"HUMAN"	"0"
"sp|P49006|MRP_HUMAN"	"HUMAN"	"0"
"sp|P19404|NDUV2_HUMAN"	"HUMAN"	"0"
"sp|Q9H7E9|CH033_HUMAN"	"HUMAN"	"0"
"sp|P55060|XPO2_HUMAN"	"HUMAN"	"0"
"sp|Q01813|PFKAP_HUMAN"	"HUMAN"	"0"
"sp|P06753|TPM3_HUMAN"	"HUMAN"	"0"
"sp|Q14980|NUMA1_HUMAN"	"HUMAN"	"0"
"sp|Q9UNF0|PACN2_HUMAN"	"HUMAN"	"0"
"sp|P43304|GPDM_HUMAN"	"HUMAN"	"0"
