"Protein"	"Organism"	"DEP"
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A1W2PQL4|ZN722_HUMAN"	"HUMAN"	"0"
"sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	"0"
"sp|A0AV96|RBM47_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A1L0T0|HACL2_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	"0"
"sp|A5A3E0|POTEF_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	"0"
"sp|B4DXR9|ZN732_HUMAN"	"HUMAN"	"0"
"sp|B5ME19|EIFCL_HUMAN"	"HUMAN"	"0"
"sp|B7ZAQ6|GPHRA_HUMAN"	"HUMAN"	"0"
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	"0"
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	"0"
"sp|L0R6Q1|S35U4_HUMAN"	"HUMAN"	"0"
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	"0"
"sp|O00148|DX39A_HUMAN"	"HUMAN"	"0"
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	"0"
"sp|O00154|BACH_HUMAN"	"HUMAN"	"0"
"sp|O00159|MYO1C_HUMAN"	"HUMAN"	"0"
"sp|O00165|HAX1_HUMAN"	"HUMAN"	"0"
"sp|O00170|AIP_HUMAN"	"HUMAN"	"0"
"sp|O00186|STXB3_HUMAN"	"HUMAN"	"0"
"sp|O00193|SMAP_HUMAN"	"HUMAN"	"0"
"sp|O00194|RB27B_HUMAN"	"HUMAN"	"0"
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	"0"
"sp|O00204|ST2B1_HUMAN"	"HUMAN"	"0"
"sp|O00212|RHOD_HUMAN"	"HUMAN"	"0"
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	"0"
"sp|O00231|PSD11_HUMAN"	"HUMAN"	"0"
"sp|O00232|PSD12_HUMAN"	"HUMAN"	"0"
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	"0"
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	"0"
"sp|O00255|MEN1_HUMAN"	"HUMAN"	"0"
"sp|O00264|PGRC1_HUMAN"	"HUMAN"	"0"
"sp|O00267|SPT5H_HUMAN"	"HUMAN"	"0"
"sp|O00273|DFFA_HUMAN"	"HUMAN"	"0"
"sp|O00299|CLIC1_HUMAN"	"HUMAN"	"0"
"sp|O00303|EIF3F_HUMAN"	"HUMAN"	"0"
"sp|O00330|ODPX_HUMAN"	"HUMAN"	"0"
"sp|O00401|WASL_HUMAN"	"HUMAN"	"0"
"sp|O00410|IPO5_HUMAN"	"HUMAN"	"0"
"sp|O00422|SAP18_HUMAN"	"HUMAN"	"0"
"sp|O00429|DNM1L_HUMAN"	"HUMAN"	"0"
"sp|O00442|RTCA_HUMAN"	"HUMAN"	"0"
"sp|O00459|P85B_HUMAN"	"HUMAN"	"0"
"sp|O00462|MANBA_HUMAN"	"HUMAN"	"0"
"sp|O00469|PLOD2_HUMAN"	"HUMAN"	"0"
"sp|O00483|NDUA4_HUMAN"	"HUMAN"	"0"
"sp|O00487|PSDE_HUMAN"	"HUMAN"	"0"
"sp|O00505|IMA4_HUMAN"	"HUMAN"	"0"
"sp|O00515|LAD1_HUMAN"	"HUMAN"	"0"
"sp|O00541|PESC_HUMAN"	"HUMAN"	"0"
"sp|O00566|MPP10_HUMAN"	"HUMAN"	"0"
"sp|O00567|NOP56_HUMAN"	"HUMAN"	"0"
"sp|O00571|DDX3X_HUMAN"	"HUMAN"	"0"
"sp|O00584|RNT2_HUMAN"	"HUMAN"	"0"
"sp|O00625|PIR_HUMAN"	"HUMAN"	"0"
"sp|O00629|IMA3_HUMAN"	"HUMAN"	"0"
