"Protein"	"Organism"	"DEP"
"sp|A0A024R1R8|TMA7B_HUMAN"	"HUMAN"	"0"
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A1L429|GG12C_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	"0"
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	"0"
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	"0"
"sp|A8MXV4|NUD19_HUMAN"	"HUMAN"	"0"
"sp|B5ME19|EIFCL_HUMAN"	"HUMAN"	"0"
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	"0"
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	"0"
"sp|O00116|ADAS_HUMAN"	"HUMAN"	"0"
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	"0"
"sp|O00148|DX39A_HUMAN"	"HUMAN"	"0"
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	"0"
"sp|O00154|BACH_HUMAN"	"HUMAN"	"0"
"sp|O00161|SNP23_HUMAN"	"HUMAN"	"0"
"sp|O00170|AIP_HUMAN"	"HUMAN"	"0"
"sp|O00178|GTPB1_HUMAN"	"HUMAN"	"0"
"sp|O00186|STXB3_HUMAN"	"HUMAN"	"0"
"sp|O00193|SMAP_HUMAN"	"HUMAN"	"0"
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	"0"
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	"0"
"sp|O00231|PSD11_HUMAN"	"HUMAN"	"0"
"sp|O00232|PSD12_HUMAN"	"HUMAN"	"0"
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	"0"
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	"0"
"sp|O00267|SPT5H_HUMAN"	"HUMAN"	"0"
"sp|O00273|DFFA_HUMAN"	"HUMAN"	"0"
