"Protein"	"Organism"	"DEP"
"sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A1B0GUS4|UB2L5_HUMAN"	"HUMAN"	"0"
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	"0"
"sp|P63218|GBG5_HUMAN;sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN;sp|Q9H492|MLP3A_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	"0"
"sp|A6NHQ2|FBLL1_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A6NKT7|RGPD3_HUMAN"	"HUMAN"	"0"
"sp|P62308|RUXG_HUMAN;sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	"0"
"sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN;sp|Q9BZK3|NACP4_HUMAN;sp|Q9H009|NACA2_HUMAN"	"HUMAN"	"0"
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	"0"
"sp|O00116|ADAS_HUMAN"	"HUMAN"	"0"
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	"0"
"sp|O00148|DX39A_HUMAN"	"HUMAN"	"0"
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	"0"
"sp|O00154|BACH_HUMAN;sp|Q6ZUV0|BACHL_HUMAN"	"HUMAN"	"0"
"sp|O00161|SNP23_HUMAN"	"HUMAN"	"0"
"sp|O00170|AIP_HUMAN"	"HUMAN"	"0"
"sp|O00193|SMAP_HUMAN"	"HUMAN"	"0"
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	"0"
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	"0"
"sp|O00231|PSD11_HUMAN"	"HUMAN"	"0"
"sp|O00232|PSD12_HUMAN"	"HUMAN"	"0"
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	"0"
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	"0"
"sp|O00255|MEN1_HUMAN"	"HUMAN"	"0"
