"Protein"	"Organism"	"DEP"
"sp|Q6SPF0|SAMD1_HUMAN"	"HUMAN"	"0"
"sp|O00410|IPO5_HUMAN"	"HUMAN"	"0"
"sp|Q8WUQ7|CATIN_HUMAN"	"HUMAN"	"0"
"sp|Q9P258|RCC2_HUMAN"	"HUMAN"	"0"
"sp|Q99856|ARI3A_HUMAN"	"HUMAN"	"0"
"sp|Q96L91|EP400_HUMAN"	"HUMAN"	"0"
"sp|P52701|MSH6_HUMAN"	"HUMAN"	"0"
"sp|P55036|PSMD4_HUMAN"	"HUMAN"	"0"
"sp|Q6P2E9|EDC4_HUMAN"	"HUMAN"	"0"
"sp|Q9NQP4|PFD4_HUMAN"	"HUMAN"	"0"
"sp|O95551|TYDP2_HUMAN"	"HUMAN"	"0"
"sp|Q9H9Y2|RPF1_HUMAN"	"HUMAN"	"0"
"sp|P30260|CDC27_HUMAN"	"HUMAN"	"0"
"sp|O15042|SR140_HUMAN"	"HUMAN"	"0"
"sp|Q9NP50|SHCAF_HUMAN"	"HUMAN"	"0"
"sp|A7E2V4|ZSWM8_HUMAN"	"HUMAN"	"0"
"sp|P07954|FUMH_HUMAN"	"HUMAN"	"0"
"sp|Q9Y490|TLN1_HUMAN"	"HUMAN"	"0"
"sp|Q96S52|PIGS_HUMAN"	"HUMAN"	"0"
"sp|Q8N4T8|CBR4_HUMAN"	"HUMAN"	"0"
"sp|Q9NS37|ZHANG_HUMAN"	"HUMAN"	"0"
"sp|P35221|CTNA1_HUMAN"	"HUMAN"	"0"
"sp|Q96C19|EFHD2_HUMAN"	"HUMAN"	"0"
"sp|Q9GZT9|EGLN1_HUMAN"	"HUMAN"	"0"
"sp|Q8WVQ1|CANT1_HUMAN"	"HUMAN"	"0"
"sp|Q96T51|RUFY1_HUMAN"	"HUMAN"	"0"
"sp|O14497|ARI1A_HUMAN"	"HUMAN"	"0"
"sp|Q9BQS8|FYCO1_HUMAN"	"HUMAN"	"0"
"sp|P13807|GYS1_HUMAN"	"HUMAN"	"0"
"sp|Q9BR61|ACBD6_HUMAN"	"HUMAN"	"0"
"sp|P0DMV8|HS71A_HUMAN;sp|P0DMV9|HS71B_HUMAN"	"HUMAN"	"0"
"sp|Q7Z392|TPC11_HUMAN"	"HUMAN"	"0"
"sp|P31948|STIP1_HUMAN"	"HUMAN"	"0"
"sp|Q68DK7|MSL1_HUMAN"	"HUMAN"	"0"
"sp|Q96GI7|FA89A_HUMAN"	"HUMAN"	"0"
"sp|P56945|BCAR1_HUMAN"	"HUMAN"	"0"
"sp|O60716|CTND1_HUMAN"	"HUMAN"	"0"
"sp|Q15042|RB3GP_HUMAN"	"HUMAN"	"0"
"sp|P26641|EF1G_HUMAN"	"HUMAN"	"0"
"sp|P20810|ICAL_HUMAN"	"HUMAN"	"0"
"sp|P31350|RIR2_HUMAN"	"HUMAN"	"0"
"sp|P49848|TAF6_HUMAN"	"HUMAN"	"0"
"sp|Q16643|DREB_HUMAN"	"HUMAN"	"0"
"sp|P53618|COPB_HUMAN"	"HUMAN"	"0"
"sp|Q9NVA2|SEP11_HUMAN"	"HUMAN"	"0"
"sp|Q8NEX9|DR9C7_HUMAN"	"HUMAN"	"0"
"sp|Q9H2M9|RBGPR_HUMAN"	"HUMAN"	"0"
"sp|Q96BN8|OTUL_HUMAN"	"HUMAN"	"0"
"sp|Q9UNS1|TIM_HUMAN"	"HUMAN"	"0"
"sp|Q99733|NP1L4_HUMAN"	"HUMAN"	"0"
"sp|P49006|MRP_HUMAN"	"HUMAN"	"0"
"sp|P11274|BCR_HUMAN"	"HUMAN"	"0"
"sp|P19404|NDUV2_HUMAN"	"HUMAN"	"0"
"sp|O43837|IDH3B_HUMAN"	"HUMAN"	"0"
"sp|P13995|MTDC_HUMAN"	"HUMAN"	"0"
"sp|Q70CQ2|UBP34_HUMAN"	"HUMAN"	"0"
"sp|P17858|PFKAL_HUMAN"	"HUMAN"	"0"
"sp|Q9H7E9|CH033_HUMAN"	"HUMAN"	"0"
"sp|Q9BUH6|PAXX_HUMAN"	"HUMAN"	"0"
"sp|Q8TDX7|NEK7_HUMAN"	"HUMAN"	"0"
"sp|P13796|PLSL_HUMAN"	"HUMAN"	"0"
"sp|Q99575|POP1_HUMAN"	"HUMAN"	"0"
"sp|Q53H12|AGK_HUMAN"	"HUMAN"	"0"
"sp|P06753|TPM3_HUMAN"	"HUMAN"	"0"
"sp|Q7Z6E9|RBBP6_HUMAN"	"HUMAN"	"0"
"sp|Q9UBQ7|GRHPR_HUMAN"	"HUMAN"	"0"
"sp|Q13586|STIM1_HUMAN"	"HUMAN"	"0"
"sp|P55060|XPO2_HUMAN"	"HUMAN"	"0"
"sp|O75061|AUXI_HUMAN"	"HUMAN"	"0"
"sp|Q9Y277|VDAC3_HUMAN"	"HUMAN"	"0"
"sp|O95785|WIZ_HUMAN"	"HUMAN"	"0"
"sp|Q13144|EI2BE_HUMAN"	"HUMAN"	"0"
"sp|O43395|PRPF3_HUMAN"	"HUMAN"	"0"
"sp|Q9UPP1|PHF8_HUMAN"	"HUMAN"	"0"
"sp|Q86VP6|CAND1_HUMAN"	"HUMAN"	"0"
"sp|P12259|FA5_HUMAN"	"HUMAN"	"0"
"sp|Q8NFC6|BD1L1_HUMAN"	"HUMAN"	"0"
"sp|O95782|AP2A1_HUMAN"	"HUMAN"	"0"
"sp|O15382|BCAT2_HUMAN"	"HUMAN"	"0"
"sp|Q9BZL4|PP12C_HUMAN"	"HUMAN"	"0"
"sp|P67809|YBOX1_HUMAN"	"HUMAN"	"0"
"sp|Q6XR72|ZNT10_HUMAN"	"HUMAN"	"0"
"sp|Q5R3I4|TTC38_HUMAN"	"HUMAN"	"0"
"sp|Q7Z6I8|CE024_HUMAN"	"HUMAN"	"0"
"sp|Q96GM8|TOE1_HUMAN"	"HUMAN"	"0"
"sp|P35251|RFC1_HUMAN"	"HUMAN"	"0"
"sp|Q1ED39|KNOP1_HUMAN"	"HUMAN"	"0"
"sp|Q9Y2T2|AP3M1_HUMAN"	"HUMAN"	"0"
"sp|Q9NU22|MDN1_HUMAN"	"HUMAN"	"0"
"sp|P46821|MAP1B_HUMAN"	"HUMAN"	"0"
"sp|Q14554|PDIA5_HUMAN"	"HUMAN"	"0"
"sp|Q5JTC6|AMER1_HUMAN"	"HUMAN"	"0"
"sp|Q2NKX8|ERC6L_HUMAN"	"HUMAN"	"0"
"sp|Q08211|DHX9_HUMAN"	"HUMAN"	"0"
"sp|P06454|PTMA_HUMAN"	"HUMAN"	"0"
"sp|Q9NW82|WDR70_HUMAN"	"HUMAN"	"0"
"sp|Q7Z460|CLAP1_HUMAN"	"HUMAN"	"0"
"sp|Q13356|PPIL2_HUMAN"	"HUMAN"	"0"
"sp|Q9NPJ8|NXT2_HUMAN"	"HUMAN"	"0"
"sp|Q9UKK6|NXT1_HUMAN"	"HUMAN"	"0"
"sp|P52739|ZN131_HUMAN"	"HUMAN"	"0"
"sp|Q9P253|VPS18_HUMAN"	"HUMAN"	"0"
"sp|Q9P260|RELCH_HUMAN"	"HUMAN"	"0"
"sp|P42338|PK3CB_HUMAN"	"HUMAN"	"0"
"sp|Q9HCS7|SYF1_HUMAN"	"HUMAN"	"0"
"sp|Q9NVM6|DJC17_HUMAN"	"HUMAN"	"0"
"sp|Q9UHV9|PFD2_HUMAN"	"HUMAN"	"0"
"sp|Q86Y79|PTH_HUMAN"	"HUMAN"	"0"
"sp|P35232|PHB1_HUMAN"	"HUMAN"	"0"
"sp|Q5JVF3|PCID2_HUMAN"	"HUMAN"	"0"
"sp|P78318|IGBP1_HUMAN"	"HUMAN"	"0"
"sp|Q8IXQ3|CI040_HUMAN"	"HUMAN"	"0"
"sp|Q00610|CLH1_HUMAN"	"HUMAN"	"0"
"sp|Q9NS91|RAD18_HUMAN"	"HUMAN"	"0"
"sp|P35606|COPB2_HUMAN"	"HUMAN"	"0"
"sp|Q9BY42|RTF2_HUMAN"	"HUMAN"	"0"
"sp|Q5HYK3|COQ5_HUMAN"	"HUMAN"	"0"
"sp|Q9Y5A7|NUB1_HUMAN"	"HUMAN"	"0"
"sp|Q709C8|VP13C_HUMAN"	"HUMAN"	"0"
"sp|Q9NVZ3|NECP2_HUMAN"	"HUMAN"	"0"
"sp|Q13045|FLII_HUMAN"	"HUMAN"	"0"
"sp|Q9NUQ6|SPS2L_HUMAN"	"HUMAN"	"0"
"sp|O60306|AQR_HUMAN"	"HUMAN"	"0"
"sp|P27708|PYR1_HUMAN"	"HUMAN"	"0"
"sp|Q15006|EMC2_HUMAN"	"HUMAN"	"0"
"sp|P62258|1433E_HUMAN"	"HUMAN"	"0"
"sp|Q8IWA0|WDR75_HUMAN"	"HUMAN"	"0"
"sp|O00273|DFFA_HUMAN"	"HUMAN"	"0"
"sp|Q9UQ35|SRRM2_HUMAN"	"HUMAN"	"0"
"sp|P31040|SDHA_HUMAN"	"HUMAN"	"0"
"sp|Q9UID3|VPS51_HUMAN"	"HUMAN"	"0"
"sp|Q5JTZ9|SYAM_HUMAN"	"HUMAN"	"0"
"sp|O94953|KDM4B_HUMAN"	"HUMAN"	"0"
"sp|Q92667|AKAP1_HUMAN"	"HUMAN"	"0"
"sp|P05091|ALDH2_HUMAN"	"HUMAN"	"0"
"sp|Q9UBI1|COMD3_HUMAN"	"HUMAN"	"0"
"sp|Q96CT7|CC124_HUMAN"	"HUMAN"	"0"
"sp|Q9UKD2|MRT4_HUMAN"	"HUMAN"	"0"
"sp|P19623|SPEE_HUMAN"	"HUMAN"	"0"
"sp|Q92925|SMRD2_HUMAN"	"HUMAN"	"0"
"sp|Q9BZV1|UBXN6_HUMAN"	"HUMAN"	"0"
"sp|Q15554|TERF2_HUMAN"	"HUMAN"	"0"
"sp|O75175|CNOT3_HUMAN"	"HUMAN"	"0"
"sp|Q9NSD9|SYFB_HUMAN"	"HUMAN"	"0"
"sp|P52758|RIDA_HUMAN"	"HUMAN"	"0"
"sp|Q86UP2|KTN1_HUMAN"	"HUMAN"	"0"
"sp|Q9Y5K8|VATD_HUMAN"	"HUMAN"	"0"
"sp|Q9UHI6|DDX20_HUMAN"	"HUMAN"	"0"
"sp|P22102|PUR2_HUMAN"	"HUMAN"	"0"
"sp|Q7Z478|DHX29_HUMAN"	"HUMAN"	"0"
"sp|P56182|RRP1_HUMAN"	"HUMAN"	"0"
"sp|P46926|GNPI1_HUMAN"	"HUMAN"	"0"
"sp|Q8IYS2|K2013_HUMAN"	"HUMAN"	"0"
"sp|P28838|AMPL_HUMAN"	"HUMAN"	"0"
"sp|P30566|PUR8_HUMAN"	"HUMAN"	"0"
"sp|O75533|SF3B1_HUMAN"	"HUMAN"	"0"
"sp|P11474|ERR1_HUMAN"	"HUMAN"	"0"
"sp|Q9BW92|SYTM_HUMAN"	"HUMAN"	"0"
"sp|Q460N5|PAR14_HUMAN"	"HUMAN"	"0"
"sp|O95714|HERC2_HUMAN"	"HUMAN"	"0"
"sp|Q9BQ69|MACD1_HUMAN"	"HUMAN"	"0"
"sp|Q9BZE9|ASPC1_HUMAN"	"HUMAN"	"0"
"sp|Q5T653|RM02_HUMAN"	"HUMAN"	"0"
"sp|Q9NVU0|RPC5_HUMAN"	"HUMAN"	"0"
"sp|Q14974|IMB1_HUMAN"	"HUMAN"	"0"
"sp|P05386|RLA1_HUMAN"	"HUMAN"	"0"
"sp|Q9Y230|RUVB2_HUMAN"	"HUMAN"	"0"
"sp|Q96JN8|NEUL4_HUMAN"	"HUMAN"	"0"
"sp|P33316|DUT_HUMAN"	"HUMAN"	"0"
"sp|Q9H9Y6|RPA2_HUMAN"	"HUMAN"	"0"
"sp|Q8TEX9|IPO4_HUMAN"	"HUMAN"	"0"
"sp|Q8TF46|DI3L1_HUMAN"	"HUMAN"	"0"
"sp|O14646|CHD1_HUMAN"	"HUMAN"	"0"
"sp|Q15021|CND1_HUMAN"	"HUMAN"	"0"
"sp|Q8WZA9|IRGQ_HUMAN"	"HUMAN"	"0"
"sp|Q15833|STXB2_HUMAN"	"HUMAN"	"0"
"sp|Q9UQ80|PA2G4_HUMAN"	"HUMAN"	"0"
"sp|O95613|PCNT_HUMAN"	"HUMAN"	"0"
"sp|P78371|TCPB_HUMAN"	"HUMAN"	"0"
"sp|P61764|STXB1_HUMAN"	"HUMAN"	"0"
"sp|P49902|5NTC_HUMAN"	"HUMAN"	"0"
"sp|Q5SRE5|NU188_HUMAN"	"HUMAN"	"0"
"sp|Q96HA7|TONSL_HUMAN"	"HUMAN"	"0"
"sp|P35637|FUS_HUMAN"	"HUMAN"	"0"
"sp|Q8NB49|AT11C_HUMAN"	"HUMAN"	"0"
"sp|Q6ZMI0|PPR21_HUMAN"	"HUMAN"	"0"
"sp|O14744|ANM5_HUMAN"	"HUMAN"	"0"
"sp|Q9UK73|FEM1B_HUMAN"	"HUMAN"	"0"
"sp|A6NKD9|CC85C_HUMAN"	"HUMAN"	"0"
"sp|Q96SY0|INT14_HUMAN"	"HUMAN"	"0"
"sp|P24941|CDK2_HUMAN"	"HUMAN"	"0"
"sp|Q15149|PLEC_HUMAN"	"HUMAN"	"0"
"sp|Q9NWZ5|UCKL1_HUMAN"	"HUMAN"	"0"
"sp|O43747|AP1G1_HUMAN"	"HUMAN"	"0"
"sp|P54920|SNAA_HUMAN"	"HUMAN"	"0"
"sp|Q68EM7|RHG17_HUMAN"	"HUMAN"	"0"
"sp|Q8NFW8|NEUA_HUMAN"	"HUMAN"	"0"
"sp|Q9NRD1|FBX6_HUMAN"	"HUMAN"	"0"
"sp|P46019|KPB2_HUMAN"	"HUMAN"	"0"
"sp|P46020|KPB1_HUMAN"	"HUMAN"	"0"
"sp|P34897|GLYM_HUMAN"	"HUMAN"	"0"
"sp|Q12788|TBL3_HUMAN"	"HUMAN"	"0"
"sp|O95319|CELF2_HUMAN"	"HUMAN"	"0"
"sp|Q92879|CELF1_HUMAN"	"HUMAN"	"0"
"sp|P08727|K1C19_HUMAN"	"HUMAN"	"0"
"sp|Q96RT7|GCP6_HUMAN"	"HUMAN"	"0"
