"Protein"	"Organism"	"DEP"
"sp|A0A024RBG1|NUD4B_HUMAN"	"HUMAN"	"0"
"sp|A0A075B767|PAL4H_HUMAN"	"HUMAN"	"0"
"sp|A0A096LP01|SIM26_HUMAN"	"HUMAN"	"0"
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A0U1RRE5|NBDY_HUMAN"	"HUMAN"	"0"
"sp|A0A0U1RRL7|MMPOS_HUMAN"	"HUMAN"	"0"
"sp|A0A1B0GUS4|UB2L5_HUMAN"	"HUMAN"	"0"
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	"0"
"sp|A0AV96|RBM47_HUMAN"	"HUMAN"	"0"
"sp|A0AVK6|E2F8_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	"0"
"sp|A0JLT2|MED19_HUMAN"	"HUMAN"	"0"
"sp|A0JNW5|BLT3B_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A0PJW6|TM223_HUMAN"	"HUMAN"	"0"
"sp|A1L020|MEX3A_HUMAN"	"HUMAN"	"0"
"sp|A1L170|CA226_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A2RTX5|SYTC2_HUMAN"	"HUMAN"	"0"
"sp|A2VDF0|FUCM_HUMAN"	"HUMAN"	"0"
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	"0"
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	"0"
"sp|A4D0V7|CPED1_HUMAN"	"HUMAN"	"0"
"sp|A4D126|ISPD_HUMAN"	"HUMAN"	"0"
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	"0"
"sp|A4D1P6|WDR91_HUMAN"	"HUMAN"	"0"
"sp|A4D1S0|KLRG2_HUMAN"	"HUMAN"	"0"
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	"0"
"sp|A5PL33|KRBA1_HUMAN"	"HUMAN"	"0"
"sp|A5PLN9|TPC13_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	"0"
"sp|A6NED2|RCCD1_HUMAN"	"HUMAN"	"0"
"sp|A6NFI3|ZN316_HUMAN"	"HUMAN"	"0"
"sp|A6NFQ2|TCAF2_HUMAN"	"HUMAN"	"0"
"sp|A6NGB9|WIPF3_HUMAN"	"HUMAN"	"0"
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A6NHX0|CAST2_HUMAN"	"HUMAN"	"0"
"sp|A6NIH7|U119B_HUMAN"	"HUMAN"	"0"
"sp|A6NJ78|MET15_HUMAN"	"HUMAN"	"0"
"sp|A6NKD9|CC85C_HUMAN"	"HUMAN"	"0"
"sp|A6NNZ2|TBB8B_HUMAN"	"HUMAN"	"0"
"sp|A7E2V4|ZSWM8_HUMAN"	"HUMAN"	"0"
"sp|A7MCY6|TBKB1_HUMAN"	"HUMAN"	"0"
"sp|A8CG34|P121C_HUMAN"	"HUMAN"	"0"
"sp|A8MPP1|D11L8_HUMAN"	"HUMAN"	"0"
"sp|A8MPS7|YDJC_HUMAN"	"HUMAN"	"0"
"sp|A8MW92|P20L1_HUMAN"	"HUMAN"	"0"
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	"0"
"sp|A8MXV4|NUD19_HUMAN"	"HUMAN"	"0"
"sp|A9UHW6|MI4GD_HUMAN"	"HUMAN"	"0"
"sp|B2RTY4|MYO9A_HUMAN"	"HUMAN"	"0"
"sp|B2RUZ4|SMIM1_HUMAN"	"HUMAN"	"0"
"sp|B6A8C7|TARM1_HUMAN"	"HUMAN"	"0"
"sp|B7ZAP0|RBG10_HUMAN"	"HUMAN"	"0"
"sp|C9J7I0|UMAD1_HUMAN"	"HUMAN"	"0"
"sp|C9JLW8|MCRI1_HUMAN"	"HUMAN"	"0"
"sp|C9JVW0|INAM1_HUMAN"	"HUMAN"	"0"
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	"0"
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	"0"
