"Protein"	"Organism"	"DEP"
"sp|Q9NZJ9|NUDT4_HUMAN;sp|A0A024RBG1|NUD4B_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN"	"HUMAN"	"0"
"sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A0U1RRL7|MMPOS_HUMAN"	"HUMAN"	"0"
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	"0"
"sp|Q9BTL3|RAMAC_HUMAN;sp|A0A3B3IU46|RMACL_HUMAN"	"HUMAN"	"0"
"sp|P63218|GBG5_HUMAN;sp|A0A804HLA8|GBG5B_HUMAN"	"HUMAN"	"0"
"sp|A0AVK6|E2F8_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	"0"
"sp|A0JLT2|MED19_HUMAN"	"HUMAN"	"0"
"sp|A0JNW5|BLT3B_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A2RTX5|SYTC2_HUMAN"	"HUMAN"	"0"
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	"0"
"sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN"	"HUMAN"	"0"
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	"0"
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	"0"
"sp|A5PL33|KRBA1_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|Q9GZQ8|MLP3B_HUMAN;sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	"0"
"sp|Q96BQ3|TRI43_HUMAN;sp|A6NCK2|TR43B_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	"0"
"sp|A6NED2|RCCD1_HUMAN"	"HUMAN"	"0"
"sp|A6NFI3|ZN316_HUMAN"	"HUMAN"	"0"
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A6NJ78|MET15_HUMAN"	"HUMAN"	"0"
"sp|A6NKD9|CC85C_HUMAN"	"HUMAN"	"0"
"sp|Q8N7P3|CLD22_HUMAN;sp|A6NM45|CLD24_HUMAN"	"HUMAN"	"0"
"sp|A8CG34|P121C_HUMAN;sp|Q96HA1|P121A_HUMAN;sp|A6NF01|P121B_HUMAN"	"HUMAN"	"0"
"sp|A8MPS7|YDJC_HUMAN"	"HUMAN"	"0"
