"Protein"	"Organism"	"DEP"
"sp|P07919|QCR6_HUMAN;sp|A0A096LP55|QCR6L_HUMAN"	"HUMAN"	"0"
"sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A0B4J2F0|PIOS1_HUMAN"	"HUMAN"	"0"
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	"0"
"sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|Q9HBT8|Z286A_HUMAN;sp|P0CG31|Z286B_HUMAN"	"HUMAN"	"0"
"sp|A0AVF1|IFT56_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0FGR8|ESYT2_HUMAN"	"HUMAN"	"0"
"sp|A0JNW5|BLT3B_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A0PJW6|TM223_HUMAN"	"HUMAN"	"0"
"sp|A0PK00|T120B_HUMAN"	"HUMAN"	"0"
"sp|A1A4S6|RHG10_HUMAN"	"HUMAN"	"0"
"sp|A1L020|MEX3A_HUMAN"	"HUMAN"	"0"
"sp|A1L0T0|HACL2_HUMAN"	"HUMAN"	"0"
"sp|A1L157|TSN11_HUMAN"	"HUMAN"	"0"
"sp|A1L170|CA226_HUMAN"	"HUMAN"	"0"
"sp|A1L390|PKHG3_HUMAN"	"HUMAN"	"0"
"sp|A1X283|SPD2B_HUMAN"	"HUMAN"	"0"
"sp|A2A3N6|PIPSL_HUMAN"	"HUMAN"	"0"
"sp|A2AJT9|BCLA3_HUMAN"	"HUMAN"	"0"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	"0"
"sp|A2RTX5|SYTC2_HUMAN"	"HUMAN"	"0"
"sp|A2RU67|F234B_HUMAN"	"HUMAN"	"0"
"sp|A2RUC4|TYW5_HUMAN"	"HUMAN"	"0"
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	"0"
"sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN"	"HUMAN"	"0"
"sp|A4D161|F221A_HUMAN"	"HUMAN"	"0"
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	"0"
"sp|A4D1P6|WDR91_HUMAN"	"HUMAN"	"0"
"sp|A4D1U4|DEN11_HUMAN"	"HUMAN"	"0"
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	"0"
"sp|A5PLL7|PDES1_HUMAN"	"HUMAN"	"0"
"sp|A5PLN9|TPC13_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6H8Y1|BDP1_HUMAN"	"HUMAN"	"0"
"sp|Q9GZQ8|MLP3B_HUMAN;sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	"0"
