"Protein"	"Organism"	"DEP"
"sp|P37108|SRP14_HUMAN"	"HUMAN"	"0"
"sp|Q96JP5|ZFP91_HUMAN"	"HUMAN"	"0"
"sp|Q9Y4H2|IRS2_HUMAN"	"HUMAN"	"0"
"sp|P36578|RL4_HUMAN"	"HUMAN"	"0"
"sp|Q6SPF0|SAMD1_HUMAN"	"HUMAN"	"0"
"sp|Q8WUQ7|CATIN_HUMAN"	"HUMAN"	"0"
"sp|Q9P258|RCC2_HUMAN"	"HUMAN"	"0"
"sp|P55036|PSMD4_HUMAN"	"HUMAN"	"0"
"sp|Q6P2E9|EDC4_HUMAN"	"HUMAN"	"0"
"sp|Q9NQP4|PFD4_HUMAN"	"HUMAN"	"0"
"sp|P30260|CDC27_HUMAN"	"HUMAN"	"0"
"sp|Q01780|EXOSX_HUMAN"	"HUMAN"	"0"
"sp|P02786|TFR1_HUMAN"	"HUMAN"	"0"
"sp|P07954|FUMH_HUMAN"	"HUMAN"	"0"
"sp|Q9Y490|TLN1_HUMAN"	"HUMAN"	"0"
"sp|O94826|TOM70_HUMAN"	"HUMAN"	"0"
"sp|Q9H9Y2|RPF1_HUMAN"	"HUMAN"	"0"
"sp|Q96S52|PIGS_HUMAN"	"HUMAN"	"0"
"sp|Q8N4T8|CBR4_HUMAN"	"HUMAN"	"0"
"sp|P35221|CTNA1_HUMAN"	"HUMAN"	"0"
"sp|Q96C19|EFHD2_HUMAN"	"HUMAN"	"0"
"sp|Q96T51|RUFY1_HUMAN"	"HUMAN"	"0"
"sp|O14497|ARI1A_HUMAN"	"HUMAN"	"0"
"sp|P0DMV8|HS71A_HUMAN;sp|P0DMV9|HS71B_HUMAN"	"HUMAN"	"0"
"sp|Q8TAE8|G45IP_HUMAN"	"HUMAN"	"0"
"sp|Q8IYS1|P20D2_HUMAN"	"HUMAN"	"0"
"sp|P31948|STIP1_HUMAN"	"HUMAN"	"0"
"sp|Q13423|NNTM_HUMAN"	"HUMAN"	"0"
"sp|O60716|CTND1_HUMAN"	"HUMAN"	"0"
"sp|Q14498|RBM39_HUMAN"	"HUMAN"	"0"
"sp|Q15042|RB3GP_HUMAN"	"HUMAN"	"0"
"sp|P26641|EF1G_HUMAN"	"HUMAN"	"0"
"sp|P20810|ICAL_HUMAN"	"HUMAN"	"0"
"sp|P31350|RIR2_HUMAN"	"HUMAN"	"0"
"sp|Q16643|DREB_HUMAN"	"HUMAN"	"0"
"sp|P53618|COPB_HUMAN"	"HUMAN"	"0"
"sp|Q9NVA2|SEP11_HUMAN"	"HUMAN"	"0"
"sp|O14981|BTAF1_HUMAN"	"HUMAN"	"0"
"sp|Q9H2M9|RBGPR_HUMAN"	"HUMAN"	"0"
"sp|Q7Z5L9|I2BP2_HUMAN"	"HUMAN"	"0"
"sp|P08559|ODPA_HUMAN"	"HUMAN"	"0"
"sp|Q5JUR7|TEX30_HUMAN"	"HUMAN"	"0"
"sp|Q99733|NP1L4_HUMAN"	"HUMAN"	"0"
"sp|P49006|MRP_HUMAN"	"HUMAN"	"0"
"sp|P19404|NDUV2_HUMAN"	"HUMAN"	"0"
"sp|O43837|IDH3B_HUMAN"	"HUMAN"	"0"
"sp|Q96PY5|FMNL2_HUMAN"	"HUMAN"	"0"
"sp|P13995|MTDC_HUMAN"	"HUMAN"	"0"
"sp|P17858|PFKAL_HUMAN"	"HUMAN"	"0"
