"Protein"	"Organism"	"DEP"
"sp|A0A024R1R8|TMA7B_HUMAN"	"HUMAN"	"0"
"sp|A0A024RBG1|NUD4B_HUMAN"	"HUMAN"	"0"
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	"0"
"sp|A0A2R8Y4L2|RA1L3_HUMAN"	"HUMAN"	"0"
"sp|A0AV96|RBM47_HUMAN"	"HUMAN"	"0"
"sp|A0AVT1|UBA6_HUMAN"	"HUMAN"	"0"
"sp|A0MZ66|SHOT1_HUMAN"	"HUMAN"	"0"
"sp|A1L0T0|HACL2_HUMAN"	"HUMAN"	"0"
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	"0"
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	"0"
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	"0"
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	"0"
"sp|A6NCW0|U17L3_HUMAN"	"HUMAN"	"0"
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	"0"
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	"0"
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	"0"
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	"0"
"sp|A6NHS7|MANS4_HUMAN"	"HUMAN"	"0"
"sp|A6NJ78|MET15_HUMAN"	"HUMAN"	"0"
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	"0"
"sp|B0I1T2|MYO1G_HUMAN"	"HUMAN"	"0"
"sp|B1ANS9|WDR64_HUMAN"	"HUMAN"	"0"
"sp|C4AMC7|WASH3_HUMAN"	"HUMAN"	"0"
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	"0"
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	"0"
"sp|L0R6Q1|S35U4_HUMAN"	"HUMAN"	"0"
"sp|O00115|DNS2A_HUMAN"	"HUMAN"	"0"
"sp|O00116|ADAS_HUMAN"	"HUMAN"	"0"
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	"0"
"sp|O00148|DX39A_HUMAN"	"HUMAN"	"0"
"sp|O00154|BACH_HUMAN"	"HUMAN"	"0"
"sp|O00159|MYO1C_HUMAN"	"HUMAN"	"0"
"sp|O00165|HAX1_HUMAN"	"HUMAN"	"0"
"sp|O00170|AIP_HUMAN"	"HUMAN"	"0"
"sp|O00186|STXB3_HUMAN"	"HUMAN"	"0"
"sp|O00187|MASP2_HUMAN"	"HUMAN"	"0"
"sp|O00193|SMAP_HUMAN"	"HUMAN"	"0"
