"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"1","sp|Q06813|YP078_YEAST","conditionB-conditionA",5.81473460688325e-13,-1.41103327316683,5.61985194372328e-10,"YEAST","1","-1"
"2","sp|P25644|PAT1_YEAST","conditionB-conditionA",5.97062895152827e-13,-1.22629833707038,5.61985194372328e-10,"YEAST","1","-1"
"3","sp|P25567|SRO9_YEAST","conditionB-conditionA",6.15337216149051e-13,-1.23056234564249,5.61985194372328e-10,"YEAST","1","-1"
"4","sp|P35732|DEF1_YEAST","conditionB-conditionA",6.42521345075005e-13,-1.15518301476303,5.61985194372328e-10,"YEAST","1","-1"
"5","sp|Q06449|PIN3_YEAST","conditionB-conditionA",6.6811847096691e-13,-1.29264890807917,5.61985194372328e-10,"YEAST","1","-1"
"6","sp|P53221|RL26B_YEAST","conditionB-conditionA",7.85810366228914e-13,-1.29775042717861,5.61985194372328e-10,"YEAST","1","-1"
"7","sp|P53111|ARI1_YEAST","conditionB-conditionA",8.86580938215901e-13,-1.18247734807062,5.61985194372328e-10,"YEAST","1","-1"
"8","sp|P0CX29|RS23A_YEAST","conditionB-conditionA",9.10321596122072e-13,-1.23748301660259,5.61985194372328e-10,"YEAST","1","-1"
"9","sp|P89886|TMA20_YEAST","conditionB-conditionA",9.45751255395206e-13,-1.10556317751784,5.61985194372328e-10,"YEAST","1","-1"
"10","sp|P0C0T4|RS25B_YEAST","conditionB-conditionA",1.08031749417033e-12,-1.28856983159901,5.61985194372328e-10,"YEAST","1","-1"
"11","sp|P40302|PSA6_YEAST","conditionB-conditionA",1.19929645281559e-12,-1.29832494485654,5.61985194372328e-10,"YEAST","1","-1"
"12","sp|P04802|SYDC_YEAST","conditionB-conditionA",1.28606294284216e-12,-1.16569351761774,5.61985194372328e-10,"YEAST","1","-1"
"13","sp|P32861|UGPA1_YEAST","conditionB-conditionA",1.36126030000333e-12,-1.1728327263228,5.61985194372328e-10,"YEAST","1","-1"
"14","sp|P26785|RL16B_YEAST","conditionB-conditionA",1.50999881769774e-12,-1.26679656905522,5.61985194372328e-10,"YEAST","1","-1"
"15","sp|P53303|ZPR1_YEAST","conditionB-conditionA",1.58922108200832e-12,-1.21758371955784,5.61985194372328e-10,"YEAST","1","-1"
"16","sp|P47120|DOHH_YEAST","conditionB-conditionA",1.59023004072803e-12,-1.28975560729229,5.61985194372328e-10,"YEAST","1","-1"
"17","sp|P16120|THRC_YEAST","conditionB-conditionA",1.61786470413945e-12,-1.22967281382792,5.61985194372328e-10,"YEAST","1","-1"
"18","sp|P17255|VATA_YEAST","conditionB-conditionA",1.67491563514912e-12,-1.17389274675984,5.61985194372328e-10,"YEAST","1","-1"
"19","sp|P35691|TCTP_YEAST","conditionB-conditionA",1.70401049962391e-12,-1.26273563390512,5.61985194372328e-10,"YEAST","1","-1"
"20","sp|P0CX47|RS11A_YEAST","conditionB-conditionA",1.70635536548318e-12,-1.26086669091048,5.61985194372328e-10,"YEAST","1","-1"
"21","sp|P28707|SBA1_YEAST","conditionB-conditionA",1.75002118957057e-12,-1.24603820403675,5.61985194372328e-10,"YEAST","1","-1"
"22","sp|P32445|RIM1_YEAST","conditionB-conditionA",1.82685148893455e-12,-1.32443829609482,5.61985194372328e-10,"YEAST","1","-1"
"23","sp|P32892|DRS1_YEAST","conditionB-conditionA",1.83201754094576e-12,-1.18346051314921,5.61985194372328e-10,"YEAST","1","-1"
"24","sp|P00330|ADH1_YEAST","conditionB-conditionA",1.84211518498682e-12,-1.23578004029707,5.61985194372328e-10,"YEAST","1","-1"
"25","sp|P00817|IPYR_YEAST","conditionB-conditionA",1.85350322968476e-12,-1.22546519998264,5.61985194372328e-10,"YEAST","1","-1"
"26","sp|P32476|ERG1_YEAST","conditionB-conditionA",1.85425726781481e-12,-1.26521129236799,5.61985194372328e-10,"YEAST","1","-1"
"27","sp|P06208|LEU1_YEAST","conditionB-conditionA",1.9677401186983e-12,-1.22317467579598,5.61985194372328e-10,"YEAST","1","-1"
"28","sp|P33201|MRT4_YEAST","conditionB-conditionA",2.02423166403624e-12,-1.13832523414295,5.61985194372328e-10,"YEAST","1","-1"
"29","sp|P10081|IF4A_YEAST","conditionB-conditionA",2.03189921287162e-12,-1.19258047617125,5.61985194372328e-10,"YEAST","1","-1"
"30","sp|P38788|SSZ1_YEAST","conditionB-conditionA",2.07339252165949e-12,-1.23089097500585,5.61985194372328e-10,"YEAST","1","-1"
"31","sp|Q00955|ACAC_YEAST","conditionB-conditionA",2.10251719977945e-12,-1.11537120318937,5.61985194372328e-10,"YEAST","1","-1"
"32","sp|P25443|RS2_YEAST","conditionB-conditionA",2.14691253697911e-12,-1.21807865703593,5.61985194372328e-10,"YEAST","1","-1"
"33","sp|P38754|RL14B_YEAST","conditionB-conditionA",2.24948428068422e-12,-1.20931395342903,5.61985194372328e-10,"YEAST","1","-1"
"34","sp|P41277|GPP1_YEAST","conditionB-conditionA",2.26198956419905e-12,-1.17171263942974,5.61985194372328e-10,"YEAST","1","-1"
"35","sp|P53860|PDR16_YEAST","conditionB-conditionA",2.26484409183674e-12,-1.17927522199518,5.61985194372328e-10,"YEAST","1","-1"
"36","sp|Q02892|NOG1_YEAST","conditionB-conditionA",2.29841073319581e-12,-1.13398979799632,5.61985194372328e-10,"YEAST","1","-1"
"37","sp|P43123|UAP1_YEAST","conditionB-conditionA",2.35912356791177e-12,-1.09210964189242,5.61985194372328e-10,"YEAST","1","-1"
"38","sp|P38627|URA8_YEAST","conditionB-conditionA",2.40139383575346e-12,-1.28352483303222,5.61985194372328e-10,"YEAST","1","-1"
"39","sp|P50861|RIB4_YEAST","conditionB-conditionA",2.42526295883594e-12,-1.22025569248317,5.61985194372328e-10,"YEAST","1","-1"
"40","sp|P05738|RL9A_YEAST","conditionB-conditionA",2.49372630056902e-12,-1.17970860344157,5.61985194372328e-10,"YEAST","1","-1"
"41","sp|P21264|PUR6_YEAST","conditionB-conditionA",2.52877725921656e-12,-1.19882496232231,5.61985194372328e-10,"YEAST","1","-1"
"42","sp|Q05506|SYRC_YEAST","conditionB-conditionA",2.7216259277139e-12,-1.23377492941152,5.61985194372328e-10,"YEAST","1","-1"
"43","sp|P52910|ACS2_YEAST","conditionB-conditionA",2.73480303134239e-12,-1.10112319895211,5.61985194372328e-10,"YEAST","1","-1"
"44","sp|Q08686|THTR_YEAST","conditionB-conditionA",2.74901369500504e-12,-0.926348938273296,5.61985194372328e-10,"YEAST","1","-1"
"45","sp|P36008|EF1G2_YEAST","conditionB-conditionA",2.79826924114819e-12,-1.23233326787643,5.61985194372328e-10,"YEAST","1","-1"
"46","sp|Q05050|EIS1_YEAST","conditionB-conditionA",2.97397990391375e-12,-0.988144754221494,5.61985194372328e-10,"YEAST","1","-1"
"47","sp|P12709|G6PI_YEAST","conditionB-conditionA",2.99877974583734e-12,-1.2180532707173,5.61985194372328e-10,"YEAST","1","-1"
"48","sp|P49723|RIR4_YEAST","conditionB-conditionA",3.00507050244830e-12,-1.21974018061362,5.61985194372328e-10,"YEAST","1","-1"
"49","sp|P40510|SER33_YEAST","conditionB-conditionA",3.03695772054416e-12,-1.30238199311033,5.61985194372328e-10,"YEAST","1","-1"
"50","sp|P30902|ATP7_YEAST","conditionB-conditionA",3.11729913232461e-12,-1.16048652689785,5.61985194372328e-10,"YEAST","1","-1"
"51","sp|P54115|ALDH6_YEAST","conditionB-conditionA",3.24018596008723e-12,-1.17615761411217,5.61985194372328e-10,"YEAST","1","-1"
"52","sp|P38069|MNN2_YEAST","conditionB-conditionA",3.35227825842205e-12,-1.07089029962727,5.61985194372328e-10,"YEAST","1","-1"
