"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.110461727166194","0.052441254312936","0","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","0.0593685272115004","0.0102127333407971","0","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.0983699830978859","0.0332425878519836","0","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","0.0433023639256393","0.000121342818212022","1.23662075846693e-298","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.300958440149242","0.129346609024439","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.149220779846886","0.066244478403435","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0510931999546935","0","6.03307777869293e-292","****","DEP-limma"
"8","DEP","proDA","B","D","-0.012091744068308","0","2.12270470609465e-15","****","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0671593632405546","-0.00447951090666804","0","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.190496712983048","0.0140491423805918","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0387590526806918","0.00180438571075903","1.43211816242773e-87","****","DEP-ttest"
"12","limma","proDA","C","D","0.0390014558863855","0.00702223315578449","0","****","limma-proDA"
"13","limma","ROTS","C","E","-0.016066163285861","-0.001108443803368","4.38541727568944e-128","****","limma-ROTS"
"14","limma","SAM","C","F","0.241589912937742","0.00125774991798996","0","****","limma-SAM"
"15","limma","ttest","C","G","0.0898522526353853","0.013442738513378","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0550676191722466","-0.013697085636843","0","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.202588457051356","0","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0508507967489998","0","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.257656076223603","0.014996005639657","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.105918415921246","0.024056970715496","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.151737660302356","0","0","****","SAM-ttest"
