"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","bpca","A","B","-0.0536440695101944","0","5.44753388423894e-62","****","blank-bpca"
"2","blank","GMS","A","C","-0.0453251565487298","0","2.18767696253309e-56","****","blank-GMS"
"3","blank","Impseq","A","D","-0.0629434354497806","0","1.92163494429353e-73","****","blank-Impseq"
"4","blank","Impseqrob","A","E","-0.0332395837296308","0","3.77164060760361e-40","****","blank-Impseqrob"
"5","blank","knn","A","F","-0.0284614829564124","0","1.45711379515501e-36","****","blank-knn"
"6","blank","mice","A","G","-0.0264734616459046","0","2.40929004051983e-31","****","blank-mice"
"7","blank","min","A","H","-0.0814948274736137","0","1.17620436632143e-117","****","blank-min"
"8","blank","MinDet","A","I","-0.0667550881649281","0","3.63064204762732e-92","****","blank-MinDet"
"9","blank","MinProb","A","J","-0.064438178355956","0","7.48642850008324e-86","****","blank-MinProb"
"10","blank","missForest","A","K","-0.0387353736243344","0","8.94949136527662e-56","****","blank-missForest"
"11","blank","MLE","A","L","-0.0112227455635371","0","1.32349220841242e-06","****","blank-MLE"
"12","blank","nbavg","A","M","-0.0724268090224682","0","7.81098026680923e-98","****","blank-nbavg"
"13","blank","QRILC","A","N","-0.055490319996487","0","2.02461836622172e-73","****","blank-QRILC"
"14","blank","SeqKNN","A","O","-0.0371421101138699","0","3.68927281135825e-50","****","blank-SeqKNN"
"15","blank","zero","A","P","-0.0677673821494503","0","1.3741184133369e-76","****","blank-zero"
"16","bpca","GMS","B","C","0.00831891296146458","0","4.90392068095615e-09","****","bpca-GMS"
"17","bpca","Impseq","B","D","-0.00929936593958626","0","7.51776886386624e-24","****","bpca-Impseq"
"18","bpca","Impseqrob","B","E","0.0204044857805635","0","1.12347398978077e-24","****","bpca-Impseqrob"
"19","bpca","knn","B","F","0.025182586553782","0","2.45033050521963e-42","****","bpca-knn"
"20","bpca","mice","B","G","0.0271706078642897","0","3.15693602069299e-46","****","bpca-mice"
"21","bpca","min","B","H","-0.0278507579634194","0","2.68591473104651e-23","****","bpca-min"
"22","bpca","MinDet","B","I","-0.0131110186547338","0","5.86405021306644e-08","****","bpca-MinDet"
"23","bpca","MinProb","B","J","-0.0107941088457616","0","5.92836682297862e-06","****","bpca-MinProb"
"24","bpca","missForest","B","K","0.01490869588586","0","1.2483611809605e-31","****","bpca-missForest"
"25","bpca","MLE","B","L","0.0424213239466573","0","4.46112580298976e-43","****","bpca-MLE"
"26","bpca","nbavg","B","M","-0.0187827395122738","0","5.81300699421468e-13","****","bpca-nbavg"
"27","bpca","QRILC","B","N","-0.00184625048629267","0","0.416259674124112","na","bpca-QRILC"
"28","bpca","SeqKNN","B","O","0.0165019593963245","0","1.10623446685496e-26","****","bpca-SeqKNN"
"29","bpca","zero","B","P","-0.0141233126392559","0","0.000750055957804438","***","bpca-zero"
"30","GMS","Impseq","C","D","-0.0176182789010508","0","9.38888441533958e-36","****","GMS-Impseq"
"31","GMS","Impseqrob","C","E","0.012085572819099","0","1.73360880210172e-10","****","GMS-Impseqrob"
