"dlfq","LFQ","top1","top3"
"limma|DIANN||MLE|blank_geomean_B.A_HYEtims735_DIA",0.879941827423758,0.758726360639098,0.692448888694784,0.709174187312967
"limma|DIANN||MLE|blank_geomean_C.A_MYtims709_DIA",0.614502589488706,0.702750841287541,0.446392427287399,0.543776144588965
"limma|DIANN||MLE|blank_geomean_C.B_MYtims709_DIA",0.701415386862802,0.767680546513257,0.562396113592897,0.668016694425775
"limma|DIANN||MLE|blank_geomean_E.C_MYtims709_DIA",0.611877923314755,0.156987653845213,0.367543164120607,0.386857290113029
"limma|DIANN||MLE|blank_geomean_E.B_HEof_n600_DIA",0.38117149074187,0.455480910462479,0.509428284790387,0.401656273824638
"limma|DIANN||MLE|blank_geomean_E.C_HEof_n600_DIA",0.801769939317193,0.875930773463839,0.617953937619043,0.697854518151962
"limma|DIANN||MLE|blank_geomean_G.F_HEof_n600_DIA",1,0.999767846775746,0.877563451065995,0.912447028094061
"limma|DIANN||MLE|blank_geomean_A.B_HEof_w600_DIA",0,0,0.144264429432413,0
"limma|DIANN||MLE|blank_geomean_E.A_HEof_w600_DIA",0.249936668776691,0.288675134594813,0.247005880014838,0.143604512445105
"limma|DIANN||MLE|blank_geomean_F.C_HEof_w600_DIA",0.889305668923496,0.877971146071062,0.520284665412267,0.645497224367903
"limma|DIANN||MLE|blank_geomean_C.B_HYtims134_DIA",0.0715719776147819,0,0.0270417046888372,0.0382638721655755
"limma|DIANN||MLE|blank_geomean_D.B_HYtims134_DIA",0.415690280777773,0.18554218877026,0.335921532665863,0.415764637847814
"limma|DIANN||MLE|blank_geomean_D.C_HYtims134_DIA",0.0468807230938495,0,0.0270591324798856,0
"limma|DIANN||MLE|blank_geomean_B.A_HEqe777_DIA",0.0997929854010161,0.0941087900926095,0.0575495583816074,0.115146240252093
"limma|DIANN||MLE|blank_geomean_C.A_HEqe777_DIA",0.896610808570002,0.867356677855652,0.49287120594023,0.577512646516765
"limma|DIANN||MLE|blank_geomean_C.B_HEqe777_DIA",0.838071460718274,0.759814406398274,0.44069758896439,0.38507277250021
"limma|DIANN||MLE|blank_geomean_B.A_HEqe408_DIA",0.866401240928777,0.83917989712666,0.681196697828345,0.724313284191284
"limma|DIANN||MLE|sum_geomean_B.A_HYEtims735_DIA",0.170338431708187,0.141104091344556,0.247492670510607,0.171456355171124
"limma|DIANN||MLE|sum_geomean_C.A_MYtims709_DIA",0.206136097961869,0.277397456677904,0.1662522348837,0.214656498900838
"limma|DIANN||MLE|sum_geomean_C.B_MYtims709_DIA",0.0925239301500438,0.116310142393758,0.107272231614037,0.104264930844756
"limma|DIANN||MLE|sum_geomean_E.C_MYtims709_DIA",0.052983232965453,0.0429263897612836,0.0563871337443151,0.0533646867703589
"limma|DIANN||MLE|sum_geomean_E.B_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_E.C_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_G.F_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_A.B_HEof_w600_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_E.A_HEof_w600_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_F.C_HEof_w600_DIA",0.144337567297406,0.144337567297406,0,0
"limma|DIANN||MLE|sum_geomean_C.B_HYtims134_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_D.B_HYtims134_DIA",0,0,0,0
"limma|DIANN||MLE|sum_geomean_D.C_HYtims134_DIA",0.0468807230938495,0,0.0270591324798856,0
"limma|DIANN||MLE|sum_geomean_B.A_HEqe777_DIA",0,0,0.033256173113195,0
"limma|DIANN||MLE|sum_geomean_C.A_HEqe777_DIA",0,0,0.0332398564028597,0
"limma|DIANN||MLE|sum_geomean_C.B_HEqe777_DIA",0.0470543950463047,0.0332724818218728,0.0575589842367818,0.0470428644612724
"limma|DIANN||MLE|sum_geomean_B.A_HEqe408_DIA",0.0660571918955626,0.0467211177364791,0.0660736383521589,0.0572285695287387
"limma|DIANN||MLE|max_geomean_B.A_HYEtims735_DIA",0.170995965947099,0.141912401114692,0.255588909261742,0.177391239343526
"limma|DIANN||MLE|max_geomean_C.A_MYtims709_DIA",0.28005299634047,0.293934860018254,0.171620412114629,0.216955391192817
"limma|DIANN||MLE|max_geomean_C.B_MYtims709_DIA",0.0941186156789942,0.130453903514654,0.110282331686771,0.106611836026066
"limma|DIANN||MLE|max_geomean_E.C_MYtims709_DIA",0.0544291215619422,0.0429263897612836,0.0563871337443151,0.0533646867703589
"limma|DIANN||MLE|max_geomean_E.B_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_E.C_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_G.F_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_A.B_HEof_w600_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_E.A_HEof_w600_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_F.C_HEof_w600_DIA",0.144337567297406,0.144337567297406,0,0
"limma|DIANN||MLE|max_geomean_C.B_HYtims134_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_D.B_HYtims134_DIA",0,0,0,0
"limma|DIANN||MLE|max_geomean_D.C_HYtims134_DIA",0.0468807230938495,0,0.0270591324798856,0
"limma|DIANN||MLE|max_geomean_B.A_HEqe777_DIA",0,0,0.0332480157589707,0
"limma|DIANN||MLE|max_geomean_C.A_HEqe777_DIA",0,0,0.0332344157192316,0
"limma|DIANN||MLE|max_geomean_C.B_HEqe777_DIA",0.0470543950463047,0.0332724818218728,0.0575401309823499,0.0470428644612724
"limma|DIANN||MLE|max_geomean_B.A_HEqe408_DIA",0.0660571918955626,0.0467211177364791,0.0660654156356375,0.0572285695287387
"limma|DIANN||MLE|center.mean_geomean_B.A_HYEtims735_DIA",0.791939970481304,0.709325812112901,0.67621634454535,0.685723675247438
"limma|DIANN||MLE|center.mean_geomean_C.A_MYtims709_DIA",0.643836271756482,0.58968575052747,0.443993376601583,0.530498765490863
"limma|DIANN||MLE|center.mean_geomean_C.B_MYtims709_DIA",0.757749925819936,0.4939712895667,0.548086074460472,0.61289515164964
"limma|DIANN||MLE|center.mean_geomean_E.C_MYtims709_DIA",0.231982820794769,0.119145000008773,0.382383003158228,0.36435306076302
"limma|DIANN||MLE|center.mean_geomean_E.B_HEof_n600_DIA",0.380993829818333,0.455587070797323,0.511890494808541,0.349259729145762
"limma|DIANN||MLE|center.mean_geomean_E.C_HEof_n600_DIA",0.826264119723939,0.875317734237829,0.587751868871913,0.700676155730244
"limma|DIANN||MLE|center.mean_geomean_G.F_HEof_n600_DIA",1,0.999767846775746,0.877359532519948,0.967796221558235
"limma|DIANN||MLE|center.mean_geomean_A.B_HEof_w600_DIA",0,0,0.144301002998581,0
"limma|DIANN||MLE|center.mean_geomean_E.A_HEof_w600_DIA",0.249936668776691,0.408248290463863,0.247326126331121,0.247709875400277
"limma|DIANN||MLE|center.mean_geomean_F.C_HEof_w600_DIA",0.87774873412422,0.889756521002609,0.499746643003748,0.629152869605896
"limma|DIANN||MLE|center.mean_geomean_C.B_HYtims134_DIA",0.0382603518682071,0,0.027039214087433,0
"limma|DIANN||MLE|center.mean_geomean_D.B_HYtims134_DIA",0.295125980290115,0.160098710363852,0.207232478362242,0.250450902498652
"limma|DIANN||MLE|center.mean_geomean_D.C_HYtims134_DIA",0.0468807230938495,0,0.0270591324798856,0
"limma|DIANN||MLE|center.mean_geomean_B.A_HEqe777_DIA",0.0997929854010161,0.0880235224068766,0.0575401309823499,0.0939934276620105
"limma|DIANN||MLE|center.mean_geomean_C.A_HEqe777_DIA",0.893921443392853,0.860312690101097,0.502509987567484,0.580316903742767
"limma|DIANN||MLE|center.mean_geomean_C.B_HEqe777_DIA",0.788186211217478,0.756835760657133,0.464472136281563,0.430523922760854
"limma|DIANN||MLE|center.mean_geomean_B.A_HEqe408_DIA",0.813712368485155,0.801616879000847,0.639868396388283,0.669769626548546
"limma|DIANN||MLE|center.median_geomean_B.A_HYEtims735_DIA",0.792940707371816,0.742272136176309,0.677265837620036,0.687810643655361
"limma|DIANN||MLE|center.median_geomean_C.A_MYtims709_DIA",0.628931122782524,0.601080753771491,0.441193661214637,0.523609242403529
"limma|DIANN||MLE|center.median_geomean_C.B_MYtims709_DIA",0.729766161674528,0.527109163572986,0.546888086331796,0.606856058764771
"limma|DIANN||MLE|center.median_geomean_E.C_MYtims709_DIA",0.181824391349504,0.1163693690607,0.361923408500604,0.351366552616182
"limma|DIANN||MLE|center.median_geomean_E.B_HEof_n600_DIA",0.381082670633303,0.455587070797323,0.471435295673552,0.37706411189
"limma|DIANN||MLE|center.median_geomean_E.C_HEof_n600_DIA",0.826264119723939,0.875317734237829,0.552228119537051,0.700676155730244
"limma|DIANN||MLE|center.median_geomean_G.F_HEof_n600_DIA",1,0.999767846775746,0.877359532519948,0.96757133571308
"limma|DIANN||MLE|center.median_geomean_A.B_HEof_w600_DIA",0,0,0.144264429432413,0
"limma|DIANN||MLE|center.median_geomean_E.A_HEof_w600_DIA",0.249936668776691,0.381881307912987,0.247198077590293,0.143089139551122
"limma|DIANN||MLE|center.median_geomean_F.C_HEof_w600_DIA",0.889531123526921,0.877971146071062,0.499873337553382,0.629152869605896
"limma|DIANN||MLE|center.median_geomean_C.B_HYtims134_DIA",0.0468591697282242,0,0.027039214087433,0
"limma|DIANN||MLE|center.median_geomean_D.B_HYtims134_DIA",0.332477601409952,0.164609415737135,0.21747438589314,0.248990534932721
"limma|DIANN||MLE|center.median_geomean_D.C_HYtims134_DIA",0.0468807230938495,0,0.0270591324798856,0
"limma|DIANN||MLE|center.median_geomean_B.A_HEqe777_DIA",0.0940857289225448,0.0880235224068766,0.0469813202132222,0.0939934276620105
"limma|DIANN||MLE|center.median_geomean_C.A_HEqe777_DIA",0.890058837656544,0.858955551748068,0.501425822361506,0.575367053113784
"limma|DIANN||MLE|center.median_geomean_C.B_HEqe777_DIA",0.773996436386834,0.743448233540427,0.463226362945559,0.422812422461356
"limma|DIANN||MLE|center.median_geomean_B.A_HEqe408_DIA",0.809599294802166,0.808662320630677,0.645912786574769,0.673970884498571
"limma|DIANN||MLE|div.mean_geomean_B.A_HYEtims735_DIA",0.170995965947099,0.141912401114692,0.255588909261742,0.177391239343526
"limma|DIANN||MLE|div.mean_geomean_C.A_MYtims709_DIA",0.20649057651757,0.293934860018254,0.171620412114629,0.216955391192817
"limma|DIANN||MLE|div.mean_geomean_C.B_MYtims709_DIA",0.0941186156789942,0.130453903514654,0.110282331686771,0.106611836026066
"limma|DIANN||MLE|div.mean_geomean_E.C_MYtims709_DIA",0.0544291215619422,0.0533431374996984,0.0563871337443151,0.0533646867703589
"limma|DIANN||MLE|div.mean_geomean_E.B_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|div.mean_geomean_E.C_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|div.mean_geomean_G.F_HEof_n600_DIA",0,0,0,0
"limma|DIANN||MLE|div.mean_geomean_A.B_HEof_w600_DIA",0,0,0,0
