"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","blank","center.mean","A","B","0.0351664491349707","0.010073277353032","3.09335487990456e-143","****","blank-center.mean"
"2","blank","center.median","A","C","0.0383186187905001","0.011204313690845","2.35446850990717e-166","****","blank-center.median"
"3","blank","div.mean","A","D","0.483512529346298","0.527592644721602","0","****","blank-div.mean"
"4","blank","div.median","A","E","0.483274634903087","0.526278073392371","0","****","blank-div.median"
"5","blank","lossf","A","F","0.0473490420053064","0.000465703856128985","1.56104825767724e-166","****","blank-lossf"
"6","blank","max","A","G","0.483361086553758","0.52429793624394","0","****","blank-max"
"7","blank","MBQN","A","H","0.122931172467602","0.069976495147427","0","****","blank-MBQN"
"8","blank","quantiles","A","I","0.027478014651588","0.004161661310908","5.65060383493929e-99","****","blank-quantiles"
"9","blank","quantiles.robust","A","J","0.13882329737608","0.053431990868664","0","****","blank-quantiles.robust"
"10","blank","Rlr","A","K","0.0474645680851551","0.004323170465028","3.12668244242527e-172","****","blank-Rlr"
"11","blank","sum","A","L","0.496208855312444","0.558894690349302","0","****","blank-sum"
"12","blank","TIC","A","M","0.0791436268977667","0.00964491330990702","2.20586641008958e-177","****","blank-TIC"
"13","blank","vsn","A","N","0.481923157326764","0.526909319867189","0","****","blank-vsn"
"14","center.mean","center.median","B","C","0.0031521696555294","0","5.52446498841594e-09","****","center.mean-center.median"
"15","center.mean","div.mean","B","D","0.448346080211327","0.465059560848692","0","****","center.mean-div.mean"
"16","center.mean","div.median","B","E","0.448108185768116","0.465014156129896","0","****","center.mean-div.median"
"17","center.mean","lossf","B","F","0.0121825928703357","0","2.77465064671378e-19","****","center.mean-lossf"
"18","center.mean","max","B","G","0.448194637418787","0.465059560848692","0","****","center.mean-max"
"19","center.mean","MBQN","B","H","0.087764723332631","0.027341056740667","1.34046935191058e-202","****","center.mean-MBQN"
"20","center.mean","quantiles","B","I","-0.00768843448338269","0","2.0384700996747e-17","****","center.mean-quantiles"
"21","center.mean","quantiles.robust","B","J","0.10365684824111","0.022447893266179","7.14295654262981e-234","****","center.mean-quantiles.robust"
"22","center.mean","Rlr","B","K","0.0122981189501844","0","2.73322254945964e-20","****","center.mean-Rlr"
"23","center.mean","sum","B","L","0.461042406177473","0.494499440939287","0","****","center.mean-sum"
"24","center.mean","TIC","B","M","0.043977177762796","0","6.76439664482767e-67","****","center.mean-TIC"
"25","center.mean","vsn","B","N","0.446756708191794","0.467072779796329","0","****","center.mean-vsn"
"26","center.median","div.mean","C","D","0.445193910555798","0.465116224819942","0","****","center.median-div.mean"
"27","center.median","div.median","C","E","0.444956016112587","0.461425979019321","0","****","center.median-div.median"
"28","center.median","lossf","C","F","0.00903042321480629","0","4.93696728865798e-12","****","center.median-lossf"
"29","center.median","max","C","G","0.445042467763258","0.465116224819942","0","****","center.median-max"
"30","center.median","MBQN","C","H","0.0846125536771016","0.0290463035550069","5.33938554062029e-191","****","center.median-MBQN"
"31","center.median","quantiles","C","I","-0.0108406041389121","0","2.05691487160596e-33","****","center.median-quantiles"
"32","center.median","quantiles.robust","C","J","0.10050467858558","0.022970439836638","1.44703378914779e-227","****","center.median-quantiles.robust"
"33","center.median","Rlr","C","K","0.00914594929465498","0","1.73698565096751e-12","****","center.median-Rlr"
"34","center.median","sum","C","L","0.457890236521944","0.490644636582179","0","****","center.median-sum"
