"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","MinDet",1,1,"MinDet",0.933333333333333,2,"MinDet",0.866666666666667,3,"MinDet",0.866666666666667,3,"MinDet",0.8,4,2.6
"2","min",0.933333333333333,2,"min",0.8,4,"min",0.733333333333333,5,"min",1,1,"min",1,1,2.6
"3","MinProb",0.866666666666667,3,"MinProb",0.666666666666667,6,"MinProb",0.666666666666667,6,"MinProb",0.8,4,"MinProb",0.733333333333333,5,4.8
"4","Impseq",0.8,4,"Impseq",1,1,"Impseq",1,1,"Impseq",0.733333333333333,5,"Impseq",0.666666666666667,6,3.4
"5","nbavg",0.733333333333333,5,"nbavg",0.733333333333333,5,"nbavg",0.8,4,"nbavg",0.933333333333333,2,"nbavg",0.933333333333333,2,3.6
"6","bpca",0.666666666666667,6,"bpca",0.866666666666667,3,"bpca",0.933333333333333,2,"bpca",0.533333333333333,8,"bpca",0.533333333333333,8,5.4
"7","GMS",0.6,7,"GMS",0.6,7,"GMS",0.6,7,"GMS",0.466666666666667,9,"GMS",0.466666666666667,9,7.8
"8","QRILC",0.533333333333333,8,"QRILC",0.533333333333333,8,"QRILC",0.4,10,"QRILC",0.6,7,"QRILC",0.6,7,8
"9","SeqKNN",0.466666666666667,9,"SeqKNN",0.466666666666667,9,"SeqKNN",0.466666666666667,9,"SeqKNN",0.4,10,"SeqKNN",0.333333333333333,11,9.6
"10","missForest",0.4,10,"missForest",0.4,10,"missForest",0.533333333333333,8,"missForest",0.333333333333333,11,"missForest",0.4,10,9.8
"11","knn",0.333333333333333,11,"knn",0.266666666666667,12,"knn",0.266666666666667,12,"knn",0.2,13,"knn",0.2,13,12.2
"12","zero",0.266666666666667,12,"zero",0.2,13,"zero",0.133333333333333,14,"zero",0.666666666666667,6,"zero",0.866666666666667,3,9.6
"13","Impseqrob",0.2,13,"Impseqrob",0.333333333333333,11,"Impseqrob",0.333333333333333,11,"Impseqrob",0.266666666666667,12,"Impseqrob",0.266666666666667,12,11.8
"14","mice",0.133333333333333,14,"mice",0.133333333333333,14,"mice",0.2,13,"mice",0.133333333333333,14,"mice",0.133333333333333,14,13.8
"15","blank",0.0666666666666667,15,"blank",0.0666666666666667,15,"blank",0.0666666666666667,15,"blank",0.0666666666666667,15,"blank",0,16,15.2
"16","MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0,16,"MLE",0.0666666666666667,15,15.8
