"ANOVA","DEP","limma","proDA","ROTS","SAM","ttest"
"|DIANN|top1|MLE|blank_nMcc_B.A_HYEtims735_DIA",0.726116003158679,0.73077777069491,0.754486835295968,0.731739355696766,0.762898002646666,0.763108230107251,0.750102200307545
"|DIANN|top1|MLE|blank_nMcc_C.B_MYtims709_DIA",0.543872578094562,0.551729753539607,0.50610421428955,0.494310349217539,0.510792761370735,0.577748453454872,0.47114495420896
"|DIANN|top1|MLE|blank_nMcc_C.A_MYtims709_DIA",0.660565019952612,0.662821359023542,0.67556710492169,0.676783906582338,0.645442522073816,0.660756077018053,0.639527479417738
"|DIANN|top1|MLE|blank_nMcc_E.C_MYtims709_DIA",0.561217892522923,0.572020387201366,0.594383217923306,0.598124022970615,0.58596658957504,0.5,0.548354017149769
"|DIANN|top1|MLE|blank_nMcc_E.C_HEof_n600_DIA",0.626322211186677,0.55854209906526,0.579199069892975,0.581273026867379,0.561355579961861,0.5,0.516390375321199
"|DIANN|top1|MLE|blank_nMcc_G.F_HEof_n600_DIA",0.651881607587187,0.633373054263708,0.629564215484087,0.639374924537305,0.618150611355383,0.5,0.625786107180659
"|DIANN|top1|MLE|blank_nMcc_E.B_HEof_n600_DIA",0.8225981549705,0.905266945590994,0.926176945568625,0.91324055651085,0.900485762873592,0.5,0.786806458564241
"|DIANN|top1|MLE|blank_nMcc_E.A_HEof_w600_DIA",0.744203178189527,0.540813093924912,0.539196077940371,0.549219977599446,0.498265661391619,0.5,0.498265661391619
"|DIANN|top1|MLE|blank_nMcc_A.B_HEof_w600_DIA",0.641834502014413,0.538259003583435,0.518963994235627,0.517918295022339,0.543303904519726,0.5,0.493728105323842
"|DIANN|top1|MLE|blank_nMcc_F.C_HEof_w600_DIA",0.739665922014303,0.748368799676255,0.748146037500638,0.748146037500638,0.498265661391619,0.5,0.645062397923386
"|DIANN|top1|MLE|blank_nMcc_C.B_HYtims134_DIA",0.528144763548565,0.51567575444131,0.494487951230139,0.49088402081625,0.494739209096826,0.5,0.491961644934828
"|DIANN|top1|MLE|blank_nMcc_D.B_HYtims134_DIA",0.672553469332136,0.660444715272144,0.63073976681337,0.493207349302262,0.648331390150497,0.5,0.529513579574515
"|DIANN|top1|MLE|blank_nMcc_D.C_HYtims134_DIA",0.525135841559326,0.495932870825712,0.501495405473561,0.501495405473561,0.5,0.5,0.501495405473561
"|DIANN|top1|MLE|blank_nMcc_C.A_HEqe777_DIA",0.532096505454725,0.500658065928778,0.500658065928778,0.500333702712835,0.506324676217588,0.5,0.496682130783668
"|DIANN|top1|MLE|blank_nMcc_B.A_HEqe777_DIA",0.668662557917774,0.68707742504031,0.684276664095654,0.685198877801974,0.676369364544211,0.5,0.661540594819179
"|DIANN|top1|MLE|blank_nMcc_C.B_HEqe777_DIA",0.624837962825783,0.647970269344155,0.646611258763684,0.64651026789663,0.633930402840468,0.5,0.62084319855283
"|DIANN|top1|MLE|blank_nMcc_B.A_HEqe408_DIA",0.798148430410268,0.768045788146369,0.805223793561174,0.798781251174127,0.810673276726381,0.805027330451932,0.801343401775827
"|DIANN|top1|MLE|sum_nMcc_B.A_HYEtims735_DIA",0.547517173576199,0.52568754306297,0.583109550639883,0.507279339964749,0.583109550639883,0.593594494173538,0.576515915369421
"|DIANN|top1|MLE|sum_nMcc_C.B_MYtims709_DIA",0.555385400022836,0.5,0.532187298231744,0.5,0.539141571015405,0.52537030287363,0.485805593127868
"|DIANN|top1|MLE|sum_nMcc_C.A_MYtims709_DIA",0.493988873727709,0.508575118769908,0.50805332564009,0.507458732464141,0.500871938469633,0.492266572199342,0.484760741194921
"|DIANN|top1|MLE|sum_nMcc_E.C_MYtims709_DIA",0.461323733415738,0.504387141441684,0.492963948934283,0.504387141441684,0.48687561192115,0.5,0.476445885983652
"|DIANN|top1|MLE|sum_nMcc_E.C_HEof_n600_DIA",0.493416353354413,0.494474948390166,0.494474948390166,0.494474948390166,0.494474948390166,0.5,0.494474948390166
"|DIANN|top1|MLE|sum_nMcc_G.F_HEof_n600_DIA",0.492854125275448,0.494958642467601,0.494958642467601,0.494958642467601,0.494958642467601,0.5,0.494958642467601
"|DIANN|top1|MLE|sum_nMcc_E.B_HEof_n600_DIA",0.497243133181848,0.5,0.5,0.5,0.5,0.5,0.5
"|DIANN|top1|MLE|sum_nMcc_E.A_HEof_w600_DIA",0.496994549934285,0.498265661391619,0.498265661391619,0.498265661391619,0.498265661391619,0.5,0.498265661391619
"|DIANN|top1|MLE|sum_nMcc_A.B_HEof_w600_DIA",0.495404544725943,0.496118057467256,0.496118057467256,0.496118057467256,0.496118057467256,0.5,0.496118057467256
"|DIANN|top1|MLE|sum_nMcc_F.C_HEof_w600_DIA",0.497546667783205,0.5,0.5,0.5,0.5,0.5,0.5
"|DIANN|top1|MLE|sum_nMcc_C.B_HYtims134_DIA",0.496920313419467,0.491961644934828,0.491961644934828,0.491961644934828,0.49392491526366,0.5,0.491961644934828
"|DIANN|top1|MLE|sum_nMcc_D.B_HYtims134_DIA",0.508534168717383,0.493207349302262,0.493207349302262,0.493207349302262,0.493207349302262,0.5,0.493207349302262
"|DIANN|top1|MLE|sum_nMcc_D.C_HYtims134_DIA",0.499948710145052,0.501495405473561,0.501495405473561,0.501495405473561,0.5,0.5,0.501495405473561
"|DIANN|top1|MLE|sum_nMcc_C.A_HEqe777_DIA",0.515435777141145,0.508450654422494,0.499069378060899,0.499069378060899,0.496032063947789,0.5,0.499069378060899
"|DIANN|top1|MLE|sum_nMcc_B.A_HEqe777_DIA",0.531199223081118,0.495726769582993,0.495726769582993,0.495726769582993,0.495726769582993,0.5,0.495726769582993
"|DIANN|top1|MLE|sum_nMcc_C.B_HEqe777_DIA",0.51303520057763,0.501715845605871,0.501715845605871,0.501715845605871,0.501715845605871,0.5,0.501715845605871
"|DIANN|top1|MLE|sum_nMcc_B.A_HEqe408_DIA",0.558656440242338,0.496601719953367,0.525162512514712,0.5,0.522769388552521,0.521547048473616,0.508140938697037
"|DIANN|top1|MLE|max_nMcc_B.A_HYEtims735_DIA",0.522371639293626,0.526378438682957,0.584365691594597,0.507279339964749,0.595465274398656,0.598890571794576,0.577547508717068
"|DIANN|top1|MLE|max_nMcc_C.B_MYtims709_DIA",0.545845393341235,0.5,0.533389439954938,0.5,0.534986584823471,0.51635113484887,0.483427312942406
"|DIANN|top1|MLE|max_nMcc_C.A_MYtims709_DIA",0.482956411776415,0.506891741191834,0.506974101314941,0.505648827230141,0.480525224632569,0.486170012212538,0.481812169110583
"|DIANN|top1|MLE|max_nMcc_E.C_MYtims709_DIA",0.452748724000688,0.504387141441684,0.492963948934283,0.504387141441684,0.487559819647812,0.5,0.473358383451975
"|DIANN|top1|MLE|max_nMcc_E.A_HEof_w600_DIA",0.496528745437581,0.498265661391619,0.498265661391619,0.498265661391619,0.498265661391619,0.5,0.498265661391619
"|DIANN|top1|MLE|max_nMcc_A.B_HEof_w600_DIA",0.493728105323842,0.488236949240181,0.49450328701348,0.49450328701348,0.493728105323842,0.5,0.49450328701348
"|DIANN|top1|MLE|max_nMcc_F.C_HEof_w600_DIA",0.495086032167032,0.498265661391619,0.498265661391619,0.498265661391619,0.5,0.5,0.498265661391619
"|DIANN|top1|MLE|max_nMcc_C.B_HYtims134_DIA",0.496920313419467,0.491961644934828,0.491961644934828,0.491961644934828,0.495704897972865,0.5,0.491961644934828
"|DIANN|top1|MLE|max_nMcc_D.B_HYtims134_DIA",0.507609532087399,0.493207349302262,0.493207349302262,0.493207349302262,0.495704897972865,0.5,0.493207349302262
"|DIANN|top1|MLE|max_nMcc_D.C_HYtims134_DIA",0.499402895412317,0.501495405473561,0.501495405473561,0.501495405473561,0.5,0.5,0.501495405473561
"|DIANN|top1|MLE|max_nMcc_C.A_HEqe777_DIA",0.520997900522389,0.515036705016061,0.497208645146206,0.497208645146206,0.496032063947789,0.5,0.497208645146206
"|DIANN|top1|MLE|max_nMcc_B.A_HEqe777_DIA",0.535039894170142,0.494873072925958,0.494873072925958,0.494873072925958,0.495541212446011,0.5,0.494873072925958
"|DIANN|top1|MLE|max_nMcc_C.B_HEqe777_DIA",0.517376019769031,0.499693487397891,0.499693487397891,0.499693487397891,0.499693487397891,0.5,0.499693487397891
"|DIANN|top1|MLE|max_nMcc_B.A_HEqe408_DIA",0.548615856578358,0.508140938697037,0.521584410657337,0.5,0.520335684791533,0.517587421372173,0.508140938697037
"|DIANN|top1|MLE|center.mean_nMcc_B.A_HYEtims735_DIA",0.717117059801439,0.719524277713832,0.74012994763396,0.717051601395529,0.748928296778857,0.750046481198837,0.736143093126206
"|DIANN|top1|MLE|center.mean_nMcc_C.B_MYtims709_DIA",0.537539485755001,0.548141748597657,0.502093918900916,0.490609938507367,0.507284646978783,0.564677710075683,0.468481974133899
"|DIANN|top1|MLE|center.mean_nMcc_C.A_MYtims709_DIA",0.649291292245145,0.65541005520341,0.67087000403686,0.671959569018814,0.6253226625868,0.653237623307204,0.636488083290072
"|DIANN|top1|MLE|center.mean_nMcc_E.C_MYtims709_DIA",0.558327094447933,0.57312163756608,0.597480901315895,0.601594418181529,0.583774983797795,0.5,0.552341160660951
"|DIANN|top1|MLE|center.mean_nMcc_E.C_HEof_n600_DIA",0.563750439316651,0.561810988659848,0.591368809205549,0.568955384117594,0.572858235403507,0.5,0.506236756543555
"|DIANN|top1|MLE|center.mean_nMcc_G.F_HEof_n600_DIA",0.636912199235392,0.634720002169625,0.637153544298644,0.633373054263708,0.6276607944258,0.5,0.618851017273657
"|DIANN|top1|MLE|center.mean_nMcc_E.B_HEof_n600_DIA",0.84090280151988,0.891390414338229,0.920659514915939,0.925770934273071,0.895863135003993,0.5,0.866242404024388
"|DIANN|top1|MLE|center.mean_nMcc_E.A_HEof_w600_DIA",0.56178292106004,0.55547285345146,0.549219977599446,0.498265661391619,0.498265661391619,0.5,0.498265661391619
"|DIANN|top1|MLE|center.mean_nMcc_A.B_HEof_w600_DIA",0.54214913858114,0.516162232121374,0.521271516790672,0.526352661691017,0.546618446739157,0.5,0.509242330938042
"|DIANN|top1|MLE|center.mean_nMcc_F.C_HEof_w600_DIA",0.711373716083747,0.734713522365968,0.7285570905253,0.737608317539067,0.498265661391619,0.5,0.661333304799943
"|DIANN|top1|MLE|center.mean_nMcc_C.B_HYtims134_DIA",0.525116644329258,0.513389535819185,0.49384484739342,0.491961644934828,0.496963127456316,0.5,0.491961644934828
"|DIANN|top1|MLE|center.mean_nMcc_D.B_HYtims134_DIA",0.610115854009681,0.573072080673576,0.56310764978569,0.493207349302262,0.573309273668798,0.5,0.498740665288328
"|DIANN|top1|MLE|center.mean_nMcc_D.C_HYtims134_DIA",0.512541857607166,0.495180319241783,0.501495405473561,0.501495405473561,0.5,0.5,0.501495405473561
"|DIANN|top1|MLE|center.mean_nMcc_C.A_HEqe777_DIA",0.510173160880308,0.507930149905101,0.499693487397891,0.500333702712835,0.506324676217588,0.5,0.497208645146206
"|DIANN|top1|MLE|center.mean_nMcc_B.A_HEqe777_DIA",0.665693216420178,0.68755250496167,0.687762413519611,0.685080267080926,0.675032737008441,0.5,0.666825718928397
"|DIANN|top1|MLE|center.mean_nMcc_C.B_HEqe777_DIA",0.639920898903271,0.660643760777597,0.658096661754507,0.66257882749485,0.648806769589348,0.5,0.654358787832312
"|DIANN|top1|MLE|center.mean_nMcc_B.A_HEqe408_DIA",0.756622601764258,0.772804298490239,0.780665240810426,0.779006237315883,0.777572034309952,0.776945985163531,0.779893052565382
"|DIANN|top1|MLE|center.median_nMcc_B.A_HYEtims735_DIA",0.717418984559434,0.720223234700166,0.740957676359184,0.717715959831481,0.749738237069545,0.750961005619112,0.736876814648081
"|DIANN|top1|MLE|center.median_nMcc_C.B_MYtims709_DIA",0.53147713364634,0.53636846554798,0.496575915686292,0.48574126725714,0.503218561245799,0.56248689713041,0.462692354131123
"|DIANN|top1|MLE|center.median_nMcc_C.A_MYtims709_DIA",0.647480200781996,0.657095120339078,0.669869295608313,0.670960278601544,0.615112743797236,0.653396620140563,0.636520945052459
"|DIANN|top1|MLE|center.median_nMcc_E.C_MYtims709_DIA",0.546424660124629,0.567858922087047,0.585642641292866,0.590239622610644,0.569310207545598,0.5,0.539301925974362
"|DIANN|top1|MLE|center.median_nMcc_E.C_HEof_n600_DIA",0.576538857588971,0.571138551504488,0.579589695918166,0.563917648716148,0.574495958619538,0.5,0.507141365755492
"|DIANN|top1|MLE|center.median_nMcc_G.F_HEof_n600_DIA",0.618474484696387,0.633373054263708,0.622577410445915,0.634720002169625,0.621606812590936,0.5,0.617583743160619
"|DIANN|top1|MLE|center.median_nMcc_E.B_HEof_n600_DIA",0.84036212075178,0.891390414338229,0.920659514915939,0.925770934273071,0.900485762873592,0.5,0.880120665488193
"|DIANN|top1|MLE|center.median_nMcc_C.B_HYtims134_DIA",0.526437624011902,0.515559725716842,0.49384484739342,0.491961644934828,0.496963127456316,0.5,0.491961644934828
"|DIANN|top1|MLE|center.median_nMcc_D.B_HYtims134_DIA",0.615740004358344,0.581946555265276,0.567255449160064,0.493207349302262,0.58038105196344,0.5,0.507470165096864
"|DIANN|top1|MLE|center.median_nMcc_D.C_HYtims134_DIA",0.513673138749906,0.496051222505999,0.501495405473561,0.501495405473561,0.5,0.5,0.501495405473561
"|DIANN|top1|MLE|center.median_nMcc_C.A_HEqe777_DIA",0.511410095109367,0.509145130898183,0.496442723949554,0.500333702712835,0.506324676217588,0.5,0.497208645146206
"|DIANN|top1|MLE|center.median_nMcc_B.A_HEqe777_DIA",0.666843339716496,0.687762413519611,0.687159144431862,0.685492045741528,0.675032737008441,0.5,0.666295286882583
"|DIANN|top1|MLE|center.median_nMcc_C.B_HEqe777_DIA",0.638491022713167,0.656208066043706,0.656732169382339,0.659010130115511,0.646054420637858,0.5,0.652332087433268
"|DIANN|top1|MLE|center.median_nMcc_B.A_HEqe408_DIA",0.764393778292335,0.776522805163707,0.784802142645129,0.781754323532338,0.779886688344607,0.779712097201446,0.783090210011243
"|DIANN|top1|MLE|div.mean_nMcc_B.A_HYEtims735_DIA",0.522557400299419,0.526378438682957,0.584365691594597,0.507279339964749,0.59487806227628,0.598890571794576,0.577547508717068
"|DIANN|top1|MLE|div.mean_nMcc_C.B_MYtims709_DIA",0.546394919626145,0.5,0.533389439954938,0.5,0.534692599756748,0.51865683181169,0.483427312942406
"|DIANN|top1|MLE|div.mean_nMcc_C.A_MYtims709_DIA",0.483454805133813,0.505648827230141,0.506974101314941,0.505648827230141,0.481531418374446,0.486170012212538,0.481812169110583
"|DIANN|top1|MLE|div.mean_nMcc_E.C_MYtims709_DIA",0.451267261016388,0.504387141441684,0.492963948934283,0.504387141441684,0.488965227577716,0.5,0.473908134341822
"|DIANN|top1|MLE|div.mean_nMcc_E.C_HEof_n600_DIA",0.492331629700833,0.493818569202953,0.493818569202953,0.493818569202953,0.493818569202953,0.5,0.493818569202953
"|DIANN|top1|MLE|div.mean_nMcc_G.F_HEof_n600_DIA",0.491683893835079,0.49424803057428,0.49424803057428,0.49424803057428,0.493223932726292,0.5,0.49424803057428
