"mat1","mat2","abbr1","abbr2","mean","median","t_pval","significance","contrast"
"1","ANOVA","DEP","A","B","0.0100317768047958","0","1.16806220246326e-63","****","ANOVA-DEP"
"2","ANOVA","limma","A","C","-0.00266396445092196","0","3.25226173227384e-07","****","ANOVA-limma"
"3","ANOVA","proDA","A","D","0.00833844243026409","0","1.16788108169761e-47","****","ANOVA-proDA"
"4","ANOVA","ROTS","A","E","-0.00636775576133867","0","1.96229585181324e-40","****","ANOVA-ROTS"
"5","ANOVA","SAM","A","F","0.0933486642545965","0.0148424549451595","0","****","ANOVA-SAM"
"6","ANOVA","ttest","A","G","0.029409875332731","0.00498754851456851","0","****","ANOVA-ttest"
"7","DEP","limma","B","C","-0.0126957412557177","0","1.24102994401888e-139","****","DEP-limma"
"8","DEP","proDA","B","D","-0.00169333437453167","0","0.00174868218910232","**","DEP-proDA"
"9","DEP","ROTS","B","E","-0.0163995325661344","0","1.85884691001644e-203","****","DEP-ROTS"
"10","DEP","SAM","B","F","0.0833168874498008","0.00368343960742251","0","****","DEP-SAM"
"11","DEP","ttest","B","G","0.0193780985279352","0.000767090713882923","1.47257981163236e-164","****","DEP-ttest"
"12","limma","proDA","C","D","0.011002406881186","0","1.27891265298676e-207","****","limma-proDA"
"13","limma","ROTS","C","E","-0.00370379131041671","0","2.88172158959829e-33","****","limma-ROTS"
"14","limma","SAM","C","F","0.0960126287055185","0.000666059322696977","0","****","limma-SAM"
"15","limma","ttest","C","G","0.0320738397836529","0.00463712453079396","0","****","limma-ttest"
"16","proDA","ROTS","D","E","-0.0147061981916028","0","2.48350623792284e-192","****","proDA-ROTS"
"17","proDA","SAM","D","F","0.0850102218243324","0","0","****","proDA-SAM"
"18","proDA","ttest","D","G","0.0210714329024669","0","0","****","proDA-ttest"
"19","ROTS","SAM","E","F","0.0997164200159352","0.00149540547356097","0","****","ROTS-SAM"
"20","ROTS","ttest","E","G","0.0357776310940696","0.00451904415696297","0","****","ROTS-ttest"
"21","SAM","ttest","F","G","-0.0639387889218656","0","0","****","SAM-ttest"
